2217722863,【90后】2000首怀旧经典老歌回忆杀,听完满满的回忆，仿佛回到了学生时代,"['90后', '经典', '怀旧', '90后']",[]
7624611614,【DJ】中文DJ嗨曲,孤寂的夜，让心与爱告别]夜很深很安静，心却早起涟漪，记忆也总会在深夜伴着心碎、伴着痛苦，悄然落地。有时候真不明白，为什么昨天快乐还在，今天却彼此分离？这种感觉让人窒息。爱虽已走远，但心还在，既然注定一切都无法挽回，既然注定短暂的邂逅需要放弃，那就让心与爱彼此作最后一次告别。,"['流行', '驾车', '90后', '90后']","[1831419729, 2016556505, 451113488, 1807339743, 1881759872, 1894307214, 1808475168, 1864698492, 1296550835, 1388137359, 1817762859, 1823331300, 1812239209, 1412213239, 1389071672, 1807550736, 2015499286, 1437339583, 1982523817, 1836117209, 2066628581, 2027557355, 2052092037, 1369285767, 2025091391, 1929093477, 2064458728, 1953652867, 2068681152, 1369577002, 1480361161, 2067877624, 1984353021, 1956613573, 1988103179, 1843149600, 1856728513, 1834268297, 1830735966, 1818113470, 1892377726, 1436761191, 1816838227, 1436270608, 1407813608, 2003336383, 1471064193, 1399837875, 1436760626, 1403501539, 2003336381, 1395794363, 1437859922, 1435659788, 1411994881, 1410635261, 1393918196, 1397513503, 1397307932, 1392986529, 1386946548, 531051662, 1388799869, 1323508056, 1386946637, 1397288794]"
8803256414,华语live王｜听不懂林俊杰的有难了,"“这一次仿佛雨滴变成了泪滴”
“这一刻才明白了 离愁的痛”
“多少个黑夜为我点亮霓虹”
“天再黑 懵懂时都有你陪伴”
“与我一起圆了多少梦”
“不为谁而作的歌 现在只为你”
“早已写下结尾 当你走远才懂了”
“微笑谢幕 转身 世界却充满你的影踪”
谢幕也永不谢幕 爱永不谢幕","['华语', '流行', '90后', '90后']","[1366052801, 1366052802, 108418, 25794009, 108263, 1366053680, 1468115100, 1366052804, 108810, 108242, 108154, 2039156731, 29814898, 108485, 1391477429, 486194136, 108463, 29774171, 108950, 29850683, 108260, 108886, 108269, 108806, 2039156235, 108134, 2039156216, 108578, 108902, 1396349011, 108152, 108872, 120348, 26305530, 108931]"
2521649305,全网爆火超好听歌单推荐,"这里整理了全网流行歌曲精选集，百听不厌。
音乐是一杯清茶，润人心脾；
音乐是一片秋叶，撩人乡思；
音乐是一缕阳光，暖人灵魂。","['华语', '流行', '90后', '90后']","[2106481673, 2104658445, 2104683024, 2101517522, 2101566680, 2097821356, 2090974658, 2080995093, 2085245785, 2067231437, 2080625350, 2078669525, 2073039541, 2057837331, 2073773504, 2070423325, 2067483064, 2057272160, 2060224285, 2061952638, 2040008221, 2028500065, 2022920019, 1986538904, 2030296585, 2031330068, 2035560073, 1987834515, 2016444919, 2045846669, 1996740889, 2008746306, 1839035984, 2023976838, 2029188482, 1956919232, 1953334681, 2022014572, 1939534695, 2019383101, 2012502561, 1993858398, 1982685014, 1837093994, 2003645183, 1939699085, 1867428768, 1928174922, 1893097135, 1495896649, 1497607775, 1497607774, 1410192318, 1825035505, 1313672973, 1909954648, 1859147416, 1362726210, 1410021481, 1411848138, 1410018953, 1433228164, 1411842430, 1833624876, 1425319724, 1362214740, 1425322219, 1443309396, 562476021, 562457947, 558229954, 562463668, 1459534643, 1406277357, 1811679056, 1423974259, 1423316655, 2045830618, 2042848649, 2039629482, 2034472731, 2032769826, 2028119699, 1452798124, 1975972025, 1459317799, 1995468876, 1902523224, 1996136299, 2024008258, 2013058347, 1994919294, 1871232343, 2017028625, 1939787443, 1953116075, 1410833098, 1880909462, 1884020859, 1895243053, 2003461208, 1996686226, 2046159923, 1893138818, 2051751004, 1984807296, 1472794688, 1398084972, 1841884017, 2048584480, 2031835136, 446875114, 1886192269, 1436099140, 1925413632, 1998168054, 1423232357, 1922657249, 1903206657, 1928456972, 2042630564, 1392161228, 1965537576, 1863485214, 1903546795, 1852326001, 1370047789, 2035374710, 1899202190, 17263308, 1878597955, 1907241392, 1468259237, 1891469546, 1901371647, 1998339144, 1985946582, 1944307179, 1812799386, 1446520313, 1470175556, 1812267589, 1411774791, 1944487856, 1902198994, 539114775, 2035212204, 1851949560, 454435058, 1996312116, 1297104610, 2054294510, 1891085840, 1806341232, 1985950816, 1841583084, 2050733897, 1450464206, 1895330088, 436346833, 1403318151, 2049512697, 1842728629, 1456890009, 2057534370, 1397345903, 2063487880, 1974443814, 2026224214, 1406083061, 2023797552]"
2512957279,有梦想的你真的很酷.（励志歌单）,"年轻人就要做有难度的事情
已经踏上了这条路
就别给自己留后路
走完了要走的路才能走想走的路
hold on your heart
愿每一个奋斗在考研路上的你们都能如愿以偿
追求梦想的你们真的很酷","['90后', '学习', '治愈', '90后']","[1317494309, 2074369030, 1885551650, 191024, 5284736, 1352045690, 541480238, 167975, 1842123929, 2009046232, 1482864953, 1945878289, 1433434738, 1901371647, 1949966410, 1498563622, 1313107926, 454698657, 1414783972, 569200213, 1975802875, 1941629582, 191278, 1417862046, 1479706965, 409302163, 1813850597, 38592976, 1859914415, 1886366521, 28892385, 29004400, 1490355410, 570334069, 434659399, 1449782341, 1811921555, 1392908905, 1336789644, 1386259535, 1400256289, 1336856777, 307109, 1395822684, 423015580, 168091, 1344340338, 472137749, 431853688, 1392567215, 484732973, 30512348, 108138, 421160957, 26305549, 169216, 31445772, 1363896373, 520022704, 430026247, 190381, 1384569524, 394690, 368727, 490602750, 155883, 25706282, 31421394, 191268, 363004, 27946807, 451126768, 1306496848, 491943068, 27955777, 168445, 558736901, 509512457, 386175, 176403, 288619, 1337115647, 28892408, 405167569, 1336077464, 571697384, 554244265, 450350603, 28815250, 409931456, 17706530, 20707576, 26577192, 440241201, 863412028, 436667978, 440464621, 1323302964, 452592005, 467595237, 25794009, 387717, 36496726, 29567189, 355992, 474567580, 408332757, 470547658, 25638273, 1308818967, 405599119]"
3101978600,【90年代影视】专属记忆，经典私藏,"还记得吗？流淌在岁月长河中的专属记忆。
不会因为时代更迭而失去色彩的经典——九十年代影视剧主题曲
本单收藏了包括《还珠格格》《新白娘子传奇》《笑傲江湖》《雪山飞狐》《包青天》《康熙王朝》《倚天屠龙记》《我和春天有个约会》《我爱我家》《编辑部的故事》《鹿鼎记》《刑事侦缉档案》《北京人在纽约》《小李飞刀》《神雕侠侣》《反黑先锋》等经典影视剧原声。
带你回到过去，再一次倾听属于你的故事！","['华语', '影视原声', '90后', '90后']","[351116, 201485, 27667021, 28785688, 349892, 92428, 530801627, 210866, 256469, 93666, 95410, 5271860, 170749, 258028, 258235, 261045, 329831, 260432, 308139, 216999, 276325, 5269082, 5271858, 5276250, 27562927, 332275, 27904085, 27556044, 147483, 234986, 186464, 147979, 320548, 318317, 258241, 158516, 89291, 115502, 329571, 114973, 174118, 236412, 27906498, 28182143, 27591735, 112081, 190148, 231412, 103834, 258735, 201489, 118428, 25952125, 5271852, 34614559, 151035, 135858, 64497, 27907998, 280151, 60289, 308045, 109191, 113529, 4877754, 258134, 4877755, 135612, 190750, 235592, 115729, 300569, 282257, 262911, 88168, 120241, 329892, 4874998, 120263, 193036, 329493, 90877, 90868, 109197, 109221, 109178, 119304, 1336131264, 338497, 27591749, 29223120, 28892116, 30031035, 27946625, 29984815, 92608, 95887, 26620779, 113634, 555984413, 188948, 28853351, 153476, 114097, 28152162, 248203, 25640679, 113652, 32785325, 194405, 70661, 70646, 1385646804, 5234200, 163988, 27090984, 158346, 5281253, 41665510, 95290, 95370, 5280123, 276329, 32272479, 201487, 192529, 5259692, 224330, 28452038, 28219141, 4878607, 224328, 173789, 109182, 298444, 256467, 158489, 265067, 276362, 1301572910, 153492]"
140154155,No Tengo Más | 西语歌单,"Tema español 完 ！耳朵越来越刁了 西班牙语 拉美 西语流行 拉丁语 南美雷击顿 Latin español reggeaton trap bachata 

Ozuna/Bad Bunny/Daddy Yankee/Nicky Jam/Pitpull/Maluma /J Balvin/Farruko/Anuel AA/Rauw Alejandro/Reik/Jhay Cortez/Manuel Turizo/Prince Royce/Romeo Santos/Feid/Nacho/Lunay/Sech/Reykon/Justin Quiles/De la Ghetto/Sebastian Yates/Bryant Myers/Noriel/Myke Towers/Pedro Capó/Amenazzy/Carlos Vives/Gente de Zona/Kevin Roldán/PauloLondra/Juanes/Yera/Cosculluela/Almighty/J Alvarez/Felipe Peláez/Plan B/Arcangel/Ken-Y/

Karol G/Becky G/Greeicy/Natti Natasha/Shakira/Anitta/Kali Uchis/

Zion&Lennox/CNCO/Piso 21/Wisin&Yandel/Mau y Ricky/ChocQuibtown/Cali y El Dandee/

持续更新","['拉丁', '90后', '流行', '90后']",[]
4869247863,【95后回忆杀】初中时代的MP3,"《95后初中时代的mp3》
95后在初中那个还没有智能手机的年代，对自己来说，听流行音乐更多是通过同学的mp3。正因为音乐资源相对匮乏，所以那时听到的歌曲便带有深刻的时光烙印。
某个深夜，偶然收听到一首记忆中的歌曲，便果断的根据记忆整理出这个歌单，用来存放曾经初中三年，或者说95后初中时代记忆中的歌曲。
——简单记录歌单中每首歌属于自己的记忆：
2008年从农村到县城上初中，小学在家听歌就是每周二下午电视台点歌台和彩铃广告。直到初中，在流行歌曲上对自己的冲击很大，那时听到的每首歌印象都很深刻，但很多并不晓得歌名。
2009年初二，迷上芒果TV，人生中第一部青春偶像爱情剧——《一起来看流星雨》，电视剧原声带的每首歌都超级喜欢，奈何只能通过电视才能听到。印象深刻的还有《仙剑奇侠传三》《拜托小姐》《恶作剧之吻》....直到现在，电视剧原声带依然是自己喜欢听的歌。
2010年初三，转眼间初中毕业，那时山寨机很流行，很多同学会偷偷带手机和MP3。5块钱30兆的2g网络，等待着她的头像叮叮叮响起，青春懵懂，情窦初开。
很多不经意间，听到一首老旧熟悉的歌曲，把思绪拉到初中那段时光，索性就创建这个歌单，用来存放属于那段时光的歌曲和记忆。
","['华语', '90后', '怀旧', '90后']","[1453207529, 354601, 479422511, 212555, 543798303, 77225, 1400453707, 145586, 298317, 284189, 5232550, 299623, 27671269, 247864, 369392, 1935989435, 1894007406, 1493994302, 60102, 28111646, 229302, 1360465550, 25707139, 167827, 167850, 167844, 386538, 307780, 327208, 362998, 1846985688, 191248, 254231, 33916775, 4875968, 1474414193, 1480378521, 4875961, 1480380031, 297488, 1474411443, 1331593956, 287018, 174960, 5238992, 5412832, 108463, 327119, 139703, 3427474, 5254474, 209732, 27901780, 29011143, 38392522, 27097479, 156143, 1830472858, 150617, 255667, 573968818, 1480378513, 406737348, 161420, 326962, 33510814, 514765154, 1480380026, 4875127, 357324, 224326, 349260, 390943, 251588, 30987293, 1391682167, 1418316824, 1480380030, 187672, 165379, 22200079, 571545720, 1432732732, 191777, 307525, 4877753, 5261904, 166321, 96100, 109530, 5243638, 320950, 190072, 146664, 368757, 139558, 254297, 276904, 156927, 1354478596, 157973, 191171, 26305523, 25643291, 28191532, 157143, 288218, 176403, 139366, 186624, 108281, 256081, 1357621672, 1436709403, 157276, 190449, 1437394986, 347597, 346576, 31877524, 26600906, 26601294, 165344, 186724, 360586, 247512, 150337, 28314060, 4878115, 139385, 157288, 4873340, 145607, 297839, 85621, 229090, 165340, 4877893, 4877894, 3313653, 254574, 3986241, 5264843, 1428661040, 29592187, 573968836, 191254, 386175, 25707134, 355992, 1383381667, 330706, 27937429, 25643359, 385973, 208953, 5257056, 77378, 394653, 92939, 297778, 509512939, 32685948, 94646, 297845, 354620, 156210, 1432829881, 29922372, 434923121, 168445, 4875973, 4874863, 5272940, 167841, 4873343, 150361, 276458, 5279696, 144148, 114389, 26619367, 26075657, 258134, 27731369, 209801, 308372, 314773, 375774, 407002091, 4872846, 283846, 343054, 205267, 1373028722, 37202358, 5247681, 406737384, 344406, 60289, 167802, 254485, 400161640, 369126, 4877892, 112678, 307606, 210089, 215239, 214626, 375762, 258235, 168091, 167975, 4872534, 4872531, 1302066192, 1416438275, 189895, 174944, 280175, 114442, 68099, 28240119, 176093, 277111, 5265523, 5232465, 190352, 485992506, 25657393, 307003, 210842, 4875626, 393688, 212233, 25643093, 187134, 156524, 423118691, 236333, 209750, 5250048, 190381, 5256103, 350616, 156193, 29999506, 92305, 167885, 209758, 210042, 210049, 4876080, 254319, 324980, 33497243, 254265, 108224, 227012, 108377, 108557, 108390, 4872533, 229072, 60394, 114397, 185919, 3026472, 256468, 188057, 115502, 25795016, 22840606, 27588734, 394748, 376552, 70100, 210866, 387948, 276220, 350909, 5252346, 349892, 63650, 354593, 186345, 299757, 354455, 375328, 4872537, 4872530, 472462535, 4873540, 4875079, 4875075, 4875307, 4875306, 5260494, 4875310, 86360, 86357, 328076, 362934, 354352, 189323, 126946, 174963, 209643, 69827, 254285, 254359, 167876, 27646687, 167937, 165361, 108245, 108468, 108914, 247579, 108576, 247491, 69611, 114741, 5253734, 344442, 139463, 21178422, 1698391, 22813728, 85580, 272590, 297587, 340383, 340394, 254191, 135728, 344500, 364899, 343502, 185792, 185726, 191819, 5356944, 5235731, 265762, 175072]"
2605286576,网络最好听最火的流行歌曲(更新块),"这里整理了全网流行歌曲精选集，百听不厌。
音乐是一杯清茶，润人心脾；
音乐是一片秋叶，撩人乡思；
音乐是一缕阳光，暖人灵魂。","['流行', '华语', '90后', '90后']","[2106481673, 2104658445, 2104683024, 2101517522, 2101566680, 2097821356, 2096551491, 2097155812, 2097101790, 2097923397, 2040008221, 2072648006, 2080995093, 2047454135, 446875114, 2067231437, 2078669525, 2073773504, 1839035984, 2094625221, 2045846669, 425137084, 2090974658, 2030296585, 1996740889, 1962317672, 2085245785, 425136109, 2084053068, 2080625350, 1833624876, 2070423325, 466332567, 2067483064, 2028500065, 2061952638, 2022920019, 2008746306, 1986538904, 1902523224, 2077305406, 447076485, 2031330068, 2035560073, 1987834515, 2016444919, 2023976838, 1497607774, 2029188482, 1425319724, 2093115650, 1956919232, 1953334681, 2022014572, 1939534695, 2084376714, 1959166451, 2012502561, 1993858398, 1982685014, 1837093994, 2003645183, 1939699085, 1867428768, 1497607775, 1891311376, 1928174922, 562476021, 1893097135, 1495896649, 1986354026, 2077782656, 1825035505, 1313672973, 1909954648, 1859147416, 1411848138, 2017028625, 2019383101, 1410018953, 1411842430, 2073039541, 1939787443, 1425322219, 2060224285, 1443309396, 562457947, 558229954, 562463668, 2057837331, 1871232343, 1459534643, 1811679056, 1423316655, 2045830618, 1406277357, 2042848649, 2039629482, 2034472731, 1452798124, 1975972025, 1459317799, 1995468876, 2028119699, 1996136299, 2024008258, 2013058347, 1994919294, 1410021481, 1433228164, 1410833098, 1880909462, 1928305385, 1884020859, 1984807296, 2026224214, 1895243053, 2003461208, 1996686226, 2079689338, 2046159923, 2049512697, 1893138818, 2051751004, 2034657715, 1472794688, 1398084972, 1922661400, 1841884017, 2048584480, 2031835136, 1886192269, 1965718855, 1436099140, 1998168054, 1925413632, 1423232357, 1922657249, 1928456972, 2042630564, 1392161228, 1965537576, 1863485214, 1903546795, 1852326001, 1370047789, 2035374710, 17263308, 1878597955, 1856326960, 1917328742, 1942011218, 1907241392, 1891469546, 1901371647, 1944307179, 1998339144, 1446520313, 1470175556, 1411774791, 1944487856, 1902198994, 539114775, 2035212204, 1851949560, 454435058, 1996312116, 1403318151, 2054294510, 2008586924, 1814378900, 2023797552, 1985950816, 2050733897, 1891085840, 1852305198, 28727136, 475479888, 1841583084, 362996, 1430693066, 1448554643, 1450464206, 1444466779, 1806341232, 1864638464, 1456520209, 405253960, 2072562543, 1408971345, 1408971344, 1423974259, 1423323050, 531479092, 1305408842, 1410192318, 1931943638, 1391274529, 1316498184, 1804622383, 2035540065, 1931412350, 1413335916, 1938931363, 1922609858, 1961499952, 1807172290, 516748424, 1920497009, 1816801950, 2025785587, 1884020658, 1947962425, 2085308306, 1499596185, 527709264, 1433272107]"
8741267794,【时光记忆】上学时藏在耳机里的秘密,"一想到终将是你的路人
便觉得，沦为整个世界的路人风虽大，都绕过我的灵魂","['华语', '流行', '90后', '90后']","[189323, 28819837, 110184, 65533, 299116, 174944, 110043, 64312, 531295576, 65538, 139764, 99651, 27713963, 423406145, 254132, 5279696, 167937, 385781, 355992, 406737348, 326990, 26305527, 261557, 209643, 139808, 316486, 169185, 69611, 63650, 209758, 1493994302, 229336, 64317, 86369, 97357, 307679, 5249178, 353066, 32685948, 376417, 66842, 254574, 327115, 327157, 25640792, 108468, 288121, 254265, 213540, 247512, 256468, 27646687, 383267, 316100, 354593, 85580, 344406, 27671269, 176430, 25714102, 28832054, 168039, 1894007406, 25648043, 276035, 192702, 314773, 298838, 109998, 274686, 28959201, 307825, 573968818, 5257056, 27483167, 368800, 163123, 239188, 247416, 5243638, 5243631, 247421, 167975, 167880, 354500, 168091, 139558, 185700, 208902, 208958, 209478, 277759, 276904, 251594, 4872534, 4872537, 247577, 72394, 431259309, 247936, 4873065, 191252, 191248, 387717, 354352, 167942, 406730320, 86279, 186345, 22853023, 30621618, 254285, 327089, 382844, 394748, 65592, 287063, 287035, 1430304352, 139703, 233882, 229394, 1480380026, 27591608, 5243349, 210049, 108931, 1430303185, 255574, 165361, 167655, 254191, 254485, 165379, 1480380030, 36841953]"
55464827,東方Project Yonder Voice（瑶山百灵.瑶姐),"Yonder Voice 是中国同人音乐社团，作为歌手参加各种同人音乐、人声曲混音、以及live活动等。
社团成员：
瑶山百霊/yaoshanbailing (ヤオシャンバイリン)　通称. 瑶/yoo　职务. 主催、Vocal、音频后期。
一有新专辑马上更新！喜欢就收藏～不需要多言～瑶山百灵的歌～就是赞！","['日语', '90后', '网络歌曲', '90后']","[469699517, 469744424, 469744425, 469699518, 469699519, 469744426, 469744427, 436667894, 419485504, 419485505, 419485506, 419485507, 419485508, 419485509, 429461796, 429461797, 407764774, 423104691, 407759834, 407759835, 407759837, 407759836, 407764777, 407764776, 410628473, 410629455, 410628474, 410629456, 410628475, 410629457, 34828858, 31861669, 5230571, 35283101, 35283098, 35283094, 28573314, 34072418, 34072420, 34072417, 34072419, 34072421, 34040114, 34040115, 34040116, 34040111, 34040109, 34040112, 33190621, 33715534, 33715498, 33715529, 33715543, 33715546, 33715583, 29897918, 29897919, 29897920, 29897921, 29897923, 29126907, 29126908, 29126909, 29126910, 29126911, 29126912, 29126913, 29126914, 28928723, 28928724, 28928725, 28928726, 28928727, 28928728, 29724792, 29092266, 29092267, 29092268, 29092269, 29092270, 29092271, 29724803, 29724804, 29724805, 29724806, 29724807, 29724808, 29724809, 27512096, 27512097, 27512098, 27512099, 27512100, 26134301, 26134302, 26134303, 26134304, 26134305, 26134306, 31478313, 393769, 393772, 393774, 393777, 393778, 393779, 393781, 393784, 393801, 393805, 29724814, 29724815, 29724816, 29724817, 29724818, 393813, 393815, 393817, 393819, 393822, 393825, 393828, 393830, 393832, 393834, 393836, 393838, 393840, 393846, 393848, 393850, 393852, 393854, 393856, 393858, 393863, 393865, 393867, 393869, 393871, 393873, 393875, 393877, 393879, 393881, 393884, 393886, 393888, 393890, 29724820, 29724821, 29724822, 29724823, 29724824, 29724825]"
