8804779200,2000s华语摇滚 | 在青春与自由的土地上肆意生长,拒绝接受命运的暗淡 自由地奔向理想的征程,['摇滚'],"[156736, 5271359, 376978, 347966, 348142, 385394, 155984, 1355025152, 386175, 348028, 156053, 356487, 386553, 156054, 386538, 1878960141, 386542, 156056, 348150, 156285, 357066, 186513, 394685, 353700, 381858, 167975, 77315, 357424, 167593, 381782, 363394, 354484, 344795, 351105, 350838, 185794, 156374, 378192, 344446, 386146, 351269, 353376, 167595, 369096, 27562184, 371378, 368791, 29422012, 27731258, 368793, 77099, 185802, 394845, 363376, 394841, 394679, 289473, 347982, 395129, 368913, 371455, 368907, 1480785416, 357384, 167594, 356034, 385360, 365579, 27591444, 156059, 350836, 156291, 394690, 363429, 381821, 168053, 353713, 350830, 156287, 375907]"
8637589201,Study Vibe | 进入沉浸式摇滚自习空间,节奏不止 学习不停,['摇滚'],"[18621919, 18604147, 29822982, 28365679, 18240430, 18604154, 27037954, 17275794, 17342852, 484487598, 3962301, 1080426, 4237144, 34770154, 1700434, 27279490, 26816521, 2005333, 18240425, 31586302, 18240424, 28365676, 18240416, 1937212, 18240414, 17275779, 18240408, 17275754, 5206569, 17275789]"
7533885704,Riff&Solo | 铸就经典的片段,片刻组成永恒，片段铸就经典。一首经典必有熠熠闪光的点睛之笔。一起进入这个歌单，欣赏出彩的riff和solo.,['摇滚'],"[1646223, 2309623, 32061052, 26348001, 18860378, 21969766, 16497011, 1696917, 4238119, 4133455, 21968164, 1696812, 3863411, 3951467, 21303931, 4019242, 4208530, 1646233, 16837173, 1868486, 21051962, 3880720, 1295704101, 5055683, 4176043, 3880691, 21700829, 16660836, 17822769, 18095077, 21733590, 4175903, 4237803, 18193296, 17541200, 1939937, 27785127, 21393383, 1377222, 1939995, 22532525, 1298865137, 21968611, 1299309, 18095043, 21304046, 17970298, 19041946, 16837172, 18621539, 22281946, 1868553, 18094919, 21592359, 17436277, 18094989, 1646237, 20363339, 21162443, 29719536, 20363362, 17131427, 1940023, 18604154, 18309790, 1375374, 20363346, 18263397, 1350500, 19703253, 4237846, 1344352731, 32431654, 574236773, 4237911, 17290776, 17449123, 27190100, 17131368, 21052194]"
8170169684,快乐到底 | 在欢快的华语节奏中让快乐DNA动起来,戴上耳机放下烦恼，将快乐进行到底！,['摇滚'],"[1406062963, 33394070, 574925503, 25702070, 1359818052, 574925511, 1357842144, 28996919, 34509586, 497572729, 25731320, 1377780930, 542690155, 1413863166, 554245291, 1871997556, 1335980476, 1813831223, 1948964398, 528272281, 25843038, 406072138, 862100838, 1849674035, 1959667345, 863554095, 2059714601, 1458394045, 513045821, 1893330487, 357421, 1429237296, 1487202781, 1981307602, 1956233063, 357284, 408055928, 1975270702, 381825, 1490124895, 452679015, 1822995786, 1397160266, 1807796555, 357253, 1388674995, 1836139178, 1329719698, 27562892, 1493943322, 406072144, 368913, 394679, 29369012, 357330, 1317337111, 574925512, 387492, 1372510711, 1834113474]"
8714073201,派对时间到 | 狂欢时刻怎能没有摇滚乐,在每一个鼓点上尽情跳跃吧,['摇滚'],"[1830206179, 1857099077, 1895634701, 1836121754, 1832410846, 1879774191, 1874368600, 1860838709, 1885952950, 1864347842, 1837817430, 1900829335, 1840233080, 1866595477, 1885953958, 1495090897, 1866089718, 1836021414, 1847986670, 1903421109, 1888658257, 1842638442, 1842638441, 1878304841, 1858068739, 1842638440, 1848244626, 1871833130, 1848244627, 1865151634, 1848244625, 1889722135, 1842638439, 1890477852, 1834257125, 1881821082, 1881828228, 1805841419, 1845434968, 1805841415, 1874661400, 1860008313, 1839379969, 1839379968, 1864347837, 1839379971, 1864347838, 1839379970, 1857508648, 1901632197, 1850174939, 1836767981, 1844289146, 1836767980, 1836767983, 1880237959, 1836767982, 1862745235, 1803473133, 1836767979, 1831959200, 1815519163, 1815519162, 1867184321, 1901929174, 1816119221, 1867184322, 1815519156, 1859425622, 1876170838, 1848460717, 1848251733, 1859866020, 1840397007, 1848251735, 1848251734, 1858825655, 1855591906, 1869926412, 1877722268, 1824169935, 1886850818, 1848251737, 1848251736, 1891447756, 1824169937, 1840397017, 1859631550, 1861663135, 1840397018, 1840397013, 1840397009, 1840397008, 1873057990, 1834675770, 1836025392, 1825214357, 1901878786, 1861028272, 1874161897, 1899950693, 1846762825, 1859101078, 1834732035, 1845974353, 1880885066, 1882724206, 1843740336, 1859839375, 1873345788, 1839384304, 1889656816, 34341185, 34341184, 1859839376, 1873324257, 1897084506, 1859934612, 1873324256, 1877722275, 1830611546, 1857214964, 1866853379, 1830611544, 1833794057, 1870822592, 1836025390, 1866853380, 1836025391, 1872057514, 1856983441, 1886402381, 1851660642, 1886402379, 1887370052, 1863402535, 1814953752, 1863402533, 34341183, 34341182, 1886064452, 1860129265, 1830473271, 1854173609, 1882433311, 1897947655, 1840970396, 1884383091, 1889847174, 1854173604, 1870520418, 1840482991, 1843315396, 1831890473, 1837739678, 1837739676, 1837738652, 1831890469, 1859631554, 1885087561, 1895845397, 1837739677, 1831890468, 1837738651, 1837739675, 1854170518, 1886433122, 1854170516, 1864348697, 1840482992, 1840482993, 1894091751, 1840482994, 1891736512, 1860902934, 1861560328, 1483124383, 1821182586, 1875941670, 1821182585, 1816124108, 1844458243, 1888678497, 1816124110, 1821182588, 1855434855, 1898406871, 1859400762, 1879097070, 1893330487, 1867191718, 1858142253, 1825216033, 1880737523, 1886744223, 1834118075, 1834118074, 1867191715, 1848244428, 1837746026, 1848244427, 1865046472, 1853345960, 1872739648, 1897907137, 1846510804, 1859064852, 1859064855, 1830164419, 1886744224, 1893512713, 1834260379, 1886438079, 1834260378, 1887287987, 1886760632, 1886366375, 1840087914, 1896700874, 1863376342, 1893512730, 1862787522, 1834260375, 1823422061, 1834260373, 1847649435, 1878402382, 1866844659, 1866844656, 1866844657, 1882752652, 1899415428, 1899948940, 1866844660, 1866844661, 1837799204, 1887228625, 1823209991, 1820123863, 1836780496, 1874889067, 1866844655, 1824168466, 1820123865, 1859632243, 1823209992, 1864415619, 1823209993, 1888407084, 1866489311, 1890395698, 1881567928, 1830280079, 1892014674, 1892593241, 1848253628, 1837799199, 1882730157, 1894098544, 1837426448, 1856998459, 1845975187, 1892014673, 1840965418, 1848513696, 1823211040, 1856223273, 1892014671, 1830178669, 1824297669, 1846051952, 1852308496, 1897342816, 1845545078, 1860625555, 1852308489, 1895191195, 1840916438, 1852308491, 1852308492, 1852308493, 1852308494, 1842439095, 1886405141, 1815021131, 1886405140, 1866838310, 1823209161, 1866838311, 1876175286, 1823209162, 1842924423, 1868219652, 1857011954, 1831506813, 1833625373, 1885176330, 1836024633, 1866595604, 1844216760, 1842026399, 1885176329, 1875269013, 1885176332, 1482844709, 1867784471, 1837715403, 1868420383, 1851279384, 1863122227, 1859970275, 1875176955, 1875176954, 1870546243, 1863122230, 1886164566, 1837036359, 1886128725, 1831379741, 1886164568, 1894416088, 1867165051, 1893718766, 1882899978, 1890945669, 1845948461, 1844100035, 1892632302, 1882742307, 1860273401, 1818425972, 1853534316, 1848091699, 1883268690, 1837272978, 1838934930, 1880746512, 1817303638, 1887269498, 1840087977, 1876727263, 1888173707, 1874812480, 1885174178, 1501370497, 1886221713, 1896142076, 1840928845, 1835463824, 1843815443, 1870469768, 1847958475, 1890718040, 1899984086, 1830612212, 1825647926, 1872087666, 1822995790, 1872683640, 1853592479, 1822995787, 1822995786, 1822995785, 1872084596, 1852309383, 1871997556, 1874250326, 1809396230, 1840480366, 1840480367, 1870407335, 1861519148, 1868414597, 1865872096, 1869061809, 1882424800, 1878544938, 1839206512, 1871177303, 1863164609, 1831891195, 1874109055, 1834243219, 1895413055, 1834727583, 1840480368, 1840480369, 1876716062, 1840480370, 1861292848, 1834243220, 1842032757, 1899408520, 1831506070, 1851577319, 1813314990, 1840088084, 1888390455, 1893368163, 1833790715, 1851577321, 1881858462, 1822425362, 1822425361, 1888874788, 1862764203, 1866857199, 1842286694, 1844863056, 1835462851, 1837448225, 1844194376, 1813314992, 1852835794, 1888364844, 1888154920, 1858320226, 1833763031, 1843815548, 1840088116, 1849032610, 1849032611, 1833763032, 1849032608, 1833763033, 1849032609, 1818973688, 1849032614, 1856030515, 1850177493, 1836026083, 1836382463, 1836026085, 1890007342, 1837451271, 1901938908, 1889726754, 1869516305, 1867936298, 1842639023, 1837733105, 1851578148, 1823036893, 1832204358, 1872062180, 1883984186, 1832204357, 1805842125, 1839976644, 1839380685, 1839380684, 1832204377, 1839380686, 1893975439, 1839380681, 1870992110, 1852326658, 1839380680, 1842535611, 1839380683, 1859054503, 1839380682, 1842639027, 1887906274, 1842639024, 1898997844, 1899687006, 1902131204, 1832204375, 1867959860, 1811640992, 1891685787, 1834491919, 1880582465, 1870697171, 1822719467, 1481617666, 1895058879, 1839421673, 1880763742, 1823035883, 1890718092, 1867903596, 1871028925, 1855649709, 1879239985, 1879239986, 1892438498, 1891476881, 1888574906, 1859821555, 1846196013, 1867165293, 1840589968, 1876755192, 1867165294, 1870562910, 1882628374, 1811385065, 1822994869, 1822994868, 1854663575, 1822994867, 1897810949, 1822994865, 1822994864, 1825646020, 1883845981, 1847463695, 1890001335, 1849069373, 1849069372, 1831761959, 1849069375, 1849069374, 1865938495, 1822994863, 1831761961, 1891424699, 1870923394, 1837044860, 1874993859, 1848170280, 1887880313, 1849803455, 1834731943, 1863992289, 1887880316, 1803473798, 1840844110, 1840844108, 1840844109, 1842561312, 1840844106, 1863276540, 1875840828, 1898268118, 1840844107, 1888175207, 1842322724, 1877007114, 1890226240, 1888371815, 1888371814, 1834260915, 1877007111, 1888371817, 1888371816, 1888371819, 1824296024, 1851666108, 1888371820, 1832208874, 1888372817, 1891665950, 1832208872, 1888372819, 1832208873, 1902203325, 1852309180, 1888372821, 1882645729, 1880186054, 1849070307, 1863123928, 1901069701, 1849070306, 1901069700, 1849070309, 1849070308, 1849070311, 1877233461, 1849070310, 1892014101, 1840843126, 1889922154, 1481619585, 1840843127, 1874977551, 1840843125, 1889922153, 1867162499, 1874946820, 1838973278, 1838973277, 1840843128, 1816117503, 1840843129, 1840175377, 1849015947, 1811930946, 1882444943, 1901071851, 1849015948, 1880817836, 1815024797, 1867119611, 1839966491, 1822723083, 1822723081, 1849070235, 1482845385, 1868475381, 1482845387, 1859690097, 1890235395, 1903916498, 1836772829, 1886124236, 1836772828, 1867911152, 1902128582, 1836772830, 1851278017, 1883953375, 1840927022, 1838518535, 1813759114, 1834113474, 1813759115, 1865989032, 1815024800, 1849175734, 1841195314, 1888868381, 1847212703, 1856985808, 1874099147, 1881696343, 1872384996, 1856985811, 1856985812, 1889764568, 1877724049, 1826780311, 1899916618, 1867921189, 1837286893, 1847231093, 1895624849, 1895092377, 1843984772, 1501369622, 1872402417, 1501369623, 1862684524, 1900223785, 1837802979, 1847218815, 1902156035, 1901376779, 1844422066, 1839379967, 1849034351, 1849034350, 1888416982, 1853913814, 1890733286, 1810656190, 1860012687, 1835624740, 1858143884, 1821183174, 1838972374, 1838972373, 1838972379, 1849034353, 1849560697, 1886396471, 1838972378, 1849034352, 1894226081, 1821183176, 1838972377, 1849034355, 1903917374, 1838972376, 1849034354, 1849034357, 1849034356, 1821183181, 1832407303, 1820982452, 1869027162, 1872854941, 1898194200, 1882027028, 1832092939, 1866597242, 1836534080, 1832407304, 1869943643, 1810656193, 1834662262, 1810656198, 1873326978, 1836120408, 1864263480, 1836120405, 1824367774, 1859839739, 1824367773, 1890007175, 1855159951, 1895315684, 1856874170, 1862025963, 1886565473, 1873098677, 1866597196, 1858779843, 1880090630, 1880329236, 1834078551, 1867862867, 1903641970, 1820665985, 1834259797, 1803473791, 1492624631]"
6936637407,摇滚经典碰撞 | 在怀旧中体验新鲜,这些音乐或是用摇滚的方式重现经典，或是为怀旧的摇滚乐注入新鲜。不同的翻唱与改编，总能带来一种又熟悉、又惊喜的奇妙体验。,['摇滚'],"[209478, 1909658603, 316061, 1909658511, 211588, 1909660514, 254494, 1909660600, 277759, 1909670706, 157092, 1907712309, 298494, 1907710034, 257090, 1907710053, 187134, 1907712078, 283101, 1907710468, 185911, 1906020021, 119002, 1906016529, 63574, 1906020302, 77695, 1906025782, 77470, 1906016236, 316103, 1903917374, 114741, 1903896848, 288181, 1903908257, 277584, 1903916498, 256672, 1903911575, 109528, 1901878786, 211660, 1901929043, 277775, 1901929174, 209484, 1901926411, 254548, 1901926542, 543656171, 1899948940, 256771, 1899950693, 186624, 1899948931, 316117, 1899948596, 454698656, 1899948601, 157263, 1451856375, 17177324, 1872968272, 34586038, 1873049720, 26354130, 346576, 435307753, 357263, 110740, 1865898517, 186429, 28306416, 94646, 1850240095, 5268968, 316086, 356474, 357424, 316088, 382108, 1837523764, 327345, 1870826696, 261685, 1469601898, 144515, 1411718813, 864122471, 29732733, 109525, 27583489, 188813, 167897, 27552548, 27538248, 122058, 353646, 159416, 27538246, 63622, 5262269]"
6962828626,Bass万岁 | 贝斯手们站起来了！,Bass才是灵魂！全世界的贝斯手都站起来了！,['摇滚'],"[21162560, 19390053, 4337143, 21970252, 20064702, 18835457, 20789751, 22559036, 17779529, 19553535, 4331646, 4338658, 1869711, 33211440, 4176036, 27804645, 26850964, 19460900, 1844862466, 538610028, 1450529033, 1494544996, 26484760, 1808008464, 1836139178, 1819306495, 28851137, 21970483, 25843040, 33211437, 33211435, 387480, 1420915005, 21974025, 21970419, 27136651, 1811314694, 21970593, 32069683, 1824599691, 19273300, 3563411, 411907891, 28009107, 17417075, 4173085, 19578248, 4132568, 4338911, 3951385, 21973167, 26484759, 1868486, 33004499, 3881213, 26232866, 4019242, 1830343396, 4338718, 27341767, 21968164, 4176059, 1822907, 27297305, 29365648, 1869719, 1811312523, 21970417, 1861862607, 4176043]"
6651233748,70年代摇滚 | 1970年代摇滚精选作品,1970年代 摇滚自我表达与探索实验的年代,['摇滚'],"[17141626, 20505969, 17786207, 20457906, 33394059, 22223781, 17786205, 20457891, 20506663, 22223782, 19553366, 4238312, 19578272, 4338569, 20045614, 19553358, 1348523609, 1345856201, 20045617, 17436286, 17436277, 4134392, 17141647, 27009525, 27009524, 472045187, 17141628, 3987186, 17786201, 472045342]"
8466485202,摇滚Hi-Res | 走路带风的摇滚歌单,踏入摇滚荒野，感受电吉他和架子鼓的魅力，享受这种氛围吧。,['摇滚'],"[4335592, 29719529, 20282682, 4337194, 1868543, 27108456, 1974647432, 4336263, 4236489, 2032141585, 1395835478, 1954755029, 1844694647, 2028200423, 1893975439, 1830481499, 1418077251, 2013983355, 2020622818, 1999131052, 1863911986, 1838751629, 1837072264, 1501142849, 1990597892, 2029613035, 1983157764, 2042830485, 2046939640, 27804646, 29719536, 1831812536, 1956407221, 1438568463, 1917243560, 1445752932, 1872306562, 1363907209, 1451292135, 1808985847, 1967639030, 1458904943, 2022024869, 1413277745, 1878039801, 1954017436, 1893397062, 1482173064, 1919399697, 1934547641, 1925804403, 2021489738, 1489996168, 1319445000, 1809755305, 2030964876, 1903846715, 2036088949, 1971311690, 1959647418]"
6595593007,打游戏听摇滚 | 电游时节奏与激情的绝佳搭配,摇滚的节奏 游戏的激情 它们注定是合适的拍档 打开游戏，点击歌单 让我们一起进入另一个世界,['摇滚'],"[16835619, 4049382, 1098827, 41636233, 31789002, 34516569, 4144245, 524296263, 28419785, 27955270, 2207090, 26732838, 19542376, 1940131, 5187053, 1403858547, 26741691, 417250207, 27511197, 21973418, 20544868, 26781857, 438981332, 33723622, 27570661, 19394361, 28533584, 18205861, 1868480, 5119054]"
