47560374,珍藏 | 曼妙的音樂時光,"充满灵气的音符,滑过心头的尘埃,每一首歌都有一段动人心扉的故事……","['流行', '民谣', '乡村', '乡村']",[]
8830239995,婚礼背景歌单,12.2,"['流行', '民谣', '乡村', '乡村']","[1806926690, 1913553528, 1350160463, 619482, 507116307, 1475293492, 18611599, 150415, 188927, 190563, 1366053678, 1937340367, 2025563160, 418603100, 1442773498, 1890066679, 423228325, 531295576, 521417778, 1394494933, 27836173, 28692519, 16854326]"
2199705730,外语 || 欧美乡村/民谣,,"['欧美', '民谣', '乡村', '乡村']","[2748689, 3209141, 27759600, 19159395, 18641838, 27200172, 1387131, 1383635, 39122745, 1383618, 18668448, 26215212, 21698740, 4273642, 28157606, 26215210, 21598355, 509531185, 5226174, 17110575, 431079380, 1933598, 3985585, 22554252, 22450237, 1477670, 28418209, 5212440, 5201822, 16284903, 1347809, 986444, 18940667, 18578526, 5113327, 21539597, 1934618, 18662465, 19159393, 17950509, 1224626, 17449147, 2922570, 2870862, 18602363, 2922574, 21698673, 1383639, 17245236, 16426485, 2870891, 18015954, 26511658, 19497991, 5183690, 5242595, 1215678, 16657279, 3404770, 27591140, 21698700, 17245428]"
8792104889,专辑索引：Chris Hillman (The Byrds),"Chris Hillman, The Byrds第一任贝斯手、兼任主唱，1968年退出乐队
1-32: 录音室专辑&现场专辑，33-34: 合集
缺18张专辑和3张合集","['摇滚', '民谣', '乡村', '乡村']","[1437150802, 21951903, 4344282, 21951891, 21951945, 21951798, 21951577, 2037974, 2037954, 2037944, 2037938, 4343466, 405615281, 406015142, 1371444118, 2036819, 17014520, 17028809, 1334767015, 1384467347, 2079378435, 2445465, 1307961250, 573283127, 573282849, 573283524, 1365852549, 2336678, 1393559066, 1409275319, 1357726427, 508068413, 573284133, 21196851]"
8790379937,专辑索引：Duane Allman (ABB),"Duane Allman, The Allman Brothers Band滑棒吉他手、主音吉他手，1972年逝世
1-27: 录音室专辑
28-40: 现场专辑
41-52: 合集

部分专辑未全部参与","['摇滚', '蓝调', '乡村', '乡村']","[22290617, 22291223, 19762200, 1333818687, 406165714, 1354185625, 1354186039, 4344613, 16302971, 2228820, 406226263, 16450498, 1307397257, 1387057403, 16449910, 4344567, 1933165314, 17228794, 2010966940, 493466687, 2456228, 405664932, 1349945100, 473326743, 4344503, 1438500328, 506211359, 4344528, 4344147, 4343793, 1386842036, 4343464, 19563498, 558767686, 1431669237, 28869032, 565142063, 1871000512, 1458155791, 1820119988, 26653722, 1256251, 27104277, 2047801945, 26792213, 4344055, 19563712, 1307981026, 27232095, 19563385, 29950717, 1426814383]"
463561655,［独立］美利坚老牌乡村小调,搜罗了部分自己比较喜欢的老牌乡村小调，其中不乏蓝草音乐之父Bill Monroe等40's经典、现在都很火的Kenny Rogers以及耳熟能详的老牌乡村音乐顺带几首老牌摇滚。放松身心，一起回味美好的旧时光。,"['欧美', '乡村', '另类/独立', '乡村']","[1094221, 16475749, 1094255, 26677416, 18651158, 571223270, 26041154, 1094301, 5190656, 26289183, 1615544, 27808594, 5049628, 23852560, 26677407, 2987299, 30070417, 22223089, 3164322, 418533483, 26200750, 21790687, 19041893, 5226134]"
2564794685,【印度.经典浪漫】Alka Yagnik,"1966年3月20日，Alka Yagnik出生在加尔各答，她是印度著名歌手，她的母亲是印度的古典音乐歌手，6岁时她就到孟买做儿童歌手，她的第一首歌曲为电影""Payal Ki Jhankaar""中的主题曲，这首歌使她一夜之间成为一名明星，也是第一次获得了最佳女歌手奖。在20世纪80年代，由于她多才多艺，更多的电影主人公已把她的声音被称为他们的表现。在歌唱比赛中，她是获得最多女性Filmfare奖的歌手。曾为700多部宝莱坞电影配唱。","['乡村', '民族', '思念', '乡村']","[28726507, 28726509, 29818806, 28727552, 29818811, 29818810, 28726510, 29818809, 25280419, 29818517, 28971273, 28726508, 29818807, 27143602, 29818808, 28727121, 407002772, 28726513, 29979391, 25018677, 29818804, 29819453, 522657494, 24946502, 33479536, 29818512, 33479530, 28727123, 426291274, 29979133, 30212616, 30212612, 514526636, 30212618, 39227439, 426290278, 29818802, 470688579, 524289834, 28996952, 24946503, 25626796, 990908, 39227437, 30212613, 472789666, 28493034, 528985827, 5177721, 25626791, 420482860, 529365901, 4460897, 407002774, 39224461, 28971275, 29966988, 29979101, 29979102, 29819450, 26816465, 479716599, 25626793, 4460886, 28773778, 5177718, 511856377, 33479534, 29818554, 28739351, 470688577, 29818954, 407002775, 4460891, 29818511, 29818556, 24946506, 4460203, 28971274, 29814111, 514526642, 25280181, 530895159, 479320312, 514526640, 522680230, 523921456, 25280425, 511856370, 514056376, 26816467, 521846469, 4460894, 39224464, 29004451, 30212607, 28971272, 28739401, 29814052, 25018683, 28727125, 521893964, 534781481, 472789640, 470688558, 28739400, 25280185, 470688565, 470688560, 29004453, 25626794, 522753688, 29979168, 28935280, 28773447, 470688564, 4460301, 29357276, 523921454, 29004360, 522657495, 28739402, 29979165, 24946507, 30039830, 545504141, 530142347, 29818853, 514056368, 28727124, 470688561, 470688563, 30039841, 29818552, 28935278, 29818555, 29966985, 4460314, 29979398, 33479532, 29979394, 30039829, 30039820, 29004357, 529196832, 30039833, 30039838, 28784351, 25546153, 470688575, 469296779, 28996957, 25280187, 470688585, 29818952, 470688569, 28996959, 28773779, 30064685, 29004355, 28971277, 30830897, 29979097, 29818956, 29818537, 16356270, 473278044, 29979393, 28935281, 470688581, 470688570, 30064760, 420482858, 29715731, 28784357, 29979098, 29818957, 18812306, 29818031, 28996956, 28757151, 28738672, 479320307, 29979100, 29715730, 29979492, 29814098, 29814054, 29814050, 28784356, 28738669, 514056367, 420482864, 29979169, 4460888, 4460887, 404278586, 29818538, 29814088, 29357279, 28739404, 25546120, 29979493, 29357278, 420482863, 4460207, 29979170, 29814090, 29818035, 29814091, 30431915, 29979498, 4460205, 524730033, 459066310, 29818033, 865093257, 530895144, 528267971, 523921458, 492505891, 4460885, 4460883, 4460199, 30431917, 30064788, 29979499, 29979497, 29979496, 29979167, 29979015, 29850539, 29818036, 29818034, 29814116, 29814089, 573551645, 573449404, 573442779, 569240606, 569134662, 567454591, 567454589, 567454587, 567454583, 567454581, 567453691, 567453690, 567453688, 567453686, 567286547, 567286545, 567285727]"
8888855604,The Eras Tour Film Setlist ,Taylor swift时代之旅Film Setlist包含专辑Lover、Fearless、Evermore 、Reputation 、Speak Now 、Red 、Folklore、1989 、Midnights部分歌曲,"['乡村', '欧美', '乡村']","[1382781399, 1382576173, 1382781100, 1382778973, 1382778514, 19292982, 19292987, 19292984, 1803546869, 1803546398, 1803546393, 1803546870, 503207093, 516818336, 516823325, 501133611, 2059790521, 19292804, 1891456102, 1891454316, 1891454317, 1465111714, 1465111971, 1465114457, 1465111917, 1465114515, 1465114469, 2092285037, 2092283112, 2092285062, 2092285075, 2002329, 1990191997, 2050575759, 2050573338, 2050560265, 2050561738, 2050561739, 2050561742, 2050560270, 2059790562]"
5030453482,『Country』心醉温馨田园，静享惬意时光,乡村音乐之欧洲民间风情，涉及到爱尔兰，英国，比利时，意大利等国家，相对于原生态的美国乡村音乐来说，欧洲乡村乐的旋律更加舒缓柔和，歌曲的节奏感稍弱一些，让你体会到的是一种贴心的温暖，适合一个人散步的时候听，听一曲欧洲乡村小调，静享一段惬意的时光。,"['欧美', '乡村', '放松', '乡村']","[2475731, 16951468, 27951327, 1377247, 536668696, 566529107, 5199918, 2533578, 17054896, 4335339, 17024919, 3676583, 1435428199, 20938360, 16352704, 21420064, 409004803, 19045336, 22223436, 19438905, 406008948, 16352720, 16754367, 5221601, 3842558, 5259397, 439473750, 553642137, 26062724]"
5096884732,阿连德||智利新歌运动,"一个朝气蓬勃的国家
一个踌躇满志的领导人
新歌运动，是二十世纪六十年代产生于智利和阿根廷，随后在拉丁美洲各国发展起来的音乐运动，前后共持续了30年，它常与拉丁美洲的重大政治事件紧密联系在一起，对整个拉丁美洲的政治和历史进程产生了巨大的影响。为新歌运动奠定基础的是三位音乐家，即阿根廷的阿塔瓦尔巴尤·潘基、古巴的卡洛斯·普艾布拉、智利的比奥莱塔·芭拉。","['民谣', '乡村', '世界音乐', '乡村']","[865846142, 552004360, 1897392401, 1876838452, 1876838472, 1876838468, 1847417324, 1876355592, 1825939407, 1825939393, 1440577654, 1427664358, 1428296596, 539150309, 18953074, 41662474, 41662475, 41662471, 41662487, 566822569, 542012750, 568322961, 865517979, 1427666207, 564042238, 542012748, 1437163946, 444572148, 2774275, 541999366, 541989766, 865520501, 1426309267, 16653816, 1401662072, 1400107565, 1373184834, 483282251, 488763684, 489367581, 494851764, 504219322, 561394629, 1391908603, 497036701, 562530585, 1445957681, 1353330272, 1294068292, 1341511181, 1298634831, 1353332378, 1391909641, 1401662077, 1373193024, 1465646, 1394539430, 28406457, 1440577653, 1431512213, 1436203148, 1401362108, 1312604546, 1353332384, 1427666194, 1392265284, 439030238, 1351532591, 491406737, 483282260, 484980969, 493466056, 483245451, 488130192, 489761767, 489761768, 16782562, 444376798, 462210723, 560060927, 865517981, 541999364, 865846144, 560618158, 566483926, 562882598, 488566844, 559106789, 1298780601, 535144321, 564305633, 862082819, 555937792, 21971340, 27224786, 21971300, 530393953, 549091708, 567605759, 1297677885, 565555348, 866284620, 562529641, 1294247186, 511262967, 564273062, 542296944, 1331507968, 1383769, 1340105646, 567773083, 1313314805, 1294873749, 485749075, 552004357, 439030275, 507795526, 22603406, 561395027, 483032389, 41662507, 512041977, 566115795, 1313204530, 41662469, 25729325, 487702020, 1401661063, 18267033, 1352521282, 1299466981, 483153941, 1391908608, 462210735, 565690724, 1391909638, 444559933, 541999365, 865517976, 865842487, 530393951, 1465666, 444376790, 535145253, 561394630, 560060928, 560059978, 560059979, 560059980, 554117737, 560060929, 560059981, 560060930, 560059982, 560060931]"
49611540,Emmylou Harris美国乡村民谣老牌女歌手,Emmylou Harris（爱美萝·哈里斯）1947年出生于美国，是一位出色的歌手和音乐家。她天生一副唱乡村音乐的绝美嗓音，对情感有着极佳的感受与控制。对唱时颤抖高亢微浓的鼻音，兼具高雅及草根性，极俱特色，堪称一绝。使其获得第44届格莱美乡村歌后以及世纪荣耀成就奖。,"['民谣', '乡村', '感动', '乡村']","[1377231, 25782150, 26300048, 17406048, 25782156, 25458872, 25782161, 25517873, 19558613, 5045564, 26849939, 17625287, 17625420, 17625208, 17625281, 17625194, 2535207, 17625198, 2535203, 27949043, 17625573, 17625528, 17625620, 2535333, 17625513, 17625613, 26849962, 2535220, 25782152, 25782160, 26849912, 25782151, 18643566, 2534912, 26821814, 17625120, 2535144, 17625282, 2536307, 2535133, 17625503, 2124460, 2535308, 2535160, 17625283, 28983176]"
