638761718,国学｜古诗三百千弟诗经楚辞,"国学歌单唱诵目录：

0001～0040：弟子规 （40篇）
0041～0161：唱古诗 （3-6岁）
0162～0251：声律启蒙 （90篇）
0252～0412：诗经 国风 （161篇）
0413～0733：唐诗 （321首）
0734～1028：唐诗 （295首）
1029～1068：唐诗 (40首)
1069～1160：先秦两汉 （102篇）
1161～1196：古诗、节气、成语（各12篇）
1197～1203：三字经、百家姓、千字文、弟子规 全文
1204～1206：论语
1207～1211：楚辞","['儿童', '学习', '古风', '儿童']",[]
2729742794,hanser小司机精选,"精选儿歌 高速婴儿车 OVO
ps：新歌置顶一段时间后会换下去，顶部固定几首歌喔＞O＜","['儿童', '儿童']","[566442200, 1295189418, 541750547, 30569749, 537787665, 1451998397, 540107030, 1394847947, 1970671773, 1334870452, 1328645802, 1928215490, 1446012277, 1495093451, 477683799, 1818680189, 33599403, 516512085, 497215230, 34200001, 1359165195, 1334591437, 34880507, 34179995, 34200043, 33522757, 34180000, 1357661607, 1817686041, 1365666043, 437250676, 1425814956, 31460014, 34200047, 1375725396, 1453639400, 1402846442, 1474146255, 470326027, 34200075, 437311559, 1345019528, 1480344409, 437311558, 1430526292, 1387615236, 1476610105, 34200014, 437250704, 1401799214, 1831504253, 1446776624, 1905945602, 34200018, 1962060311, 437250692, 34516293, 1378861988, 1442387317, 1442387314, 437250693, 34200041, 1461932057, 538912880, 511648453, 1457628502, 864302711, 30039697, 520991376, 1391047416, 1388683118, 1409838411, 437250677, 1329819741, 540973586, 1972677674, 445816172, 437250688, 1404206986, 1299295064, 437250691, 1953104779, 1956302224, 1374489488, 1377265419, 437250686, 437250687, 437250694, 34200002, 488099772, 1320634307, 437250697, 1400047204, 1417711811, 1400047205, 424496997, 437250674, 437250703, 1358213099, 865734024, 437250690, 1423014472, 500246557, 1312439936, 30039694, 1449034817, 455409632, 483717581, 34200073, 437311557, 449382663, 30569747, 1297693551, 496609252, 437250673, 34280671, 437250695, 30039693, 437755733, 1320584618, 556249552, 526467587, 574816294, 437250668, 480249867, 437250672, 34179997, 1318301736, 543261480, 30569753, 437250689, 1318299935, 437250699, 437250682, 1497343203, 1321424246, 437250706, 471205576, 437250700, 504155567, 1352427557, 463699673, 455034720, 863006571, 437250669, 474246285, 1417495438, 1351603859, 437250696, 440411635, 1484320855, 489293361, 444323376, 437250680, 460478768, 1344065160, 459000945, 1303072386, 1405420941, 1398451964, 34200046, 34057671, 1460939432, 510697890, 1312755194, 1410199995]"
8532218269,童声｜清澈人心的童声翻唱,"听小孩子唱大人的歌

没有原唱的些许辛酸

也没有成年人的沧桑

他们唱出的是孩子对未来的畅想

这可能就是成长最神奇的魅力","['欧美', '流行', '儿童', '儿童']","[34084205, 26397387, 454438800, 1369794434, 452986314, 454438801, 1369790862, 29375405, 16460722, 1231775, 19098254, 17075871, 34084156, 17996972, 29823143, 22481463, 33223284, 406924319, 3161067, 20671335, 27949504, 18543508, 25714152, 18543515, 19711379, 16460735, 20671339, 25714146, 1791490, 25714157, 1217823, 16682565, 3583604, 18803411, 22481457, 22481464, 1215396]"
111539821,Special | 小朋友喜欢的音乐,这是给每个大人的儿童节礼物，每个大孩子都应该有的儿童节~~,"['欧美', '儿童', '快乐', '儿童']","[1092022, 33599268, 4025350, 4025358, 4025361, 4025365, 4025368, 4025371, 4025373, 4025377, 4025380, 4025383, 4025385, 4025394, 4025404, 4025409, 4025415, 4025421, 4025427, 4022598, 4022599, 4022600, 4022601, 4022602, 4022604, 4022605, 4022606, 4022607, 4022608, 4022609, 4022610, 4022612, 4022614, 4022616, 26984991, 26984994, 26984988, 26984989, 26984984, 26984983, 26984976, 26984985, 26984980, 26984993, 26984977, 26984987, 26984979, 26984981, 26984975, 4021988, 4021992, 4022002, 4022010, 4022015, 4022022, 4022030, 4022034, 4022040, 4022046, 4022052, 4022064, 4022069, 4022074, 4022083, 4022094, 4022097, 4022100, 4022104, 4022113, 4022118, 4022123, 4022137, 4022140, 4022143, 4022146, 4022152, 4022155, 4022160, 4021609, 4021618, 4021622, 4021626, 4021630, 4021634, 4021640, 4021644, 4021648, 4021660, 4021664, 4021673, 4021688, 4021697, 4021702, 4021705, 4021716, 4021719, 4021721, 4021724, 4021729, 4021733, 4021737, 4021746, 4021748, 4025191, 4025196, 4025199, 4025201, 4025205, 4025216, 4025220, 4025224, 4025231, 4025238, 4025250, 4025254, 5166464, 5166465, 5166466, 5166467, 5166469, 5166474, 5166475, 5166476, 5166479, 5166481, 5166482, 4025271, 4025272, 4025273, 4025274, 4025277, 4025280, 4025284, 4025288, 4025292, 4025296, 4025300, 4025303, 4025306, 4025308, 4025311, 4025314, 4025317, 4025321, 4025323, 4025325, 4025329, 4025331, 4025333, 4025327, 4025189, 383862, 28707948, 28707949, 28707950, 28707951, 28707953, 28707954, 28707955, 28707956, 28707957, 28707958, 28707959, 28707960, 28707961, 28707962, 28707963, 28707964, 28707965, 28707966, 28707967, 28707968, 28707969, 28707970, 28707971, 28707972]"
124737303,北京天使合唱团十二碟,天籁之音，童年的记忆。,"['华语', '民族', '儿童', '儿童']","[344745, 344746, 344747, 344748, 344749, 344750, 344751, 344752, 344753, 344754, 344755, 344756, 344830, 344832, 344835, 344838, 344841, 344844, 344847, 344849, 344851, 344853, 344856, 344859, 344861, 344910, 344914, 344917, 344920, 344922, 344924, 344926, 344928, 344931, 344934, 344937, 344943, 344944, 344945, 344947, 344949, 344951, 344954, 344957, 344960, 344963, 344966, 344968, 344970, 344733, 344734, 344735, 344736, 344737, 344738, 344739, 344740, 344741, 344742, 344743, 344744, 344660, 344661, 344662, 344663, 344664, 344665, 344666, 344667, 344668, 344669, 344670, 344671, 344672, 344690, 344692, 344693, 344694, 344695, 344697, 344699, 344700, 344701, 344702, 344703, 344705, 344707, 344709, 344787, 344790, 344793, 344796, 344799, 344802, 344805, 344808, 344811, 344814, 344817, 344819, 344821, 344824, 344711, 344715, 344716, 344717, 344718, 344720, 344722, 344724, 344725, 344726, 344727, 344729, 344761, 344763, 344764, 344765, 344767, 344768, 344770, 344772, 344774, 344776, 344778, 344780, 344869, 344872, 344875, 344878, 344880, 344882, 344884, 344887, 344889, 344891, 344893, 344896, 344899, 344902, 344673, 344674, 344675, 344676, 344677, 344678, 344679, 344680, 344681, 344682, 344683, 344684, 344685, 344686]"
3055812675,真的是Glass Animals中国巡演歌单,"原来的Palm Mute已确定名称为Your Love正式发行。

北京场和上海场歌单相同，成都场没有Agnes和Crazy。封面来自REXBERAY提供的2019.11.29上海场歌单。crazy是翻唱。","['KTV', '儿童', '儿童']","[1403421608, 427416514, 28636951, 28636956, 427373604, 427416520, 1468928417, 28636953, 1424645859, 427416518, 427373602, 427416515, 427416521, 26844402, 427416517]"
2898707556,鬼火的花手摇,摇就完事了,"['儿童', '学习', '安静', '儿童']","[1908083121, 2004986731, 2041615133, 2021374017, 2050215361, 2087336342, 2081870009, 2080138771, 2025091391, 512080803, 2052092037, 2056811636, 2058688293, 1907568302, 1993580588, 2025199179, 1401922529, 2000970246, 1932013623, 1901372151, 1902568968, 1920971847, 1806183952, 1480553180, 1926442167, 1921864486, 1836108522, 1831476765, 1851625688, 1498892428, 1906534385, 1899851781, 1867155226, 1886187861, 1826987538, 1831403578, 1807551521, 1879815403, 411988657, 441618353, 451376011, 1867452867, 1415453081, 1301573283, 1897304090, 462861298, 1831776393, 1831769128, 1899521702, 1877148303, 1836117642, 1397307772, 1898221439, 28738474, 1879680138, 1816838227, 1831786390, 1831419729, 1479720114, 5104192, 1883571439, 1827008832, 1451156346, 1840751122, 1396955280, 1830737654, 1895654197, 1852743242, 1831802286, 1830745750, 1401922518, 1864698492, 1862729929, 1810190744, 1488749604, 1830744961, 1387592205, 1813880995, 1858383695, 1831409174, 1831771147, 1827002738, 1808595159, 1825961969, 1807071038, 1501012943, 865021119, 1335244546, 1441860073, 27246960, 1431915853, 1473560238, 1407594595, 1470129356, 1471024962, 1442466164, 1458314796, 1395189311, 1475187478, 1448260304, 1471818561, 1471984833, 1471064193, 1440204222, 1469840526, 1460839761, 1457312606, 1464342224, 1435291547, 1429424264, 1441270521, 1377289570, 1388594375, 553764951, 1388400536, 1347022166, 1407813608, 1399156635, 1433448874, 1392580718, 1432784065, 1431679318, 1376715853, 1426666131, 1394731586, 1391026989, 1361975987, 1396953490, 1379121611, 33922164, 448317040, 1416761424, 440767880, 1387591269, 1413156651, 1315569924, 1386593207, 1365398014, 1371703064, 1372369848, 1397680000, 1374521275, 1395015889, 1381609574, 1401080430, 1409329186, 1399697984, 1392986529, 1387591255, 418602088, 451981574, 1322313549, 550829288, 1357210157, 1398241685, 495311013, 452804123, 452814235, 452804131, 1385757429, 34144963, 1396568322, 1341074565, 1357278354, 1353745355, 865909147, 5301152, 27010478, 487379597, 1333717537, 525964142, 1335230397, 532156099, 1348066360, 1355095007, 458725081, 1303046498, 1381134838, 548823382, 1377530437, 1364800274, 1304716261, 446154202, 471761613, 1325896666, 451521111, 1316375729, 1332398606, 28953651, 1386669632, 1314510530, 1359156131, 520928254, 1372369851, 33937011, 493540171, 452986351, 28690875, 399366190, 1379323009, 543203947, 497616880, 1331996746, 515452048, 1367034768, 1380294757, 864807160, 1345693361, 1334717237, 1346764685, 1367280230, 445845230, 471969786, 1335033369, 1373881554, 1371056767, 1352279782, 442562229, 1332461204, 1351225950, 1340461397, 1330769879]"
595321768,我亲爱的童年给我来一打,"2017年的我是一个03年的孩纸，回首想想自己以前看过的动漫，听听自己曾经喜欢的动漫op。大部分能找到，而有些，是找不到了。或者说，是根本忘却了。
前些日子在农科频道有演《天上掉下个猪八戒》，来晚了，最后只听个片尾的“八戒，八戒，傻的可爱”故有所感写此。

小蝌蚪找妈妈、天书奇谭、海尔兄弟、舒克贝塔、黑猫警长这种的不用说也自是经典。
虹蓝、蓝猫、三毛、天眼、图图、喜羊羊、大角牛、开心宝贝、哈皮父子、雷速登、老夫子、火星娃、超兽武装。
小神龙历险记、小鲤鱼历险记、成龙历险记、洛洛历险记、奇奇颗颗历险记。
铠甲勇士、天火传说、快乐星球、最强魔幻陀螺、咕噜小精灵、疯丫头、李天腾与赵小宝、萌学园。
游击神兵、聪明的顺溜、小虎还乡。
精灵世纪、瑶玲啊瑶玲、憨八龟、月亮街。
中华小子、超兽武装、山猫和吉咪、神兵小将、星星狐、晶码战士、劲爆战士、星际恐龙、火力少年王、快乐星猫、十二生肖闯江湖、弹珠传说、神龙拯救队、战龙四驱、超蛙战士、蓝猫龙骑团、蓝猫淘气三千问、恐龙宝贝、哪吒传奇、星海奇航、东方神娃、东方少年、天下掉下个猪八戒、电击小子、大头儿子、福五鼠、围棋少年、神兽金刚、斗龙战士、魔角侦探、星游记、美猴王、少年师爷、三七小福星、那年那兔那些事、童子传奇、魁拔、海宝来了、魔晶猎人。
看过很多动漫，记不得多少，虽然有部分是近几年出的，但印象依旧深刻，以后又会是童年。
或许现在我一个十几岁的大孩子谈论童年有些过早，那又如何
经常呢看见有人说什么00后没看过几部经典啊什么的，其实我只想说，00后又怎么样？能代表什么？凡事那么绝对作何？
值得一提的是喜羊羊与灰太狼，不可否认这也确实是我的童年之一，印象最深的大概就是古古怪界那里。
而现在，真正好的动画也不多了。
有时回过头来看看以前的动漫，虽然画质剧情可能并不是很好，但是在我眼中已经很棒了。
他国的星际宝贝、小熊维尼、加菲猫、忍者神龟、变形金刚、蓝精灵、麻辣女孩、猫和老鼠、高米迪。
日漫宫崎骏爷爷的自不用说，排球少年、哆啦A梦、全职猎人、名侦探柯南、美少女战士、樱桃小丸子、迪迦奥特曼、数码宝贝、聪明的一休等也是自己小学时的挚爱。
此致我们终将逝去的青春。
很多没看过的东西不打算往里面放，毕竟这是对自己的回忆，放那么多，却又不属于回忆的东西有何用呢？
<初次整理于2016年11月份左右> 这时，我14岁
这时，我初三
而那时，却早已忘怀","['怀旧', '儿童', '影视原声', '儿童']","[392383, 28188452, 473850008, 33004428, 22642372, 27928146, 33248099, 27901832, 31838335, 27901669, 33187451, 34766643, 5242612, 394987, 27901942, 35726221, 27928321, 27896701, 27901956, 27901951, 408332757, 27906425, 28613320, 27901744, 22742684, 29401322, 677804, 33187450, 29844877, 412187248, 29819850, 5263408, 108428, 297791, 407677086, 25886990, 863703, 462686462, 30251429, 399555143, 30780254, 404543013, 413077249, 485355004, 31108862, 27927965, 442605178, 415786427, 26619167, 462686464, 482413377, 482414167, 479410931, 1296558227, 355992, 28819155, 410654557, 29812407, 29746560, 439915168, 436699420, 436699283, 27901808, 27906153, 28953461, 28959135, 26380256, 26380296, 29544002, 29848543, 27907298, 28029828, 394637, 394634, 28138430, 30070924, 412175215, 412175242, 5263409, 26381196, 4877778, 27896347, 412187240, 412187234, 5278076, 330498, 29810089, 27907726, 27896699, 238963, 28844534, 27907341, 27896652, 5263407, 31108772, 5263406, 27937879, 286071, 27927843, 29850050, 34364152, 27901235, 4991728, 33937312, 255184, 5041908, 28953457, 27907840, 29498099, 25962437, 28409165, 412175221, 412175241, 28708806, 555959, 25893916, 29418974, 28798506, 255436, 186269, 27927750, 27571930, 4940920, 27908110, 394066, 26129512, 27896282, 34280296, 28471464, 28077567, 402176363, 32752002, 28832363, 27901416, 27570832, 28528934, 27896487, 412175260, 395571, 28695638, 26380257, 4873075, 4873065, 27946524, 28267531, 28267530, 33419110, 4872576, 27901548, 35778405, 28267550, 29818261, 28267552, 448722019, 27896321, 29593103, 34341458, 29593117, 32737977, 32737976, 29848624, 27946215, 29822059, 27896711, 27896740, 33737425, 27908022, 29378963, 27896941, 27904321, 233293, 31835410, 31108863, 27946143, 29822085, 28732340, 27901933, 125857, 27907904, 27907902, 29562240, 29562241, 27906147, 32639017, 27907768, 29023521, 30870988, 30830982, 457967248, 31273716, 27946216, 34324641, 5251825]"
100144895,『儿歌』学英语要从娃娃抓起,节奏欢快的英语儿歌，基本都选择了童声演唱版本。,"['欧美', '儿童', '经典', '儿童']","[5270558, 22508974, 31356408, 33004808, 32405127, 33004805, 33004806, 33004813, 33004810, 383626, 383859, 383638, 28700241, 3551690, 25727291, 22284281, 22284286, 22284288, 2981580, 22530856, 22508999, 22509001, 22508984, 22508986, 22508979, 22509007, 22508947, 22509010, 22508956, 17422858, 17422863, 17422865, 17422871, 17422870, 17422866, 17422867, 28031114, 392757]"
6607530752,任何时间－任何地点－超级侦探－认真办案,"歌单名字来自动画片《小熊维尼与跳跳虎》

---不定时更新---

听觉是有记忆的
音乐也可以是时间的载体
听到小时候的动画片歌曲
会不会想到
准时坐在电视机前等待动画片播放
和伙伴分别扮演动漫人物
把路边的树枝和不知名棍子捡起来
耍着自认为最帅最厉害的招式来回切磋
幻想着自己也能遇见会说话的小动物
以及等待自己的数码宝贝

那个时候看动画片就是会魂牵梦绕日思夜想
和小伙伴课间放学路上都在谈论着剧情
漏过了一集迫不及待的让小伙伴讲给你听

那个时候再炎热的夏天也要出去玩
再远的距离也要去找那个喜欢的伙伴
真的是随时随地都可以去找他们
甚至在日记本里写到“吃完饭我要去找老张玩”

除了精彩和令人深思的剧情
动画片里的片头片尾和插曲的旋律和歌词也是很用心的

这个歌单本来是自己听的
陆续也被好多人收藏
先感谢大家的喜欢啦~！
因为是按我的喜好和记忆
创建的歌单
可能会有你不喜欢的歌曲
跳过就好
好比对我来说邋遢大王掉进老鼠窝就是童年阴影
听到这些歌曲的时候会短暂的开启小型时空甬道
回到那个“小时候”

希望大家心里的小男孩和小女孩
一直都可以手舞足蹈的耍起来
祝大家永远都快快乐乐健健康康平平安安

啊啊啊啊写的词不达意，伙伴们见谅

2021.11.16-23:47","['华语', '影视原声', '儿童', '儿童']","[1464314931, 199766, 33705391, 33705392, 27896941, 144187, 27901803, 27906420, 34280143, 199768, 31645206, 27946216, 31835410, 234951, 29418974, 31365604, 27907298, 31838335, 1808293217, 394987, 394990, 27901951, 1446269158, 29848703, 28409805, 252171, 28953457, 29848543, 412175260, 27896321, 27928321, 453684182, 473850008, 27571930, 108428, 872474, 27901832, 29023521, 501302894, 28152182, 29593117, 27908110, 4873065, 4876674, 27896701, 27946143, 29848668, 29848692, 28953442, 30830982, 31273716, 29844877]"
5320291711,「亲子时光」快乐的宝宝乐园,用心记录你生命里每一个不可复制的瞬间，你的可爱治愈一切的不可爱,"['儿童', '快乐', '儿童']","[5275443, 27853752, 395674, 31654481, 863489646, 864489525, 1433983480, 461746, 1296886, 16334771, 472109066, 865890747, 554087898, 509720124, 16334786, 400876504, 40021474, 1312232137, 1308365195, 432430292, 461510118, 1926723, 25159758, 400876516, 1362330159, 477839698, 495562302, 103301, 5259196, 1395929056, 4948952, 479494742]"
