769525238,助眠曲（纯音乐）,纯音乐令人放松，治愈人的内心～,"['午休', '放松', '治愈', '午休']",[]
2229893101,大自然的声音-鸟鸣溪流都市减压之音,"夏天已经悄然降临，人们脱下了长袖外套，换上了半袖衬衫，以抵挡烈日的侵蚀。每到5月份，天气就开始“鬼畜”，时而凉爽时而闷热，而到了7月，冷风将不复存在。

有人喜欢夏天，也有人不喜欢，喜欢的理由有很多，但不喜欢的理由主要只有一个：太热。闷热潮湿的天气对人们的工作有着很大的影响，甚至能使人变得急躁，做事不稳健，而失败时又会损害心态，造成恶性循环。

对付如此恼人的天气，大多数人都会选择开电风扇或空调，这确实是个有效的方法，但是经常开空调会使人的身体变差，损害健康，再加上昂贵的电费，似乎人工制冷只能属于一个下策。

“心静自然凉”，在炎热的夏日，最重要的是让自己静下心来，摒弃杂念。很少人能在繁忙的时候心如止水，那么我在此推荐一些清凉的歌曲，帮助大家缓解燥热的心灵。","['放松', '午休', '清晨', '午休']","[427606780, 467744316, 482795306, 481854412, 16846088, 481854410, 480353, 1220787, 3951336, 537223435, 3950116, 481849722, 542150595, 784511, 481849724, 557805233, 481849725, 481849723, 853699, 853692, 17673537, 26099530, 427542478, 509714886, 5272015, 541145531, 481849721, 31246600, 28941663, 535032]"
110827260,码字必备 · 纯音,写作时该听什么纯音。（初衷就是自己每次写文案和作业时 找不到好听的bgm 那不如把平时听到有感觉的纯音整理一起 所以有了这个歌单 就是自用 有人喜欢我也开心呐,"['学习', '午休', '夜晚', '午休']","[493950499, 2056019491, 1374602770, 1959009137, 514195942, 2024269479, 2009974513, 425053025, 1384778262, 1942559614, 1294856148, 20733579, 1456445892, 1922652961, 562990492, 489178319, 543793, 1862246532, 19606011, 1438038739, 36492599, 418602744, 1361336438, 1343379745, 28151052, 591321, 1465211967, 1336510679, 1892612448, 865857528, 1430425282, 22706999, 1349888448, 590475, 545152017, 29816872, 461124153, 4946875, 1887660863, 1851661155, 1844624433, 1428454300, 1891476923, 1865458816, 1423158948, 1930531970, 1841195316, 494410035, 39227633, 1920499693, 1472951322, 1869966570, 1895314394, 1895142710, 862881959, 1444605178, 1927525697, 1909154929, 1860122134, 1872464912, 1497586066, 1300728225, 1416480956, 1890756154, 1442411301, 1805817475, 1300743530, 1909414208, 1374617387, 1871983172, 1295212133, 1407911715, 1399824293, 1357576404, 1856531775, 1422474648, 1439739102, 1483533107, 1431403321, 1905096365, 1367381077, 1882828557, 1866180834, 1458914176, 22712634, 442853877, 1457681678, 529257644, 1846218799, 1842865092, 1866365683, 1418179031, 1398014749, 462177081, 1379254065, 1392991114, 1363763275, 1302155722, 1336866790, 1424044700, 1457836915, 1832826597, 1825998212, 1316330689, 1474959445, 1447765414, 1821851036, 1392083819, 1407648820, 1439767696, 1144365, 1417158308, 1293036, 1466963184, 1357774918, 1438640937, 28830411, 1830300331, 479223598, 1328010693, 1307399615, 517897043, 1447721226, 491369313, 1439323610, 495562302, 1820673129, 1811445719, 1443840214, 32640146, 1446709762, 1465424152, 1804911969, 554311296, 1458482125, 1458639005, 527114557, 1817107020, 478596258, 1496132290, 1439393968, 1445464433, 1390670470, 474535448, 1434693682, 1424692413, 1401905895, 1478276986, 1441891917, 1462956212, 1293825852, 1463366813, 1814081146, 1403271018, 1372350509, 1404361902, 409302035, 1349711287, 25721078, 1381739223, 1397701467, 1451669556, 1429945855, 1466791885, 1482171767, 483200154, 1704824, 1484081302, 468882407, 1442710088, 440796853, 522354237, 16139397, 1434518736, 1478788497, 1379931671, 1429214739, 554308724, 493295352, 1300995139, 471566576, 1364400123, 33872380, 1301409077, 1437311884, 1397148900, 1429090683, 1432632388, 541249555, 435307088, 488286124, 1399368360, 28593175, 1398909242, 25731431, 554853197, 549169680, 1379255011, 28661549, 1352032861, 1372514696, 492390949, 1330904182, 547105576, 1638489, 1315960996, 476323051, 1331819055, 525443824, 419877515, 1321604585, 1378992061, 1387387040, 521798321, 486628240, 357023, 412319569, 515384475, 1313858310, 539954686, 1327979350, 1313854497, 863807945, 556673324, 1329123255, 26524343, 451600687, 551555692, 542180466, 545860715, 1325713975, 462376630, 558114878, 512106123, 454930083, 448463940, 513049107, 493410536, 476904280, 410710597, 1302564340, 421934478, 473968891, 1309369174, 550815849, 517542039, 425100752, 433059656, 464863017, 440411401, 512358366, 526687803, 557584800, 5064939, 554989909, 2108225, 439665522, 863464857, 559227860, 477332731, 571828086, 515816332, 477726815, 34057469, 482636134, 407007703, 408943384, 447279824, 1297299719, 499675131, 436668326, 27591660, 557584804, 479219481, 518894020, 433107530, 38679412, 26908739, 5188837, 479320305, 32639078, 139774, 441617611, 484992531, 31721419, 27364034, 458696351, 29759354, 36924113, 4894309, 30780430, 857891, 34002409, 30496124, 26391486, 455382413, 36492803, 33933137, 33343594, 505449407, 5268323, 29710964, 32743519, 32451978, 28828076, 29753366, 410161058, 3932159, 29544794, 26484066, 421934070, 461301537, 493735090, 475072607, 494858498, 34033274, 486837325, 436147067, 443242, 480426470, 1073700, 505594080, 421885589, 511600987, 29401808, 467821130, 467097313, 481859401, 485964248, 1313980, 486990026, 16494139, 467818346, 426341501, 475463503, 1491163, 433107499, 3882876, 467142491, 487929846, 434022828, 511176125, 28481826, 496640, 532639073, 480286157, 466517660, 524805604, 519604416, 517346741, 527409141, 523863496, 506650377, 41631191, 5398849, 26237342, 19579117, 488958365, 487290168, 1992360, 1992696, 419077273, 26224540, 467163300, 404459371, 486577513, 428391474, 490687121, 411259310, 29722221, 407450660, 430053309, 422428337, 441532, 470759920, 30569197, 816893, 16468500, 857896, 423058298, 479494742, 477852468, 476625725, 477417503, 463722628, 470013877, 475584898, 408532991, 411347911, 427606780, 410042763, 251960, 435305207, 30070095, 28679443, 5260847, 4898911, 30251507, 431794476, 681432, 453130276, 437753541, 428391249, 590612, 451319227, 34532597, 406070435, 28754278, 22800602, 28907015, 28754398, 4956882, 801827, 439142571, 33252464, 416384526, 26116122, 27835701, 419373060, 441442, 439142564, 356760, 445522, 32069952, 406339, 28921684, 406072455, 20110049, 28089959, 30039520, 27901129, 2640613, 34532662, 27588029, 424474576, 34364411, 28692665, 350149, 350123, 440353010, 1369832, 1645108, 32823994, 214588, 1206866, 769681, 28692585, 3928985, 29819382, 39122914, 5174562, 32977485, 35407145, 34183389, 28399912, 30070938, 29819388, 20744853, 32717168, 30031477, 35779277, 29748058, 28358233, 2062992, 2007819, 3225153, 34187059, 33190632, 4892618, 23012737, 175609, 409649183, 29392943, 28268035, 33737082, 175601, 26464075, 33495597, 3552442, 1373296, 32717172, 2065349, 31789196, 410181618, 31445474, 28692687, 40257854, 26520921, 873013, 28692588, 40249973, 39635710, 27534035, 36190361, 29540090, 873017, 5081587, 761426, 760037, 34183391, 760058, 28957127, 689636, 22724729, 1718030, 2103702, 19934757, 4922660, 761317, 26196652, 36703095, 28996642, 17969102, 436717, 4882401, 767726, 29713218, 31680247, 730763, 4341314, 28828074, 31273477, 756162, 28078047, 31830774, 28534501, 28534502, 33469292, 32737088, 32823307, 1876958, 32857600, 30612660, 26537205, 28282565, 28282572, 139733, 1070924, 18565939, 28748599, 730861, 730852, 29103353, 35437869, 836352, 28411784, 448065, 441958, 441899, 31477983, 33516021, 663057, 4882389, 29340678, 785887, 874229, 28576476, 591797, 578090, 478384, 683826, 767138, 27709044, 730704, 30706246, 4996629, 28306025, 731409, 25730788, 28661982, 692448, 4968723, 29750588, 33709351, 28854135, 33887443, 34916301, 31370726, 29850085, 29312069, 27672422, 29047200, 29753364, 27506365, 26635188, 28302626, 28302623, 28302620, 28302617, 28302613, 28302611, 28302615, 19648861, 28100900, 30245064, 30398875, 30780431, 1698603, 29803287, 28912659, 29047169, 29027341, 499818, 16139381, 5086081, 1696373, 26234317, 30798041, 34696700, 2529472, 32166628, 32192216, 26379029, 29349792, 26624714, 28702321, 1926683, 27903692, 28302653, 623949, 624084, 28996630, 722299, 3935139, 28377225, 26624725, 28560087, 26328680, 2532290, 19934753, 28465109, 532802, 403230, 27552102, 28377202, 4924783, 28941070, 22743824, 22802176, 26123939, 16846091, 139206, 30780602, 22743825, 19934752, 25731432, 1696205, 2061452, 27575585, 1638658, 155847, 30854798, 30780595, 4968365, 4966856, 786262, 443823, 22712173, 836406, 477982, 528284, 443842, 493911]"
8782686489,写作业/休息/肝图必备神曲,持续更新中…,"['流行', '学习', '午休', '午休']","[2094234990, 2093797461, 1919435807, 1357917124, 1855329640, 1317285056, 1931154980, 1862246532, 1915270811, 2009974513, 2078383612, 409647388, 1484050926, 26428032, 1827038717, 1981814200, 1357116204, 1827038716, 1981814202, 475277350, 18228464, 1397345903, 2052349052, 1318733599, 1895330088, 2000845246]"
8834047182,轻微律动 | 理想中的松弛剂 自由 随性,"人最有魅力的时候，就是对周围一切的人和事物保持自由随性的状态；不在乎他人的评价和眼光，不在乎自己是否有存在感，永远有自己的节奏和步调

允许一切发生，允许世事无常，允许遗憾和失去","['流行', '午休', '清新', '午休']","[1930754383, 2093265394, 1819022210, 1958772107, 2015913075, 2060567211, 2071529058, 2080279430, 2049495339, 2058721269, 1891468810, 2092491243, 2088128378, 1462870084, 1434225464, 2080331573, 1442875789, 563855834, 1873222936, 1417970164, 1301861947, 1429111069, 1475490186, 554375621, 1324035458, 1394936381, 566435601, 1332891451, 436698064, 479223488, 1375909977, 548006139, 570317222, 1473633626, 1386987672, 1389177644, 423228334, 1375778323, 1364530152, 523042017, 556066473, 500637550, 509135896, 1414940085, 1379581838, 1399335951, 1457530028, 554244881, 2093260578, 530967641, 1308818222, 512358397, 500412390, 1378282335, 573684794, 564742278, 1305033001, 1351582276, 1350747683, 1317500912, 1454864598, 1393557000, 1398324387, 1409233700, 501220832, 1371419255, 1418112141, 1387110551, 475597495, 1364478109, 507532205, 1335390158]"
8643093547,纯净极简｜戴上耳机 找一处静地 酣然入睡,"★未来会很明朗
The future is bright,
৫好运正在路上
good luck is on the way.

极 静 氛 围
安 静 极 简
戴 上 耳 机
享 受 惬 意

——————————————

编辑：2023.8.10","['轻音乐', '午休', '安静', '午休']","[2094207041, 28660324, 2083156418, 2077577441, 1351183637, 1406687958, 2080783044, 2064848072, 2078371054, 1413374282, 1474400749, 1417520524, 22706973, 422429425, 1428348753, 28411043, 19934757, 480353, 1474956928, 1956462195, 1317736524, 1348688293, 1962591063, 1319512631, 1939751157, 1457681678, 28679443, 28679440, 399232, 1474959445, 1455273374, 1341188304, 1449808251, 1410273354, 488388726, 1450273773, 1427725543]"
7492226008,开心能量棒：和所有的烦恼说拜拜,从卖气球的人那里，每一个孩子都牵走了一个心愿。,"['午休', '快乐', '午休']","[2088455810, 2101770278, 2071935674, 2105347020, 1357375695, 1328921249, 1363553440, 109628, 1970514994, 1496849842, 76881, 1358848617, 1919397409, 2104035607, 2103011013, 1317410061, 2100272249, 2098533780, 209314, 2019301925, 2102678825, 2034587234, 2104362715, 2096174015, 2051460329, 1462515184, 37239070, 2105435473, 2081807012, 2096457647, 2094482745, 568207693, 65355, 366577, 1317285056, 2076157019, 1811283484, 2095788526, 2092609468, 28875146, 2093250080, 2103367323, 2102656883, 1919295740, 2075919867, 2063156218, 2091998054, 88926, 2060731968, 2013399294, 2105386054, 2103417810, 1942576027, 1439814454, 1955734837, 1901109775, 1869548967, 1955978156, 285089, 2073407441, 1968869187, 2095592331, 1501447963, 2087519068, 1848550739, 25648006, 2009060751, 2105433658, 1875556096, 27984071, 1948825591, 1424460203, 2083403742, 2089085648, 2079916611, 2102598589, 2064960966, 26226510, 1835122771, 33984984, 1360465542, 2099903339, 1899129643, 1950226381, 25986099, 2105386056, 109508, 2104689303, 26428033, 2101743428, 409931573, 2009573708, 2101784546, 209115, 518904119, 25713016, 2064865933, 25713022, 2080855007, 2104376882, 2090755232, 28068785, 1996929972, 2090868102, 2087803856, 3947467, 2012291672, 2034501083, 2100355124, 1346730455, 1357374736, 495556671, 2011122001, 2015896805, 2059469584, 2077013182, 1980337835, 2097764786, 29041788, 2093980140, 2105842577, 1983206561, 2056938905, 2015224950, 2004847101, 2019972021, 27646205, 16629199, 2068154585, 2079740404, 2037408149, 1786865, 27506041, 2027161167, 2088128378, 27676680, 1814360310, 2090848229, 1989011024, 27896762, 1954392119, 2027894485, 2086367711, 385795, 1374661014, 63705, 1334264543, 1939778457, 863471519, 2087411902, 2055606961, 555973315, 209867, 1899259018, 66938, 1404596131, 2016642638, 5341517, 109616, 1906015837, 2013195821, 382649, 2104766630, 1963168825, 2093257551, 2056497249, 1898013585, 2101055525, 2097226534, 2061890668, 1996687234, 1427676242, 1851715422, 22845915, 517890065, 2098502618, 1846520684, 2102597674, 2078182235, 5283519]"
7256342406,原神枫丹OST4.2/睡觉/纯音/催眠/助眠/放松/,"枫丹音乐太优雅了，又蕴含着许多情绪变化。使用的乐器音色穿透力还蛮高的，有些可能会让心静不下来睡不着，我得亲自试一试，斟酌后稍加删减。

ps 二创部分有时想念了我会睡觉自己听，想要婴儿般睡眠的可以直接跳到第六首。","['游戏', '午休', '轻音乐', '午休']","[2100332422, 2099318071, 2086091247, 2086092043, 2014336709, 1983534049, 1880127698, 1913819637, 2085833516, 2085833517, 2085833518, 2085836726, 2085836727, 2085833519, 2085836728, 2085833520, 2085833521, 2085833522, 2085836729, 2085833523, 2085833525, 2085836730, 2085836731, 2085833526, 2085833527, 2085836732, 2085833528, 2085833529, 2085836733, 2085833530, 2085833531, 2085833532, 2085836736, 2085836737, 2085836739, 2085833533, 2085833534, 2085836740, 2085836741, 2085836742, 2085836743, 2085833535, 2085836744, 2085833536, 2085833537, 2085836745, 2085833538, 2085833539, 2085836746, 2085836747, 2085836748, 2085833542, 2085833543, 2085833544, 2085836749, 2085836750, 2085836751, 2085833545, 2085836753, 2085836754, 2085836755, 2085836756, 2085836757, 2085833546, 2085836758, 2085833547, 2085836759, 2085836760, 2085833548, 2085836761, 2085836762, 2085836763, 2085833549, 2085833550, 2085836764, 2085836765, 2085836766, 2085836767, 2085836768, 2085836769, 2085836771, 2085833557, 2068981336, 2068981337, 2068981340, 2068982792, 2068981341, 2068982793, 2068982794, 2068981342, 2068981343, 2068982796, 2068982798, 2068981344, 2068981345, 2068982799, 2068982800, 2068981346, 2068982801, 2068981348, 2068982802, 2068981349, 2068982809, 2068982810, 2068982814, 2068982816, 2068981361, 2068982821, 2068982822, 2041862692, 2041862693, 2041862694, 2041862695, 2041862696, 2041862697, 2041862698, 2041862699, 2041859149, 2041862700, 2041862701, 2041862702, 2041862703, 2041859150, 2041859151, 2041862704, 2041862705, 2041862708, 2041862710, 2041862711, 2041859157, 2041862715, 2041859159, 2041862716, 2041862717, 2041859160, 2041862719, 2041859162, 2041862721, 2041859163, 2041859166, 2041862722, 2041859167, 2041859168, 2041859169, 2041862723, 2041859170, 2041859171, 2041862724, 2041862737, 2041862738, 2041859180, 2041862741, 2041862742, 2041862745, 2014246625, 2014246624, 2014247580, 2014246621, 1992139160, 1992141906, 1992139161, 1992139162, 1992139163, 1992141907, 1992141908, 1992139164, 1992139165, 1992139166, 1992141909, 1992141910, 1992139169, 1992141911, 1992141912, 1992139170, 1992139171, 1992141913, 1992139172, 1992141915, 1992139174, 1992141917, 1992141918, 1992141920, 1992139176, 1992141921, 1992141922, 1992139177, 1992139178, 1992141923, 1992141924, 1992139179, 1992141925, 1992139180, 1992141926, 1992139181, 1992139182, 1992141927, 1992141928, 1992139183, 1992141929, 1992343566, 1992344583, 1992343567, 1992343568, 1992344585, 1992344587, 1992344588, 1992344590, 1992344591, 1992344592, 1992343570, 1992344593, 1992344594, 1992344595, 1992343575, 1992343576, 1992344597, 1992343577, 1992344598, 1973622666, 1973619538, 1973619539, 1973622676, 1973622677, 1973622678, 1973619543, 1973619546, 1973619551, 1973619552, 1973619555, 1973619556, 1973622683, 1973622686, 1973619558, 1973619559, 1973622916, 1973626811, 1973626812, 1956543018, 1956543017, 1956541077, 1956543016, 1956543015, 1956543009, 1956541075, 1956543008, 1956541074, 1956543007, 1956543006, 1956543005, 1956541073, 1956543004, 1956541072, 1956541071, 1956541070, 1956543003, 1956541069, 1956541068, 1937114373, 1937114376, 1937114394, 1937114396, 1937111410, 1937114374, 1937111412, 1937114370, 1937114367, 1937111395, 1937114363, 1937111397, 1937111399, 1937111402, 1937114368, 1937111391, 1937114362, 1937114383, 1937111392, 1937114366, 1937114375, 1937111284, 1937111282, 1937111289, 1937114240, 1937111155, 1937111292, 1937114236, 1937114224, 1937114141, 1937114186, 1937114237, 1937114228, 1937111280, 1937114140, 1937111279, 1937114234, 1937114248, 1937114227, 1937114138, 1937114136, 1937114188, 1937111257, 1937114206, 1910966474, 1879108727, 1879108715, 1879098414, 1879098423, 1879098373, 1879108679, 1879098367, 1879098374, 1879108670, 1879098355, 1879108676, 1879108674, 1879098363, 1879108669, 1879098366, 1879108675, 1879098369, 1879108673, 1879098353, 1879098361, 1879098360, 1879108678, 1879108677, 1879108672, 1879098365, 1879108667, 1879098371, 1879098358, 1879098370, 1861579822, 1861578817, 1861579819, 1861579820, 1861579781, 1861577585, 1861577583, 1861576562, 1861577584, 1861577582, 1861576559, 1861577581, 1861576558, 1861577580, 1861576557, 1861577539, 1861402597, 1861403392, 1861402595, 1861403390, 1861402591, 1861403394, 1861403389, 1861403396, 1861402593, 1861403398, 1861403393, 1861403397, 1861403400, 1861403399, 1861403401, 1833805540, 1833806441, 1833805559, 1833806430, 1833806443, 1833805537, 1833806429, 1833805557, 1833806442, 1833805536, 1492276672, 1492276648, 1492276661, 1492276659, 1492275965, 1492275978, 1492276644, 1492275964, 1492275973, 1492276646, 1492275956, 1492276643, 1492276642, 1492276629, 1492276640, 1492275979, 1492275967, 1492276641, 1492276611, 1492275929, 1492276610, 1492275928, 1492275930, 1492275974, 1492276660, 1492275845, 1492275689, 1492275688, 1492276427, 1492276425, 1492275687, 1492275686, 1492275683, 1492276424, 1492276422, 1492276416, 1492276417, 1492275675, 1492276423, 1492276421, 1492275673, 1492275671, 1492275669, 1492276415, 1492275672, 1492275680, 1492275685, 1492275681, 1492275670, 1492276420, 1492276418, 1492276419, 1492275684, 1492275678, 1492276412, 1492276426, 1492276411, 1481392468, 1481392466, 1481390661, 1481390663, 1481392469, 1481392464, 1481390662, 1481390646, 1481390658, 1481390656, 1481390660, 1481392465, 1481390636, 1481392439, 1481390642, 1481390617, 1481390644, 1481392436, 1481392438, 1481390634, 1481390635, 1481390619, 1481390641, 1481392260, 1481390534, 1481390501, 1481392259, 1481392261, 1481392264, 1481392263, 1481392255, 1481390533, 1481390511, 1481392244, 1481390520, 1481392257, 1481392262, 1481392245, 1481390529, 1481392130, 1455706961, 1455706955, 1455706956, 1455707353, 1455707352, 1455706952, 1455707358, 1455707351, 1455706951, 1455706958]"
8824129502,治愈纯音丨阳光下的惬意午后,和你在一起，每一件小事都闪闪发光，而我想在这些漫长细碎里，和你虚度时光，让日子变得清透明朗。,"['轻音乐', '午休', '放松', '午休']","[2094207200, 2094207041, 2077577441, 535586854, 511176125, 1450273773, 428391474, 2078371054, 1911427000, 443291232, 479494742, 1449553970, 866032176, 1426087185, 1409136605, 1478276986, 1435225104, 422429425, 1304960504, 1492668093, 574731407, 1463366813, 1843577172, 1351183637, 1831121916, 1428542159, 493911, 480353, 475774775, 1384026889, 1875294422, 28160230, 1460003986, 760058, 427606780, 1453907054, 1393674271, 1816837831, 477310237, 760037, 494992638, 492390949, 1474142439]"
3188169585,我喜欢那种安静的、睡觉时可以听的歌,就像方大同老师那种音乐,"['华语', '清晨', '午休', '午休']","[2090597090, 150619, 2103260002, 150617, 2100778160, 209478, 65536, 469998923, 240147, 28068286, 247807, 5257205, 150623, 150520, 306845, 85571, 150565, 299936, 306855, 82360, 25642952, 287063, 27598818, 35403523, 82184, 298317, 82453, 81993, 28406202, 82375, 1348568908, 150432, 1977139690, 25643327, 28432280, 25642139, 573968818, 25648006, 1353010640, 28029114, 28029113, 82362, 82372, 82378, 82381, 82384, 82366, 82190, 82496, 1462515184, 82203, 25648011, 28406199, 81890, 82187, 28403111, 82455, 81997, 25648005, 32683748, 82488, 81975, 28029104, 82194, 25648004, 82486, 421423806, 30431367, 30431376, 421423808, 30431364, 30431366, 421563713, 31152310]"
2983915861,助眠‖安静睡觉、只属于深夜的心动,其实我也只是一个很普通的女大 意外上传没想到会被这么多人喜欢 很乐意分享我的歌单 对于不好的地方接受指出 但是我也会伤心(扣手手） 对我个人来说在当时对我的睡眠是很有帮助的 如果没能助眠到您 我感到非常抱歉 但是请不要用恶意的语言对一个无辜的女孩（哭）,"['午休', '放松', '午休']","[2090597090, 1911991698, 1366031349, 479713267, 35032655, 420688, 404746110, 1442518161, 41462333, 26135327, 1363459789, 1366755870, 3162939, 31168244, 1237329, 518896967, 1992463, 3301923, 5302492, 32337030, 1215166, 29364501, 3301964, 32977723, 2424859, 3315209, 4946907, 1848983, 471986831, 488388700, 27571806, 1369952, 27566771, 28062403, 26127160, 26212423, 28661570, 29406314, 1231938, 778277, 527586, 817880, 1649391, 1293003, 1301567, 20110049, 2061452, 1638654, 5101648, 554618922, 1091873, 1236863, 416384526, 139177, 155850, 32743519, 434902428, 1369984, 26635189, 1638698, 22375061, 1419120, 1716317, 2283006, 1698069, 4078631, 1501606, 19648871, 1472386, 3025352, 30352983, 18618065, 41642074, 26137949, 416388365, 26137945, 410042763, 404459321, 28907016, 444524469, 523863496, 32717172, 39635710, 34183393, 476625725, 30569197, 439142564, 421934070, 439142571, 451319227, 5312105, 431794174, 453843751, 16468500, 427015197, 488490964, 483913436, 27876900, 490687121, 439139134, 431610359, 29172654, 412175020, 455634241, 500684082, 462516170, 32640771, 21725725, 1924496]"
