888471134,“德芙先生”的日常,答案很长，我准备用一生的时间来回答，你准备要听了吗？,"['欧美', '快乐', '兴奋', '快乐']",[]
8741796283,一起啊，去更远的地方。,"我知道电影票会褪色，小饼干会吃完。给你写的信，字迹会被岁月风干。但是我们一起走过的路，度过的时光，都是世间永恒的礼物。我会永远记得这些温暖，我会永远记得你。让我留在你的身边吧，陪你度过一年又一年。往后的日子还很漫长，我们的故事也才刚刚开始。
把你的手给我好吗，
我们一起去去更远的地方。","['华语', '快乐', '放松', '快乐']","[28285910, 229394, 440207932, 327089, 176999, 454828906, 1293886117, 1412022124, 25707139, 1426304544, 417833348, 247644, 2070243906, 461858558, 1920209515, 1297742551, 26598946, 307761, 1330348068, 168091, 1392600873, 156368, 4877408, 1813831223, 1413368107, 1307385071, 1807796555, 1359815264, 1868414597]"
2467074910,集合啦动物森友会!//云玩动森就看简介日志,"祝各位大头菜只涨不跌！
封面为实际游玩截图
随便写写快乐游玩日志，如果有人在看的话也请随意（笔芯）
因为字数限制只好写一段删一段啦，目前最新的会放在评论区！
感谢灵感来源@_Ririka_ 

8.27 开学前的最后一次更新，希望能交到好朋友！以后更新就要随缘了（悲
今天是卢姿的生日！祝这只可爱的小脑斧天天开心以后成为大偶像！
最近才发觉化石馆已经收集齐了！博物馆真的绝美，是有人（指三次）参观岛时必须要去的景点，永远滴神
尝试拒绝了一次阿獭果然第二回来找我时讲话有礼貌了（满意）但也不敢多试因为非洲人不敢保证一天能捞到那么多虾夷扇贝（泪

10.23 好好好久不见！！！因为上学实在很忙所以就理直气壮（bushi）地咕咕咕了（）因为有一位忠实观众（手动@白熊籽）催更了！！非常感动所以来更新！好耶！
10月份的万圣更新大家都看—了—吗—我极度狂喜因为终于可以种田了！！！！麻麻更加狂喜当天晚上把后花园铲平全种了南瓜（结果现在沉迷于符文工房升级赚钱）
秋天真的好适合麻花辫！！用特有的cosplay肤色美瞳搭了好几套绝美服装 我痴呆了这个小姑娘怎么这么可爱！（呐喊
好期待万圣节！！！可惜只有当天晚上有活动估计要上学玩不了了（悲
希望能出料理系统！！（双手合十

2.10
提前给大家拜年！！！祝新的一年事事顺心！！！！
今天早晨我从床上坐起来的时候，还在想“要是老任更新一个新年活动就好了，我能直接叫他任爸爸”，结果一打开游戏，红包！！！！福字！！！！还标明了大中华区噫呜呜噫，任爸爸——！！
来说说寒假恢复每天一登动森的事吧。先是好久没玩的我果然已经炸出鸡窝头，家里蟑螂横行；岛上的大家都非常担心我为什么在家自闭（其实是上学去了）这么久。
在上学期间真的错过好多，好多小动物的生日赶不上，连有烹饪的感恩节也没赶上QAQ至今不知道那个节日到底有什么样的活动，悲痛。还好这次狂欢节终于能赶上啦w
昨天晚上流星好多——我拼命许愿然后今天捡到了人生中第一个星座碎片！！
终于更新了坐下这个动作！以后就不用带着抱枕出门啦，随时随地往地上一瘫。
拼命给茶茶写情书送巧克力w好喜欢他w

7.28 明天有更新！多年鸽子精被炸出来了（
有棒冰吃好耶！我终于不用眼馋岛上小可爱的了！

8.5 焕发激情把乱乱的长满针叶树的二层好好的精装修了一下，改成了博物馆专区！（海豹鼓掌
一通操作后惊喜的发现岛终于五星了","['放松', '快乐', '游戏', '快乐']","[1433983480, 1433983484, 1433983486, 1433983490, 1433983485, 1433983488, 1433983491, 1433983487, 1433984478, 1433983489, 1433983511, 1433983522, 1433984505, 1433983521, 1433984506, 1433983520, 1433983519, 1433983523, 1433983524, 1433984503, 1433984540, 1433983563, 1433983537, 1433984532, 1433983552, 1433983544, 1433983547, 1433984533, 1433984537, 1433984531, 1433983545, 1433984536, 1433983539, 1433984546, 1433984525, 1433984535, 1433983551, 1433984534, 1433984538, 1433984526, 1433983540, 1433984539, 1433983546, 1433984528, 1433983550, 1433984541, 1433984527, 1433983541, 1433983553, 1433983554, 1433984543, 1433984548, 1433984542, 1433983555, 1433983560, 1433984547, 1433983557, 1433983564, 1433983556, 1433984544, 1433984553, 1433983565, 1433984551, 1433983558, 1433983561, 1433983559, 1433984545, 1433983562, 1433984550, 1433984555, 1433984530, 1433984549, 1433984552, 1433983574, 1433983577, 1433984575, 1433984574, 1433983580, 1433983584, 1433984580, 1433984577, 1433983583, 1433983582, 1433983588, 1433983585, 1433984579, 1433983587, 1433983579, 1433984572, 1433984576, 1433983578, 1433983586, 1433984573, 1433984582, 1433984590, 1434001659, 1434003523, 1434001661, 1434003524, 1434001664, 1434003525, 1434001665, 1434003597, 1434003591, 1434001733, 1434003595, 1434003593, 1434003592, 1434001732, 1434001731, 1434003596, 1434003598, 1434001810, 1434001805, 1434003672, 1434001807, 1434001808, 1434001809, 1434003671, 1434001806, 1434003674, 1434003670, 1434001854, 1434003713, 1434003715, 1434003714, 1434001852, 1434001853, 1434001856, 1434003716, 1434001851, 1434001855, 1434001987, 1434003844, 1434001983, 1434001984, 1434003845, 1434003843, 1434001986, 1434001985, 1434003846, 1434003842, 1434004015, 1434004014, 1434004013, 1434011132, 1434004012, 1434004016, 1434011138, 1434011140, 1434011139, 1434011137, 1434013244, 1434011380, 1434011379, 1434013245, 1434013248, 1434013246, 1434013247, 1434011381, 1434011382, 1434011383, 1434011509, 1434013346, 1434013343, 1434013344, 1434013350, 1434013342, 1434013345, 1434011510, 1434011508, 1434013347, 1434011587, 1434013424, 1434013425, 1434011589, 1434011590, 1434011586, 1434013420, 1434013422, 1434013421, 1434011588, 1434013476, 1434011700, 1434013478, 1434013477, 1434011699, 1433996693, 1433997651, 1433996691, 1433997655, 1433996690, 1433997652, 1433997654, 1433997653, 1433996694, 1433996692, 1433996741, 1433997687, 1433996743, 1433996742, 1433997688, 1433997697, 1433997698, 1433997710, 1433997711, 1433997713, 1433996786, 1433997717, 1433996784, 1433997720, 1433997716, 1433997735, 1433996797, 1433996796, 1433997732, 1433996795, 1433997782, 1433996851, 1433997778, 1433997781, 1433997777, 1433996862, 1433996869, 1433996870, 1433997807, 1433996868, 1433997814, 1433997817, 1433997816, 1433996875, 1433996878, 1433996880, 1433996879, 1433996876, 1433996877, 1433996881, 1433997867, 1433997866, 1433997868, 1433996936, 1433997865, 1433997898, 1433996956, 1433997895, 1433997896, 1433997897, 1433997001, 1433997942, 1433997941, 1433997943, 1433997944, 1434001035, 1434001036, 1433997981, 1434001033, 1433997982, 1433997986, 1434001045, 1434001046, 1434001044, 1433997987, 1434001476, 1434003347, 1434003345, 1434001475, 1434003346, 1434001495, 1434001521, 1434003387, 1434003386, 1434003377, 1434001530, 1434003391, 1434001529, 1434001531, 1434003394, 1434003396, 1434003395, 1434001539, 1434001536, 1434001540, 1434001537, 1434001538, 1434001660, 1434003522, 1434001658, 1433984588, 1433983591, 1433983596, 1433984583, 1433984581, 1433984587, 1433984594, 1433983603, 1433983606, 1433983599, 1433983605, 1433984598, 1433983610, 1433983597, 1433983602, 1433983600, 1433983612, 1433984600, 1433983609, 1433984591, 1433983601, 1433983598, 1433984596, 1433984601, 1433984593, 1433984599, 1433983611, 1433983604, 1433984610, 1433984611, 1433983621, 1433984608, 1433983623, 1433983622, 1433983626, 1433983624, 1433984613, 1433984612, 1433984609, 1433984621, 1433983627, 1428655538, 1428657074, 1428657075, 1428655784, 1428657310, 1428655782, 29966360, 1367360363, 1367360359, 1367359015, 1367360361, 1367360362, 1367359019, 1367359018, 1367359017, 1367360360, 1367368024, 1367359021, 1367359022, 1367368023, 1367360366, 1367360365, 1367360367, 1367360368, 1367360369, 1367360364, 1367360371, 1403451767]"
13651808,魔炮永恒！《魔法少女奈叶》全系列主题曲,"本歌单收录《魔法少女リリカルなのは》全系列作品主题曲及插曲，展开查看详情——
1.TV动画：魔法少女奈叶——OP《Innocent Starter》/ED《Little Wish lyrical step》/插曲《take a shot》
2.TV动画：魔法少女奈叶 A's——OP《ETERNAL BLAZE》/ED《spiritual garden》/插曲《snow rain》/插曲《brave phoenix》
3.TV动画：魔法少女奈叶 StrikerS——OP1《SECRET AMBITION》/OP2《Massive Wonders》/ED1《星空の Spica》/ED2《beautiful amulet》/插曲《Pray》
4.TV动画：魔法少女奈叶 vivid——OP《Angel Blossom》/ED《Pleasure treasure》
5.TV动画：ViVid Strike——OP《Future Strike》/ED《Starry Wish》
6.剧场版：魔法少女奈叶 The MOVIE 1st——OP《PHANTOM MINDS》/ED《My wish My love》/插曲《don’t be long》
7.剧场版：魔法少女奈叶 The MOVIE 2nd A's——OP《BRIGHT STREAM》/ED《微笑みのプルマージュ》/插曲1《Sacred Force》/插曲2《snow rain》（共四个版本）
8.剧场版：魔法少女奈叶 Reflection——OP《Destiny's Prelude》/插曲1《Invisible Heat》/插曲2《真夏の Honey Days》
9.剧场版：魔法少女奈叶Detonation——OP《NEVER SURRENDER》/插曲《GET BACK》
10.PSP游戏：魔法少女奈叶 A's 王牌之战——OP《Silent Bible》/ED《Tiny Rainbow》
11：PSP游戏：魔法少女奈叶 A's 命运齿轮——OP《ROMANCERS’ NEO》/ED《滑空の果てのイノセント》","['日语', '快乐', 'ACG', '快乐']","[611211, 659514, 22646653, 611113, 22821907, 4983000, 611103, 22646541, 22646543, 659281, 659236, 22646555, 31478808, 31209892, 438456426, 469508430, 610515, 658901, 610516, 610195, 658616, 610200, 468817412, 26303799, 26303798, 26303797, 491294347, 491294348, 494407336, 1320101062, 1320098059, 610497, 658904, 22646556, 658668]"
3192476253,早上起来听的歌,"越往下越好听的起床歌单

（随缘更新）","['清新', '清晨', '快乐', '快乐']","[2021389622, 2021389625, 1920339780, 493705597, 28461895, 1945913408, 1349062060, 1835514122, 1933791692, 1923361643, 1915796767, 416700601, 28493605, 1875964868, 1352932036, 4380582, 27569687, 1374446646, 1838887717, 28256115, 1890653477, 1449430883, 1818983562, 1480769848, 1492819813, 1814379614, 1844156620, 1815892497, 1445583768, 1378713654, 1832532837, 1843858957, 1942594143, 1451214506, 1938756186, 1303019276, 1944897613, 480583468, 1424260080, 1818178340, 1462753116, 1923159805, 1456991497, 1472769379, 1420984298, 1439803847, 1356658022, 1433256980, 484365611, 1363675487, 1432536100, 1397611562, 1430075673, 1341210709, 1388891420, 1451525481, 1469768696, 1341890252, 419594140, 463840738, 1445076630, 1829768997, 1433267519, 1811184097, 1421005529, 1497512675, 1834309809, 1372897252, 1490664135, 1856044941, 1832613147, 1403334556, 1436511992, 1365268528, 1347650968, 1340519788, 423228325, 472045959, 1318120178, 1840861415, 1432101409, 1382830600, 1850327353, 1463293434, 1442681212, 444548120, 1478322774, 1391666228, 1493852177, 1819841519, 1446137814, 1454838033, 491577707, 1377476005, 1470721593, 1334270566, 518904648, 1320185112, 1360802806, 1462753117, 1397490453, 1466544976, 1371476393, 425137603, 528116092, 516358594, 1492975705, 1387537788, 1401899720, 1391576970, 421137242, 1839417578, 441491712, 492833348, 28391219, 552060841, 1350658896, 1401161473, 1840808119, 31517060, 1454317928, 1840238019, 1442013358, 1343109819, 1371043420, 536396243, 1363638029, 863493139, 1377261977, 28148942, 1337296869, 1347227968, 1421441023, 1414940085, 573168956, 1831730352, 1825948812, 1824769938, 1472826719, 1495985115, 1811118553, 1811118559, 1823305772, 1815101473, 1378220830, 1405318411, 1359421980, 480768663, 22835444, 1827591485, 1498312483, 1299557101, 1815389717, 31563654, 497463179, 441491410, 36496695, 549309101, 28248872, 480769653, 28475345, 1437280551, 1331503206, 436699534, 554375621, 1361156989, 1305875823, 1371714109, 1453911130, 1347227963, 29723011, 1390728547, 1321648605, 1426572175, 1351642832, 522647397, 1296706520, 1297498908, 447925342, 1341923387, 555731435, 556053856, 529557948, 476428197, 410654865, 28798452, 863481066, 417859039, 1299570939, 474791932, 1397321351, 1439184760, 1409271942, 31370738, 32719057, 1379959117, 1339978817, 1323148445, 1360642403, 1401082084, 1317494332, 515453363, 28592013, 1422461666, 2587456, 417908611, 469104847, 1308127035, 523001614, 521416693, 36308236, 1344397481, 447281026, 1423417557, 1351918116, 1308150564, 500412390, 1404511131, 410801521, 1396304601, 1365864094, 437909145, 472361236, 33418570, 522444650, 1378503720, 467390215, 1362574456, 29713617, 29009655, 1423241987, 1315694665, 1424675505, 1370378324, 1372711528, 1352400583, 565841054, 507532195, 448706033, 510030877, 533455199, 504492138, 493448389, 566435601, 1323832567, 493646263, 22843786, 1472218761, 426291544, 466343680, 501220770, 1339977794, 28133171, 521784134, 32069280, 473873430, 426852526, 470601316, 531786422, 33684399, 1334246005, 567544544, 494865824, 1407767518, 1461661792, 1397293557, 1445939553, 500410198, 1331206556, 1332041346, 437802479, 1382790980, 1380345824, 29910080, 529557738, 483024028, 479223413, 27560017, 1470317487, 451113348, 493394429, 418603177, 34696263, 534542159, 17427620, 1377009646, 1309995372, 481691618, 30496792, 862102221, 1352962983, 420922950, 31356499, 461544312, 1324159296, 442315372, 409916250, 506196018, 32835377, 519504746, 21301200, 509728806, 27984264, 1352818828, 27506983, 1304405619, 33378243, 1321760184, 16435051, 1357788380, 453268749, 1345612789, 411907328, 5111059, 531672173, 1807865, 4108623, 417250187, 480517594, 521558853, 514173006, 478029013, 461347998, 516654117, 1307374415, 1462389992, 27731239, 458507202, 1309814395, 1421990254, 1318610110, 29732222, 28126835, 491233901, 1377119342, 545350938, 1337020344, 1323099451, 534544523, 1313102149, 414979799, 27937389, 400876567, 1300885831, 1451492235, 27560006, 414586202, 37955047, 515269424, 522511239, 507795651, 1394155073, 503123018, 1403250178, 536623989, 1383518436, 1313120762, 553953740, 1217558, 1316563427, 1449991947, 1383691441, 457552086, 464009629, 1422778166, 1336855544, 862100907, 509792932, 439572717, 1419772602, 28111067, 1328085413, 522529494, 567145750, 569870549, 485612149, 1302091532, 507585226, 426852427, 1444606082, 864513777, 1319027632, 1416378346, 438803501, 517918245, 28717857, 502238345, 1351501649, 1315462843, 1303019532, 453927826, 1301062404, 37095772, 1416321407, 1435996669, 502238344, 1318524155, 864648551, 469073248, 558553419, 1379814770, 431259486, 1358397818, 33361570, 434656460, 471763670, 557581480, 548006139, 426291393, 484249940, 1344438011, 1343455536, 1380022214, 1337981999, 432780721, 441491080, 475597495, 1382985443, 473817398, 28188171, 1397227040, 1407551473, 440310367, 473873434, 456175020, 554242625, 1355147933, 500410102, 439076364, 486837917, 1421162902, 1361002917, 421423756, 1325453694, 451703096, 1348917629, 1345504930, 492145159, 446508648, 1940312]"
8793238097,爵士魅力 | 优雅与热情并存,优雅与热情并存,"['舞曲', '爵士', '快乐', '快乐']","[21178262, 3027136, 1480329846, 20249585, 82375, 423227337, 1967695583, 1862496434, 19550016, 21178391, 26740205, 433681259, 2014227965, 1875320, 1611003, 1422610151, 551338379, 19453189, 26349642, 1697753, 2014227030, 21178261, 34077709, 1846292946, 441116522, 446508648, 1294910071, 3164165, 1401526878, 3085303, 1865114707, 19550160, 25706364, 2949107, 2195553, 22614241, 3747113, 1308778228, 1346053083, 469998923]"
395022201,跃动电子‖鼓舞人心,"是Yochino的电音私藏
电音的小调调总是那么迷人
","['轻音乐', '清新', '快乐', '快乐']","[2089192844, 2069651523, 2077271098, 1960157806, 2059807644, 2052060281, 1397105526, 2002345758, 1915010643, 1939763198, 1335349532, 2043970771, 1845904638, 1868101771, 2034211808, 1989130502, 1825789506, 1870834564, 1457925241, 500412182, 2015001453, 1478565043, 1905942209, 1891312927, 431096916, 1342807956, 1933050354, 459720807, 1416767372, 1437344471, 2030060118, 1831400985, 1824025281, 2025482254, 1381849413, 1343570205, 1836809943, 2014338219, 1416321652, 1858867082, 1971575033, 1889755420, 416011673, 558377347, 1912666128, 1366552298, 1900207101, 32897747, 1417968572, 1494168127, 29379951, 550786832, 498555651, 1384484361, 1911075425, 31477895, 26824344, 1890494314, 444524555, 1336428387, 1334754377, 1939762974, 1305100638, 1935362667, 1977964217, 1904918719, 542871705, 34040716, 458496914, 1939760259, 546963482, 523251142, 416388016, 426502133, 30780436, 1410541799, 28075331, 532267293, 1480045848, 1315609787, 27713920, 31356499, 1947022101, 1947019618, 1947018385, 499793448, 504646345, 1356295672, 528116536, 529391624, 1434225631, 1342840047, 476081984, 1441042229, 1347860369, 29017061, 1849271145, 40729217, 1893307724, 1309101229, 1333144056, 1483842967, 1302203708, 40729220, 1855639956, 1462341831, 1851716449, 1831401713, 20244741, 1831400576, 1831401767, 1815899655, 1452371387, 1821918070, 34766078, 1402824446, 1353191063, 1301572751, 1337702711, 1447458944, 557820289, 404182475, 407759834, 1315919992, 1378301383, 1417724576, 555181271, 420134372, 1331819055, 500684239, 1397105536, 1397109107, 1397105547, 1397109098, 411921066, 32450127, 400162938, 1360122230, 572372650, 1395977748, 36357822, 500453180, 1343460749, 510374981, 1363303056, 513256641, 28054761, 1370028656, 432506297, 1349500180, 508183250, 531603622, 546128953, 429769629, 1360849407, 1358775119, 521415465, 471042730, 541485124, 569962512, 1325892124, 426832134, 1357325787, 476509463, 36357826, 1313104215, 1352120735, 36024380, 28100900, 862345682, 34986963, 1350395694, 546128769, 26092806, 521417510, 1335349531, 1335349530, 33469659, 1319347101, 415792667, 29710375, 33111640, 864647353, 508917233, 34144161, 1319875860, 1316563817, 455861120, 436668247, 573636769, 1314975701, 41644553, 484278264, 1305365500, 1305367504, 1305365499, 1305364461, 1302679320, 403136290, 438801256, 404184089, 541509591, 30394495, 572719808, 571494473, 41644510, 568240556, 498373511, 506520164, 29816970, 30987781, 28921692, 518546461, 523865264, 38019124, 39224662, 35497894, 29819851, 542702621, 31311812, 445450500, 30780805, 30780812, 32823921, 34144280, 423406940, 416385389, 521697795, 453330792, 31452305, 519476330, 519084840, 32192216, 461124717, 430043604, 31452186, 513227480, 34040720, 469410925, 34998369, 36308723, 30830713, 5086081, 408332519, 32640146, 412175272, 466794824, 416531665, 448520486, 421110570, 38391781, 420125280, 30987703, 411988621, 447280094, 494320566, 478241378, 487290168, 29759343, 488958365, 450222957, 31514310, 491222808, 476324155, 34040896, 32574583, 35845570, 409302035, 455920982, 484872921, 29759340, 481792113, 442867844, 38392576, 419250586, 29349792, 409646068, 479061694, 41644494, 407450729, 25791607, 36586297, 32574634, 425684642, 469889836, 32857580, 29759345, 416552487, 30375354, 29750499, 464841478, 33340727, 30413189, 461090506, 406316254, 36094226, 453130276, 448596416, 29979829, 418603422, 447925558, 33728720, 458181237, 33937527, 30780811, 422977895, 468112019, 38592319, 408522851, 411315381, 410629778, 403711525, 30854966, 30780431, 38019092, 407459716, 32450145, 30512731, 35031379, 28283079, 38391639, 31721425, 32358447, 30153005, 26544456, 410710814, 34613621, 38018486, 30064264, 38679061, 41653419, 416552019, 408532744, 409931826, 29759407, 422104937, 403711078, 30512852, 33922813, 28921656, 29379952, 29797443, 36587839, 33479592, 403012527, 30373260, 29771215, 30064291, 404184088, 31311231, 30064175, 31830308, 32450128, 32408202, 26278742, 30373257, 28389677, 29534449, 30854873, 30621637, 30854833, 28830411, 28830410, 28921655, 28830412, 30854949, 29737986, 36308916, 29774609, 33166666, 29553031, 17867241]"
723429482,童年★小时候动画片里的歌,"有些东西，两年以后你会觉得幼稚 但五年之后你会觉得怀念
我是一个00后T^T满满的回忆~~•﹏•
欢迎补充你的童年回忆","['怀旧', '快乐', '流行', '快乐']","[1990033714, 5052554, 22642372, 27896752, 1417892374, 2007272560, 27896658, 1939395420, 27896283, 27896282, 29822196, 1355023623, 412175242, 5263405, 31645206, 28152182, 5278076, 252171, 27927965, 1498227241, 199768, 199766, 1461256747, 4875482, 490595480, 391606, 391613, 28267530, 5251825, 1886116706, 27901744, 5242612, 394999, 27896311, 395583, 28768484, 255184, 37092549, 4940920, 493735159, 27495001, 27570832, 4944428, 28863012, 4991723, 1451935381, 6522853, 21920883, 22659945, 555959, 31967083, 27946143, 25962464, 28285777, 718765, 4952978, 34766647, 4989687, 28708815, 1808293217, 28708816, 27901951, 31838335, 28613215, 412175260, 1863616565, 27927195, 29829730, 27901231, 394987, 27896699, 394990, 108428, 32639017, 27904124, 29418974, 1472679506, 27907902, 28953442, 27908022, 1484070609, 286071, 31273716, 29819850, 32737993, 405987118, 32737977, 27901962, 480768731, 473850008, 27901416, 4873065, 27890995, 30830982, 557581463, 29822059, 27896749, 28708806, 32737976, 29544002, 34766643, 27908110, 29822085, 28844534, 27896941, 27928146, 29844877, 29738295, 28378263, 27896321, 34341458, 29593103, 29593117, 29848687, 5263407, 33937312, 33705392, 27901808, 35726221, 501615063, 33705391, 27928321, 28695638, 27901756, 31835410, 27901942, 29850050, 29023521, 27571930, 27946216, 34324641, 27906420, 29829717, 5263408, 27946215, 29848624, 29378963, 5263409, 28953457, 27907768, 28732340, 28188452, 27901669, 27896701, 29562241, 29562240]"
6587921674,古典也时尚，欢快悸动的古典乐曲,谁说古典音乐就该缓慢刻板？她也可以激情四溢。每当这样的音乐响起时，我们就能感受到琴弦的速率和身心所迸发出的热情，感受到澎湃的动力和那种无处不在的节奏，似乎全身的脉搏都有种律动感。欢快的旋律能让人舒缓心情，经典的乐曲能令人鼓舞，让我们尽情享受这美好时刻。,"['古典', '快乐', '快乐']","[1994859227, 28704122, 5276817, 114295, 1394618521, 1913966877, 1995404546, 5105992, 1376012, 573132483, 1461570, 2123713, 2123734, 2123698, 2123708, 2123727, 5180980, 1444579416, 5276816, 16314606, 16314601, 16314599, 16314597, 18000938, 17742280, 16314609, 16314596, 122646, 473144385, 473144383, 5265434, 513766132, 130821, 130851, 130800, 130839, 130743, 432430716, 1690727, 1487629, 1338842929, 1400390227, 2776537, 16915934, 2083343, 1060476, 1060467, 21183928, 465406918, 1220906, 39869703, 26884979, 1432441019, 25842623, 1186320, 25935317, 18001010]"
5198850551,85后车载音乐清单怀旧合集，愿你找到安静！,听了三年歌，慢慢的听，慢慢的选，最后留下来的，都是反复听过好几遍的，适合我们这些85后老男人的口味！有内涵，有感悟，有爱情，有事业，有开心，有难过，行驶在路上，随机放来听听，希望你们能够喜欢，特别是封面，哈哈哈哈！,"['浪漫', '快乐', '80后', '快乐']","[1352962991, 442853545, 1442223677, 72964, 301144, 27448352, 1994578153, 435552172, 1872392494, 1313125351, 1382367058, 31645008, 1965140279, 1304695105, 256471, 1934010087, 1931023702, 1889148878, 342360, 27552548, 34280972, 413077448, 1459783374, 1438432532, 1894094482, 1829060241, 1385355455, 1818616065, 1383759646, 1821827974, 346089, 225871, 350909, 1842025914, 30070938, 1425619649, 447079668, 29775440, 262221, 29017261, 1808842295, 186348, 33872771, 28138269, 29771089, 409872465, 512376326, 516823195, 543988605, 569213220, 358820, 1334077530, 358417, 461080452, 1397282233, 186513, 395729, 1451235663, 1812673579, 26608738, 1342743664, 29567193, 138917, 186624, 256470, 5264842, 28785611, 77131, 64317, 29567191, 202373, 284189, 27571484, 276724, 5231418, 1300613019, 436514312, 1407551413, 1475596788, 529267746, 261541, 1294570781, 1303026566, 168107, 25638777, 27984422, 231496, 5247519, 1325905146, 1320908534, 1317457319, 26455141, 5250898, 202022, 1357785909, 1309491534, 1354445427, 35617535, 150992, 1369798757, 1333168535, 25731633, 167882, 31814077, 29450094, 25713024, 1366551854, 28285910, 531295576, 459091600, 259541, 150852, 151985, 239682, 151139, 298880, 110130, 158923, 379785, 305020, 532013490, 553604910, 276732, 178067, 26455146, 5267163, 29450091, 31814080, 504425538, 346085, 25657521, 30039186, 26613394, 2870985, 16232697, 2870892, 518904795, 178788, 26145724, 31654481, 447079665, 434070628, 31890663, 221588, 262239, 31890665, 32531790, 298928, 404465280, 267300, 29414460, 5241799, 5231184, 24998526, 5264838, 390345, 5264797, 350762, 310449, 439139384, 350759, 350773, 503485172, 506094634, 504505986, 507394830, 406073006, 27927640, 400689263, 76921, 77103, 347597, 5247458]"
8830829070,放课后蹦蹦跶跶跑回家ヾ(✿ﾟ▽ﾟ)ノ,ᵗᵒᵈᵃʸ ᶦˢ ᵃ ʰᵃᵖᵖʸ ᵈᵃʸ˙˘˙,"['快乐', '地铁', '快乐']","[1950112498, 1472907048, 37955171, 2029895034, 28211122, 1877070976, 32803125, 19033666, 1954372700, 31861269, 408328190, 520012654, 30251317, 497463179, 432698922, 484249940, 29041788, 32857745, 507116307, 2033878965, 1424084968, 31861287, 2036445126, 804270, 701026, 1448511372, 1967786901]"
