7034606254,emo天花板系列失恋歌曲.,慢慢磨合慢慢相遇 期待再见,"['治愈', '浪漫', '00后', '浪漫']",[]
7423078354,含情脉脉｜用音乐邂逅一场法式浪漫,"法国浪漫主义（Romanticism）在十八世纪晚期，十九世纪前半期盛行于法国，他是一个全欧洲性的内容广泛的思想文化运动，直到二十世纪仍余韵不散。

温柔的月色
朦胧的树影
狂跳的心脏和被你吻过的侧脸

-封面来源网络","['欧美', '浪漫', '感动', '浪漫']","[26401570, 511198720, 1944894031, 1516737, 29950503, 5043107, 479198221, 531051299, 509106740, 1313096578, 1375708215, 506500838, 512099234, 1325896199, 1293953203, 28586064, 21597576, 527520157, 462688243, 469249501, 16521106, 27511271, 18663152, 567366120, 523214004, 26284002, 1336856183, 1306600386, 1294899297, 29388970, 1421346057, 33075107]"
8843229698,治愈心事｜即使一个人 也请好好生活,做自己，不做情绪的木偶，愿你在每一个清晨都能微笑迎接新一天的生活...,"['流行', '清新', '浪漫', '浪漫']","[33497044, 26211155, 2025186889, 1450128299, 1399319508, 555756424, 209397, 2080506655, 2059814165, 2085727585, 523250334, 27671269, 421486605, 5243349, 27591236, 1953605398, 1979334496, 2085559209, 1940027051, 2061974966, 2089730107, 2093811473, 2060729293, 2072623481, 2076311379, 2091672984, 2091885554, 2093242207, 2091673107, 2029931308, 1482867143, 2072627772, 2053099516, 2050391293, 1926352961, 2063131354, 1941118541, 1957782205, 2049512697, 2001567658, 1953125353, 1974443814, 1877526024, 2016688503, 1949119429, 1992083081, 1992698886, 2061888566, 2082700997, 1979417838, 2012170869, 1988532821, 2056897713, 2062623445, 1979274315, 2025533834, 2037904328, 1947537070, 2013742015, 1988456854, 1945355028, 2028669660, 2028021505, 2029895485, 1923511954, 1840700016, 2068042776, 1948754378, 2006747976, 1917154673, 2028376484, 1942734484, 1950614758, 2006311563, 1973741172, 1942366869, 1940943649, 1947948874, 2041198788, 2005574298, 1475596788, 1954954129, 1294951288, 1948922253, 1968781675, 1965648349, 1948200013, 1983290040, 191266, 108263, 1968040792, 1968735605, 1950054224, 1952197993, 1995162601, 2036046014, 1888915574, 1948381674, 1951994235, 2042621082, 1977200403, 1807537867, 1949075851, 1477330932, 1936399142, 1942780652, 1941900429, 1968053454, 2038363203, 1948803141, 2020543251, 1949038472, 2037945324, 2020622482, 1948744153, 1952609304, 1948467136, 2003368185, 1885843845, 1866165360, 1940769779, 1960650720, 1942701756, 1404506846, 1298130745, 417833356, 1947645901, 1404531626, 273913, 412319476, 1334659559, 1406649619, 1965400223, 1478357174, 424496153, 1834562932, 2022010209, 1946426447, 1363078221, 2000729734, 209400, 2006247343, 1928857203, 2031678729, 2015591333, 1413863166, 2013805632, 475479888, 1951992945, 520459219, 1486264538, 1892562874, 1336990251, 1454670699, 1925452719]"
2821845830,浪漫欧美 | 藏着喜欢，被你眼中的星河照亮,"沉醉迷人魅力的嗓音
播放这里的每一首歌
打开以后都是我对你的心动信号

内心藏着小小的喜欢
被你眼中的星河照亮
浪漫的爱情应该是妙不可言
你一回头而我恰好在你身后
酸酸甜甜 甜甜蜜蜜 听完这些歌想恋爱了
徜徉在爱情的花海里 坠入爱河谁不想呢～","['欧美', '浪漫', '流行', '浪漫']","[527010596, 1311535958, 28850636, 1312528250, 3027520, 30431634, 18972757, 35283485, 509531459, 537407214, 27984050, 519935442, 1325898782, 35448095, 545151415, 34324628, 1341643962, 1337981999, 1357712672, 1325897120, 18611643, 1306600386, 2786284, 33638529, 1359508230, 555933108, 1314353013, 539982581, 30841076, 417833986, 515803398, 525239839, 570317220, 4108623, 3933767, 483024225, 438466089, 571948387, 1341923387, 486837917, 436514046, 1344819664, 552651043, 1345318197, 31134213, 461124260, 515223490, 4380582, 431395922, 21395551, 2052799, 557583289, 490602656, 2080322, 488654250, 514195351, 29393335, 30394736, 508052207, 28547192, 524148990, 2141951, 553814074, 428642602, 28838894, 500684281, 1293953203, 16407006, 526116053, 552650454, 26372969, 533017528, 558560181, 28347352, 525238368, 1325350636, 528273705, 487454738, 27556211, 5077151, 509612538, 1807865, 21267236, 550616628, 30431647, 463183367, 469104851, 573652613, 27506704, 415792772, 487210825, 19094999, 28493991, 483024028, 27579030]"
8720186763,上海Charlie Puth断眉演唱会歌单,10.13-14上海站歌单(creeping是哪首有uu知道嘛),"['R&B/Soul', '欧美', '浪漫', '浪漫']","[2003576550, 1984847230, 1986885031, 473817398, 1859245776, 1957818892, 557584014, 1913421961, 30148993, 401249910, 1981056341, 1986885028, 25648017, 2034388512, 1986885027, 544199008, 509728806, 34072434, 30953009]"
8241512541,effortless chic服装店松弛感BGM,衣服：lacewear07,"['R&B/Soul', '爵士', '浪漫', '浪漫']","[1911485328, 1945806442, 1958105903, 1376078647, 2015684589, 1480095069, 1804087078, 1883707902, 469249966, 1848231731, 26569314, 1075206, 1954626346, 1916825242, 1929255458, 1856237205, 1325724256, 1919354369, 1496064572, 1915030197, 1979026251, 1974735909, 1359070779, 1416661620, 427416048, 1833790454, 563287335, 467807675, 1456372588, 1446669169]"
2962676719,复古浪漫丨摩登生活需要怀旧感,"音量调大，今天做最摩登的复古女孩/男孩

我是跳爵士舞的特工，
不抽雪茄只吃怡口糖。
敬你的香槟其实都是姜汁汽水。
盯着你的耳环才不是对你有意思，
你只是任务目标，哼。","['欧美', '怀旧', '浪漫', '浪漫']","[5172910, 27108551, 28870196, 2319813, 31750709, 2195534, 31578675, 16590441, 4051656, 22563622, 17966631, 27148532, 2195553, 27202504, 27107316, 26827718, 467011908, 2511826, 4172925, 2870420, 28864241, 28851134, 22552587, 28455013, 2658226, 27043875, 1353428173, 1303026047, 1325898782, 23899600]"
2554416547,【粤语】婚礼/结婚歌单 适合求婚❤表白,决定了 就好好的去爱吧！！！这世界上，每个人都有个想要寻找的人，一但错过了，就在也不会回来。,"['华语', '浪漫', '快乐', '浪漫']","[26584493, 115396, 366017, 1894195692, 28111630, 154544, 487923125, 1302556232, 366024, 191166, 365922, 25985010, 405790387, 27090747, 36569471, 453491805, 94639, 94733, 277882, 317000, 28457933, 191236, 36569474, 118200, 64412, 190863, 456175650, 29482962, 188900, 409031573, 26608518, 5245658, 110805, 190363, 28160871, 413142580, 257786, 66698, 64803, 407002636, 191332, 191223]"
8901263585,韩文歌 随身听°藏在耳机里的情话♡,"韩语抒情歌曲♡
韩文流行歌曲♡","['韩语', '流行', '浪漫', '浪漫']","[526081121, 555975204, 404184562, 1920863738, 1917343360, 1373801007, 1962313151, 1840198275, 31209330, 2045929603, 1477578336, 1486520860, 1339905661, 1986690676, 2025227742, 1394670826, 28068785, 2089175327, 2092174724, 1892035098, 1981814201, 27853684, 26428002, 1942576027, 2103340665, 556203087, 491233901, 1885137371, 1818068309, 526081120, 29814578, 1851071762, 2062637739, 1466745049, 1996714082, 1406266558, 556207085, 1974911591, 5292589, 1334270566, 1348587679, 556203088, 1466928684, 1300594652, 1321905753, 1929009928, 1996714080, 2016433516, 29814580, 1456170442, 1456170443, 1824656809, 2062635397, 1463437482, 1484050926, 1357113627, 1393999544, 1855105167, 1473866543, 1843731574, 2022289151, 1840198265, 1932560427, 1444460979, 1857054605, 1968598930, 513336077, 1332662882, 1930242674, 407679164, 1435588892, 1411582603, 1899390012, 1411582604, 38391849, 1375270512, 2069431446, 5366190, 1842019185, 1929324700, 1981557539, 30854210, 28075468, 22735073, 22735079, 1976971370, 1933140288, 1422867785, 1847255997, 1806110367, 515647794, 1455754487, 573168618, 1878885379, 1903395658, 1482167654, 1422899332, 438462225, 1873050232, 1408713927, 1828785091, 1378436698, 406907311, 35779017, 2066773834, 1475871237, 2072287104, 1375568704, 2079467702, 2089460666]"
5170889800,甜甜的英文歌单，满满都是恋爱的味道~,"别着急，甜甜的恋爱马上就会轮到你啦~
ଘ(੭ˊ꒳​ˋ)੭✧","['欧美', '流行', '浪漫', '浪漫']","[2025082445, 446512853, 1403699842, 28845398, 573581511, 1325896199, 1356668869, 1490294539, 1392687362, 30064371, 1457329436, 1378036032, 407862337, 28838894, 1448424587, 28383797, 1416844684, 514172234, 1419916628, 1427882043, 1401180896, 423314076, 1908796994, 1875283, 1432701364, 529987303, 31168646, 462895718, 1348847563, 38771747, 29460605, 1323960503, 537854385, 518894488, 1821482198, 28636957, 1458198813, 27910408, 1726313, 3203190, 399953133, 439110044, 511229543, 5039056, 414979444, 27825707, 1345612789, 528273705, 28258466, 16629278, 476323076, 511920309, 1458198816, 28258463, 26551027, 1404947096, 454698378, 567098893, 1309433426, 496902058, 1428852191, 25113073, 485612715, 1390601339, 1345850349, 552463583, 410629867, 1301573958, 530057145, 1090113, 1341443906, 1327441897, 1400449615, 554191365, 457552620, 1384264596, 864647100, 1393033887, 518894487, 433223226, 1400449613, 494642794, 1376696818, 548785552, 549309183, 556030385, 1306497946, 1393556316, 33337404, 1359508230, 515452368, 1425944859, 517533045, 1410001303, 1349914335, 39224519, 414829617, 32166168, 457552623, 37722905, 1407595622, 34468945, 1428710858, 557583289, 436147173, 1401302507, 1610986, 32166166, 519935202, 1370169277, 29732275, 528273318, 518895787, 1401302504, 1610997, 1326840022, 566442442, 29533166, 469073248, 35847763, 434659187, 1401343461, 1382340352, 1412486438, 521416212, 1307497155, 1362846734, 29722334, 457304235, 413077624, 525241968, 518904648, 1378191814, 1318049435, 417833927, 1372456399, 441116521, 1611005, 509728330, 1294924238, 519935113, 1399319418, 485775550, 1437149744, 473940663, 1361747486, 862102221, 1387519268, 1293953203, 523251201, 484311992, 1336866553, 534542058, 469410390, 1381503639, 451126439, 522353134, 1375413880, 863707351, 1368327725, 19194800, 1300423391, 1315212615, 1365492339, 1442186517, 525241415, 529662080, 1367969943, 566519770, 1400147599, 1326844026, 35845177, 1351782502, 558377012, 19453425, 1333410859, 468513341, 478455692, 1400557255, 29460604, 1351928708, 17434094, 496902064, 27588372, 494093525, 412902230, 22245192, 2308745, 462688243, 1903002, 17957473, 19038287, 5048569, 25699027, 5122361, 16323061, 1349236884, 1399055690, 1336864842, 1442186012, 25657548, 1388964807, 1353208435, 17957476, 16435028, 518894486, 1364339625, 1325728576, 552651043, 1409279017, 525238368, 1350646146, 1377467919, 511921465, 17852504, 28030062, 1454937645, 516735996, 5077144, 454698352, 1393556166, 29122006, 1401302502, 1403713771, 1424460203, 36019169, 1401182258, 558560181, 18504418, 416904603, 1610988, 1403428061, 1325722724, 549942001, 1325724256, 1437171901, 32166171, 31719856, 1475473, 1398352912, 20515757, 1341643962, 518013037, 1394945298, 1405074528, 1394944455, 1428416116, 549941994, 480409474, 1368002344, 1327447266, 399353934, 480583465, 1325449674, 1394672718, 1453911129, 1361744799, 401722082, 1361742328, 1336864965, 1357425990, 528273704, 1317380441, 1354430656, 1303019073, 1382751225, 1396162013, 1344800438, 1382980519, 529661081, 1334295081, 449577802, 1303019367, 555774018, 1403236383, 1327441896, 1393556171, 1294165733, 29747956, 480583468, 1393553542, 452997043, 523248095, 1385646864, 1445583768, 31191023]"
5238489291,那些治愈系列2024新版Kazak歌曲,"欢迎收藏音乐歌单
对你何止这一句钟意爱情不是终点，陪伴才是归宿今天天气是晴，心情是想你想要成为你众所周知的欢喜我对你 是冒着泡的双倍喜欢","['流行', '浪漫', '吉他', '浪漫']","[2102651767, 2102646579, 2102651768, 2100272964, 2099592435, 2096396324, 2096397181, 2090351892, 2090351959, 2090352448, 2090352449, 2090351597, 2090351598, 2090351839, 2088701143, 2085727029, 2085727230, 2085724410, 2085726836, 2084054409, 2084053514, 2084053162, 2083452270, 2083450359, 2078294041, 2022145083, 1879176369, 2073420760, 2072683175, 2065030270, 2065028350, 2063713996, 2063337300, 2061807966, 1896525234, 1983403892, 2060247500, 2060056179, 2058833254, 2058839817, 2042064743, 2040631154, 2040631155, 2040630404, 2040625969, 2040305472, 2040246621, 2036862696, 2036861234, 2036216013, 2036193675, 2036188315, 2035914310, 2024245166, 2022146700, 2017929752, 2015862875, 2015335418, 2015336841, 2013703121, 2013451411, 2013701494, 2013452276, 2013112566, 2013112562, 2008453493, 2008269150, 2008015205, 2008206609, 2008014829, 2006191779, 2006024511, 2004340551, 2003612989, 2002702247, 1997061415, 1992386069, 1992384263, 1992386070, 1992384264, 1992386071, 1992384265, 1992386072, 1992386073, 1992384266, 1992386074, 1988024456, 1983494284, 1961264159, 1961264158, 1961262504, 1961262232, 1960558382, 1960558383, 1960559451, 1960095703, 1959396439, 1959403637, 1958697036, 1954947578, 1954953828, 1953836767, 1953836693, 1953828365, 1953824598, 1953828347, 1953002720, 1944556972, 1479640550, 1936166511, 1928456972, 1917685393, 1879112125, 1865355183, 1874834189, 1494715577, 1851465597, 1874451673, 1873753859, 1873606335, 1868488701, 1864417419, 1857382438, 1850343737, 1832656534, 1849465136, 1827331091, 1843042880, 1820541544, 1820635017, 1821547922, 1476335843, 1476336465, 1476336463, 1476515947, 1476335858, 1476588382, 1477342568, 1477342567, 1476334469, 1476515941, 1476515942, 1476236116, 1476249013, 1476335065, 1476515870, 1429465349, 1476335863, 1476515822, 1476336437, 1476571997, 1476336436, 1476587696, 1476587734, 1476336503, 1476588369, 1476515943, 1476587695, 1476608514, 1476515944, 1476588370, 1476515945, 1476588373, 1476515946, 1476607819, 1476515948, 1476518178, 1476518180, 1476518181, 1476572872, 1476587735, 1476607817, 1476608517, 1476518179, 1819690108, 1817160276, 1815650239, 1815085575, 1814378900, 1500072322, 1805955438, 1809182536, 1808575371, 1807596229, 1484982778, 1500721969, 1498842901, 1461774076, 1468864517, 1806161402, 1487669346, 1806753339, 1804415336, 1804415337, 1804420858, 1804415338, 1804420860, 1804420861, 1804420862, 1497086708, 1804363290, 1804012036, 1495851505, 1497636389, 1496684568, 1494819364, 1494023630, 1475989786, 1487669440, 1487102108, 1486065244, 1481179444, 1455889153, 1411332989, 1476588423, 1476572866, 1419040993, 1463251356, 1362562283, 1450790839, 1392276836, 1451283148, 1446162116, 1425882855, 1434119366, 1425940248, 1425938562, 1422533149, 1434325371, 1439432518, 1437925038, 1427796226, 1426940394, 1412368935, 1346688736, 1403232645, 1355572498, 1400180439, 1409370059, 1373889566, 1403432864, 1397932262, 1386737669, 1305129152, 1405179960, 1410604648, 1370409884, 1376935806, 1376935805, 1407322698, 1346617139, 1347417524, 457840032, 1449664462, 1444621477, 1400259595, 1336871983, 1478395237]"
