2009028984,意大利舞曲高品收藏《italo dance》,喜欢italo的人，请坚持喜欢！歌单持续更新中,"['舞曲', '酒吧', '欧美', '酒吧']",[]
8216502615,蛋仔派对BGM | 高燃踩点，全场MVP轻松拿下~,,"['流行', '酒吧', '兴奋', '酒吧']","[1472480890, 442867526, 1923927650, 25657526, 26624703, 501467094, 1450749100, 1954956658, 1901371647, 1484052702, 489037242, 1817140848, 1396979632, 30039652, 29307038, 26199445, 1417673385, 1401302505, 1401302504, 1340558332, 385781, 25642952, 1403215687, 455311479, 474932841, 29401226, 1294378245, 471411253, 21609195, 21609176, 4386589]"
6889730723,不知名选手Au《直播rap》,持续更新最新热门说唱Listen to me. That's right,"['说唱', 'R&B/Soul', '酒吧', '酒吧']","[2060756274, 1925404868, 2007337981, 1979073915, 1958418180, 1895385833, 1972429393, 1968662854, 1941613282, 28403111, 1381755293, 1950027446, 1948478077, 1947107407, 1846653916, 1888622459, 1877996649, 1874158536, 1443838552, 1442320451, 28892418, 1924314361, 1814636483, 1296833312, 1852863133, 1819970423, 1320421668, 1867183963, 1382592787, 1838593901, 1887917182, 1456890009, 30373203, 523251474, 1457248123, 1433537265, 33894141, 515493921, 1827600686, 1829828597, 1426233208, 1414783972, 1320100120, 488249475, 490595927, 1432968475, 1811408619, 1426022018, 29095091, 1385867213, 462769331, 1358276770, 1474861444, 1826189041, 1472945318, 1441758494, 29800167, 1363205817, 518682659, 571472967]"
8795060025,安静鱼煮心蕊,"歌单介绍：
介绍一下
这是歌单
不是歌单
就是歌单","['酒吧', '伤感', '兴奋', '酒吧']","[2058345064, 2028529512, 2054982793, 1949353434, 1968973094, 287241, 1946812706, 1399910878, 1950112498, 2071311895, 1803530103, 2067336538, 2096238835, 2096237925, 2009017158, 2080124800, 445844850, 1403713771, 26260384, 1349283609, 2053221185, 2027957824, 1498131138, 1853327677, 1983292460, 1883707902, 1911281594, 2060729293, 27965209, 1955869427, 1481691186, 27534290, 1378491296, 1361335444, 1361336639, 1910942794, 667320, 666122, 1301349912, 2090012595, 2089113490, 109168, 1949353451, 1982883551, 1471822830, 2080600881, 525238368, 1347231807, 1812937356, 1337761764, 1384862674, 1388528457, 2070666439, 443700087, 1930010660, 1327337972, 769617, 571073131, 1313478354, 1368002378, 1893335808, 632817, 632681, 488388942, 35345243, 2019176310, 2090470651, 2020639987, 1967443250, 1416661763, 419827614]"
4913881651,游戏《赛博朋克酒保行动》原声集,,"['电子', '酒吧', '酒吧']","[1349937484, 1349935192, 1349935267, 1349935237, 1349935252, 1349935236, 1349935239, 1349935216, 1349937451, 1349937453, 1349937454, 1349935268, 1349935238, 1349937457, 1349935228, 1349937456, 1349935240, 1349935202, 1349937365, 1349935235, 1349935227, 1349935193, 1349932443, 1349932420, 1349932419, 1349932386, 1349929707, 1349929712, 1349932461, 1349929696, 1349932368, 1349932445, 1349932418, 1349932422, 1349929672, 1349932369, 1349932367, 1349932416, 1349932462, 1349932441, 1349929705, 1349929706, 1349929704, 1349932444, 1349929718, 1349929717, 1349932421, 1349929697, 1349927608, 1349927605, 1349929270, 1349929272, 1349929274, 1349927604, 1349929266, 1349927613, 1349927609, 1349929268, 1349927610, 1349927615, 1349929267, 1349927602, 1349927603, 1349927612, 1349929275, 1349929265, 1349927606, 1349929273, 1349927614, 1349927611, 1349929271, 1349927607, 1349937455, 1349929719, 1349927601, 441491886, 441489918, 441489919, 441491898, 441491901, 441491909, 441491887]"
95693243,跟着节奏一起摇，everybody~黑喂狗,都是一些自己喜欢的电音~~！~！,"['欧美', '酒吧', '电子', '酒吧']","[26814942, 25773443, 427416518, 1370209887, 427416520, 428649319, 1457772407, 34179878, 1383107158, 29932696, 1387271734, 1320067241, 1356795124, 1329183592, 556203261, 569105338, 405226741, 525239104, 1297498908, 1347650968, 406072775, 548097859, 28557042, 414980062, 504727556, 529391087, 493283657, 496869520, 538470563, 1323456345, 515647696, 463159617, 1325897086, 414118654, 519367080, 474038112, 31563447, 496617158, 529557738, 535024262, 465920775, 460476510, 36051225, 29794263, 433018366, 406737893, 33789178, 418602088, 411315631, 30841948, 19900531, 32431822, 31421545, 406347065, 402070039, 32752077, 435592239, 436346329, 38673676, 32358393, 30394891, 28798439, 29422008, 29769301, 401382115, 416700305, 415792222, 857896, 29812868, 404716896, 37095960, 34690700, 403012409, 403136017, 41636381, 34613621, 33544488, 36664743, 32317116, 33937527, 36867958, 30870204, 30706279, 29414516, 29808787, 30870238, 30870207, 28875282, 30870205, 32166628, 36492192, 31452154, 31356499, 32019002, 32574972, 1600433, 29807512, 27771049, 28530970, 30987766, 31789074, 4127876, 30780431, 1600427, 28761177, 23437222, 30953076, 33211567, 26292065, 30512646, 1290513, 31830308, 29816870, 32358948, 1781643, 27946757, 30064291, 26565006, 28214434, 28306085, 31341796, 29759408, 27523334, 5092058, 5109858, 29535040, 1871956, 28003600, 24851086, 31191215, 28941497, 29779781, 27935627, 30854947, 29807644, 28174846, 5067896, 29460829, 28541003, 28652288, 29819578, 5079273, 27792448, 33340727, 30854965, 31645363, 29932507, 27583127, 30064175, 20090401, 28828074, 29553031, 29737986, 29737987, 27487377, 28409329, 18933181, 30854966, 29761105, 29808572, 30854873, 26521799, 28111317, 28497004, 28341116, 30482133, 31311812]"
150343238,popping经典曲目，耳熟能详！,"耳熟能详的poppin炸曲！
全是老曲子
所以出了新曲子之后我通常会晾它一段时间等它变成老曲子在更新。
哈哈哈哈，要不然就不叫耳熟能详了！
顺便关注一下我的微博：茄大师_","['舞曲', '酒吧', 'R&B/Soul', '酒吧']","[513542579, 1492248865, 3862820, 3862771, 3862791, 3862785, 1496487909, 543522187, 28575326, 1373035846, 545565349, 512704649, 1382881481, 558854168, 1398866140, 17572434, 1384202333, 543516791, 34922166, 33933696, 4420981, 481707330, 544469582, 447388167, 544469253, 543520092, 38019092, 1353414545, 1352880018, 1911273652, 543706376, 542047593, 544807464, 544468600, 543502406, 543510842, 542048346, 544466778, 415086324, 415086326, 542044819, 543510824, 543517663, 546825846, 26826443, 26662790, 491757109, 541053658, 3584049, 27288042, 430685030, 540389091, 547306692, 863111722, 544465936, 17208848, 26488497, 478492153, 32450288, 33854763, 28549878, 29027800, 3862759, 26662797, 27167897, 2116712, 2935356, 31997691, 18504377, 490620888, 404784880, 40249772, 29569230, 27680462, 26813812, 1243256, 3243293, 433681259, 401722039, 41636084, 459956955, 457022184, 465685829, 464225071, 40249770, 40249769, 464222996, 409646385, 31838064, 409647360, 449793631, 2440068, 34922188, 30496870, 423849835, 28481699, 40249765, 1289029, 28211046, 28166619, 26665327, 28573926, 5322480, 4455652, 41636085, 34749455, 26392289, 31209616, 36509697, 2317185, 29814733, 30496871, 32683128, 1283488, 409647362, 1345018, 29806173, 19453433, 1223971, 37856858, 21249344, 1289012, 18559588, 26876234, 17413501, 18689558, 2332860, 4143395, 400579448, 400581422, 400581416, 19561696, 32187886, 4051659, 31545700, 31545708, 409646387, 31545703, 21892851, 33544627, 23665998, 31545711, 33920792, 28573936, 33255971, 409647358, 409646386, 36317457, 34578282, 29771061, 17208838, 20498860, 1093335, 31545698, 27505460, 24979594, 1389850, 28824958, 26358824, 29947076, 20571452, 28162593, 29771062, 27042760, 29461168, 16149412, 17640761, 17640729, 3560757, 17792831, 404783604, 4455648, 26483905, 28007066, 40249767, 33211676, 40249771, 17036701, 2014452, 1819646, 26545235, 26393973, 29563306, 29560598, 34998883, 1472091, 411921855, 17208834, 1472060, 17680181, 399552542, 31260601, 17204596, 28987819, 3097165, 29005802, 4040530, 25550457, 33544768, 17640762, 31838072, 16433149, 37091513, 36199549, 26766005, 404784627, 34922170, 404784592, 404783620, 16672188, 41636089, 1389883, 29569227, 40249763, 29569226, 17640759, 403710216, 401249395, 36024689, 41636087, 1819678, 28740873, 399552094, 36471573, 22834615, 31838074, 17112356, 1819716, 33682026, 28573939, 17204552, 2647615, 1823726, 17204590, 29722263, 28573929, 1635606, 5051888, 19576966, 26571290, 4455654]"
832078877,【德莱文】荣耀行刑官必备B.G.M,让我们来看看本场比赛的强力选手名单，德莱文，德莱文，还有-德莱文！！！,"['后摇', '酒吧', '摇滚', '酒吧']",[]
8753209048,兄弟萌，让我们还嘿起来行吗？,无能为力的时候只能顺其自然...,"['运动', '酒吧', '兴奋', '酒吧']","[2040030925, 2092581699, 1869065257, 1399998658, 2026868768, 2019097023, 1873321491, 1939197192, 1807999149, 1498623045, 1857531360, 1329372855, 1923582, 1398452466, 2042997718, 1306908061, 2012405459, 1811132941, 1399112265, 544836294, 1816889973, 2004410976, 1894878117, 1925112269, 1877060483, 2021088244, 2010344872, 1881759872, 1929093477, 1860142376, 1834268297, 2070261075]"
470115494,✳️DJ Music｜热门中文歌曲DJ咚鼓版,生活百般滋味 人生需要笑对,"['兴奋', '酒吧', '舞曲', '酒吧']","[2002976398, 1925112269, 1961545238, 2017411756, 1826015875, 1896651786, 1923294576, 1929392040, 1931519386, 1950306574, 1920591251, 1857873055, 1864387987, 1852743242, 1836950710, 1844188546, 1862829091, 1833192402, 1812206635, 1427709421, 1498623045, 5238034, 1420711446, 1437030804, 1435851206, 1816351616, 1416747856, 1830754377, 1449117170, 1448257016, 1430309715, 1499892276, 1413156651, 1435770027, 1475630614, 1446791775, 1403526128, 1466242414, 1450422522, 1391509011, 1391281655, 1369614753, 1386946637, 1319701340, 1412897599, 1410210989, 1355916785, 1386079347, 438900827, 1363980804, 1361975987, 1373689600, 1401905446, 1296105840, 1358848800, 1361270742, 1392986529, 35030208, 1372369848, 1384543943, 1397288794, 1367241874, 1370041231, 1361270584, 1333381866, 1358949905, 1387305614, 1360662387, 1363434928, 1376385872, 412519570, 1363470586, 1367465035, 1340992499, 1365401062, 1351664561, 1366755867, 1315064029, 1367280230, 1357985690, 1313422300, 459068807, 1365378273, 1308256434, 532156099, 1341229830, 1348939564, 1319889589, 552456418, 1318284520, 1296550830, 1305365936, 550860002, 564546272, 488422842, 493328675, 1355280265, 574928857, 1313417008, 479498674, 547917908, 1359156131, 559110774, 1334717237, 1341074565, 1353163840, 1335230397, 538782194, 1313725541, 865040129, 865040126, 1296550835, 1319261208, 1316884028, 1305367918, 1310412434, 1321661860, 1310413720, 1306908061, 1320666836, 1314510530, 1310413658, 1368327803, 520242684, 451445556, 1353288660, 1353745355, 542697128, 520928254, 1340128424, 1371056767, 1360714068, 1312932836, 468270517, 1315118587, 445845230, 459067243, 451521111, 446177556, 451783286, 444356238, 27890634, 34775381, 30153754, 408943090, 27901093, 27890639, 41500516, 27946415, 27890324, 27890586, 27890812, 27890325, 28152593, 27890932, 27896305, 27901865]"
2697422863,车载电音丨伴你旅途好心情,车载电音，欢快节奏伴你一路欢畅，偶尔还跟着节奏摇摆，挺带劲，车速也冲击无限，一路都是好心情。,"['电子', '驾车', '酒吧', '酒吧']","[2104979606, 2103859269, 2101743304, 2100940410, 2098859874, 2096903758, 2088635646, 2086852432, 2086306784, 2054719554, 2084484877, 2082515461, 2081206530, 1948083890, 2074600196, 1396196557, 1396198104, 1925396823, 1943523171, 1858897067, 2049744465, 2049408932, 2048682098, 2048419558, 2005246464, 1998880941, 1873200293, 2006617343, 2001889447, 1823209181, 1300169616, 1941751292, 1473704094, 1495845516, 1439225694, 1813871629, 493398975, 1314780641, 1907179308, 1857167795, 1886148807, 1458418338, 511920113, 543634090, 1407387852, 1858811787, 1451122329, 1436589253, 1369688318, 1446180212, 1812821077, 1501871806, 443205984, 566277720, 512832155, 1497796826, 1849410367, 1807286296, 1456580117, 1817052109, 1853975042, 1814915363, 1804648011, 1830300331, 1825493966, 1833827792, 1473560238, 1475630614, 1436470682, 1441129834, 1385796385, 1458438376, 1446054012, 26565010, 1434180351, 443622012, 1459976191, 512834459, 1458181174, 1459977157, 1472946255, 1449539197, 1440871051, 491009551, 539907313, 26342649, 445844720, 512834590, 443194935, 1385433380, 1314649902, 495220278, 27246960, 31918131, 542965929, 20524627, 512834478, 1408869161, 399367137, 493540171, 35661003, 28362057, 5110496, 27704582, 32196747, 408522779, 1360870303, 26626772, 399366190, 1887337797, 27609451, 33307370, 570297071, 512452489, 28002167, 503958486, 16628235, 36924482, 500566556, 444284598, 1215281, 31545925, 533447074, 500367660, 28443087, 865861201, 28769696, 1388711032, 468878949, 443194943, 29792276, 520044771, 1329962298, 35956778, 500474885, 442314461, 28473348, 1307739720, 39224583, 26544437, 32317295, 468932689, 522529652, 492014018, 475264044, 420069147, 405372109, 488917469, 35807423, 427542394, 36308214, 35955990, 27852468, 28064059, 33340666, 28870229, 30064291, 486837237, 29789114, 34516376, 30780337, 417595249, 34014648, 28581886, 26496942, 28469114, 36664731, 34964681, 28346463, 509726820, 405372527, 28346458, 401382225, 28411393, 28875283, 28303867, 26310434, 29715842, 28870241, 409060546, 26895023, 33579149, 414979759, 27523431, 26902843, 33051903, 34167329, 27714206, 415793655, 28308239, 1318519704, 34341119, 427542060, 32477546, 28285640, 34324003, 28443150, 39443536, 33789036, 512358366, 33916538, 475264133, 26616262, 22846474, 446154202, 464188344, 28939130, 29818409, 33991463, 405226482, 31674997, 25683868, 27492533, 32358948, 29414516, 26565006, 31789074, 419646988, 463049019, 410801514, 34229967, 29922416, 404784332, 27939608, 28530970, 29758487, 427542116, 31165243, 29713854, 27643753, 31165227, 28871722, 33233669, 34057469, 32958672, 29809526, 28972198, 30051407, 28346455, 28346456, 32312277, 17542276, 30496258, 420319174, 32073606, 32306626, 32465253, 440411473, 27231938, 447279091, 28300162, 29816869, 28300203, 27939611, 29718646, 435552575, 407679557, 35755750, 27838636, 407677278, 30854067, 493551129, 451991293, 403710029, 410629428, 37240341, 26486187, 27691915, 27519415, 404184733, 449578701]"
