歌名,歌手,曲风,推荐标签,语种,BPM,乐评
It's All Right With Me (Live),Brad Mehldau、,,,,,
Secret Love (Live),Brad Mehldau、,,,,,
Unrequited (Live),Brad Mehldau、,,,,,
Resignation (Live),Brad Mehldau、,,,,,
Trailer Park Ghost (Live),Brad Mehldau、,,,,,
Goodbye Storyteller (for Fred Myrow) [Live],Brad Mehldau、,,,,,
Exit Music (for a Film) [Live],Brad Mehldau、,,,,,
Things Behind The Sun (Live),Brad Mehldau、,,,,,
Lithium (Live),Brad Mehldau、,,,,,
Lilac Wine (Live),Brad Mehldau、,,,,,
Martha My Dear (Live),Brad Mehldau、,,,,,
My Favorite Things (Live),Brad Mehldau、,,放松、抒情、,纯音乐,,
Dat Dere (Live),Brad Mehldau、,,,,,
Mademoiselle Mabry (New Mix),Miles Davis、,爵士、,,,,
Frelon Brun (New Mix),Miles Davis、,爵士、,,,,
Two Faced (New Mix),Miles Davis、,爵士、,,纯音乐,,
Dual Mr. Tillman Anthony (New Mix),Miles Davis、,爵士、,,,,
Splash (New Mix),Miles Davis、,爵士、,,纯音乐,,
Splashdown (New Mix),Miles Davis、,爵士、,,,,
Ascent (New Mix),Miles Davis、,爵士、,,,,
Directions I (New Mix),Miles Davis、,爵士、,,,,
Directions II (New Mix),Miles Davis、,爵士、,,,,
Shhh / Peaceful (New Mix),Miles Davis、,爵士、,,,,
In a Silent Way (Rehearsal) (New Mix) [Rehearsal)(New Mix],Miles Davis、,爵士、,,,,
In a Silent Way (New Mix),Miles Davis、,爵士、,助眠、冥想、放松、平静、,,116,
It's About That Time (New Mix),Miles Davis、,爵士、,,,,
The Ghetto Walk (New Mix),Miles Davis、,爵士、,,,,
Early Minor (New Mix),Miles Davis、,爵士、,,,,
Shhh / Peaceful  (LP Version) (New Mix),Miles Davis、,爵士、,,,,
In A Silent Way / It's About That Time (LP Version) (New Mix),Miles Davis、,爵士、,,,,
Invisible,Ornette Coleman、,爵士、,,英语,,
The Blessing,Ornette Coleman、,爵士、,,英语,,
Chippie,Ornette Coleman、,爵士、,,英语,,
Angle Voice,Ornette Coleman、,爵士、,,英语,,
Alpha,Ornette Coleman、,爵士、,,英语,,
When Will The Blues Leave?,Ornette Coleman、,爵士、,,英语,,
Ritooria,Keith Jarrett、,爵士、,,,125,
"My Lady, My Child",Keith Jarrett、,爵士、,,,130,
Landscape For Future Earth,Keith Jarrett、,爵士、,,,129,
Starbright,Keith Jarrett、,爵士、,,,124,
Vapallia,Keith Jarrett、,爵士、,,,146,
Iron Man,Eric Dolphy、,爵士、,,纯音乐,,
Mandrake,Eric Dolphy、,爵士、,,英语,,
Come Sunday,Eric Dolphy、,爵士、,,英语,,
Burning Spear,Eric Dolphy、,爵士、,,英语,,
Ode To C P,Eric Dolphy、,爵士、,,,,
The Night We Called It a Day,Charlie Haden、,爵士、,,英语,,
I Hear a Rhapsody,Charlie Haden、,爵士、,,英语,,
Alone Together,Charlie Haden、,爵士、,,英语,,
Nobody's Heart,Charlie Haden、,爵士、,,英语,,
Body and Soul,Charlie Haden、,爵士、,,英语,,
The Things We Did Last Summer,Charlie Haden、,爵士、,,英语,,
It Never Entered My Mind,Charlie Haden、,爵士、,,英语,,
CC Blues,Charlie Haden、,爵士、,,英语,,
Good Morning Heartache,Charlie Haden、,爵士、,,英语,,
P.S. Unless One Has (Blues Connotation),Ornette Coleman、,爵士、,,纯音乐,,
Beauty Is a Rare Thing,Ornette Coleman、,爵士、,,英语,131,
Kaleidoscope,Ornette Coleman、,爵士、,,英语,162,
Embraceable You,Ornette Coleman、,爵士、,,英语,139,
Poise,Ornette Coleman、,爵士、,,英语,161,
Humpty Dumpty,Ornette Coleman、,爵士、,,英语,,
Folk Tale,Ornette Coleman、,爵士、,,英语,,
"Billy the Kid, the Open Prairie",Bill Frisell、,爵士、,,英语,,
"Billy the Kid, Street Scene in a Frontier Town",Bill Frisell、,爵士、,,英语,,
"Billy the Kid, Mexican Dance and Finale",Bill Frisell、,爵士、,,英语,146,
"Billy the Kid, Prairie Night (Card Game at Night), Gun Battle",Bill Frisell、,爵士、,,英语,,
"Billy the Kid, Celebration After Billy's Capture",Bill Frisell、,爵士、,,英语,,
"Billy the Kid, Billy in Prison",Bill Frisell、,爵士、,,英语,,
"Billy the Kid, the Open Prairie Again",Bill Frisell、,爵士、,,英语,,
"The ""Saint-Gaudens"" in Boston Common, ""Col. Shaw and his colored regiment"" (excerpt #1)",Bill Frisell、,爵士、,,英语,130,
Just Like a Woman,Bill Frisell、,爵士、,,英语,182,
I Can't Be Satisfied,Bill Frisell、,爵士、,,英语,,
"The ""Saint-Gaudens"" in Boston Common, ""Col. Shaw and his colored regiment"" (excerpt #2)",Bill Frisell、,爵士、,,英语,,
No Moe,Bill Frisell、,爵士、,,英语,103,
Washington Post March,Bill Frisell、,爵士、,,英语,,
When I Fall in Love,Bill Frisell、,爵士、,,英语,129,
Little Jenny Dow,Bill Frisell、,爵士、,,英语,117,
Have a Little Faith in Me,Bill Frisell、,爵士、,,英语,,
Billy Boy,Bill Frisell、,爵士、,,英语,127,
The Sphinx,Charlie Haden、,,,,171,
Art Deco,Charlie Haden、,爵士、,,,,
Happy House,Charlie Haden、,爵士、,,,,
Lonely Woman,Charlie Haden、,爵士、,,,,
Mopti,Charlie Haden、,爵士、,,纯音乐,,
The Blessing,Charlie Haden、,爵士、,,纯音乐,,
When Will the Blues Leave?,Charlie Haden、,,,,,
Law Years,Charlie Haden、,,,,,
When You're Smiling (Non Vocal Take),Louis Armstrong、,爵士、,动感、放松、咖啡厅、,英语,151,
Let's Do It (Let's Fall In Love) Louis Armstrong,Louis Armstrong、,流行、,慵懒、放松、咖啡厅、,英语,,
Kiss of Fire,Louis Armstrong、,原声带-电影原声、流行、,慵懒、放松、浪漫、爱情、,英语,,
Love Will Tear Us Apart,Nouvelle Vague、,爵士、,清新、放松、,英语,132,
