歌名,歌手,曲风,推荐标签,语种,BPM,乐评
**** it I love you,Lana Del Rey、,流行、,抒情、悲伤、,英语,65,
Soul Mate,Flora Cash、,流行-欧美流行、民谣、,爱情、浪漫、放松、,英语,98,
No Surprises,Radiohead、,摇滚-另类摇滚、,抒情、悲伤、抑郁、放松、治愈、,英语,76,
Heather,Conan Gray、,流行-欧美流行、,抒情、悲伤、爱情、慵懒、浪漫、放松、旅游、,英语,139,
The Story,Norah Jones、,,慵懒、放松、,英语,100,
Six Feet Under,Billie Eilish、,节奏布鲁斯-灵魂乐、另类/独立-独立流行、,抒情、,英语,67,
Metroma,The Sei、,电子-Electronica、,放松、慵懒、,英语,92,
"i hate u, i love u (feat. olivia o'brien)",gnash、Olivia O'Brien、,流行-欧美流行、,抒情、悲伤、抑郁、快乐、爱情、慵懒、浪漫、苦情、放松、治愈、孤独、KTV、轻快、遗憾、,英语,91,
I Am You,Kim Taylor、,流行-欧美流行、,抒情、动感、悲伤、快乐、爱情、思念、慵懒、放松、治愈、孤独、洒脱、,英语,118,
please hold me,Julia Alexa、,流行、,悲伤、,英语,65,
wish you were gay,Billie Eilish、,另类/独立-另类流行、,动感、,英语,58,
Figures,Jessie Reyez、,流行-欧美流行、,放松、,英语,85,
all the kids are depressed,Jeremy Zucker、,流行-欧美流行、,抒情、动感、快乐、慵懒、活力、放松、轻快、洒脱、,英语,103,
This Is Not A Love Song,Nouvelle Vague、,爵士、,慵懒、放松、,英语,99,
better off,Jeremy Zucker、Chelsea Cutler、,流行-欧美流行、,抒情、清新、悲伤、爱情、慵懒、苦情、放松、,英语,98,
this is what a broken heart feels like (stripped),Marina Lin、,民谣-当代民谣、,放松、,英语,,
Angela,Flower Face、,另类/独立、民谣-独立民谣、,悲伤、放松、治愈、孤独、,英语,104,
this is what falling in love feels like,Marina Lin、,,抒情、放松、,英语,157,
Gin & Tonics,George_David、,民谣、,抒情、悲伤、放松、,英语,,
Airplane Mode,Hayd、,另类/独立、流行-欧美流行、,,英语,66,
On the Edge,Zackery、,另类/独立、,放松、抒情、,英语,,
Drop,Hope Sandoval & The Warm Inventions、Hope Sandoval、,另类/独立、,梦幻、放松、抒情、治愈、,英语,105,
radiator,Sadurn、,摇滚-另类摇滚、,慵懒、放松、,英语,,
La Lune,Billie Marten、,原声带-电视剧原声、流行、,慵懒、放松、浪漫、爱情、,英语,53,
K.,Cigarettes After Sex、,摇滚-梦幻流行、,抒情、梦幻、爱情、慵懒、浪漫、放松、,英语,93,
"Up, Up & Away",Chance Peña、,流行-欧美流行、,悲伤、慵懒、放松、,英语,65,
lavender blood,Fox Academy、,民谣、,慵懒、放松、,英语,138,
this is what overthinking feels like,Marina Lin、,民谣-当代民谣、,抒情、悲伤、放松、孤独、,英语,,
So:Lo,Kate Havnevik、,流行-欧美流行、,,英语,82,
Help Me Out,Alicks、,电子-缓拍、嘻哈说唱-低保真嘻哈、,梦幻、放松、,英语,77,
No Reason,VELVETEARS、,流行-欧美流行、,抒情、悲伤、抑郁、思念、孤独、冥想、,英语,140,
get you the moon,Kina、SNØW、,嘻哈说唱-低保真嘻哈、,抒情、动感、悲伤、抑郁、爱情、思念、浪漫、活力、放松、,英语,60,
Skipalong (Album Version),Lenka、,节奏布鲁斯-灵魂乐、,慵懒、放松、,英语,65,
Apocalypse,Cigarettes After Sex、,摇滚-梦幻流行、,抒情、梦幻、爱情、慵懒、浪漫、放松、旅游、,英语,94,
Fallin' for Ya,Madi Marie、,电子、流行-欧美流行、,抒情、动感、悲伤、爱情、思念、慵懒、浪漫、放松、孤独、,英语,105,
22,Lily Allen、,流行-欧美流行、,动感、快乐、活力、,英语,133,
Earned It,The Weeknd、,原声带-电影原声、节奏布鲁斯、,抒情、动感、爱情、慵懒、活力、放松、酒吧、极限运动、举铁、,英语,119,
Ordinary,XYLØ、,另类/独立-另类流行、,动感、活力、散步、,英语,102,
4 Real,Avril Lavigne、,流行-欧美流行、,,英语,77,
Cut My Hair,Mounika.、Cavetown、,电子、嘻哈说唱、,动感、悲伤、放松、,英语,74,
