歌名,歌手,曲风,推荐标签,语种,BPM,乐评
寄,小缘、月鹿听吟、,国风-古风、,KTV、抒情、悲伤、治愈、放松、,国语,69,
海,小缘、,二次元-同人作品、,抒情、悲伤、放松、,国语,80,
望,小缘、,流行-华语流行、,抒情、悲伤、放松、治愈、KTV、,国语,122,
oz.,小缘、,二次元-同人作品、,快乐、幸福、,日语,155,
VII,小缘、,二次元-同人作品、流行、,热血、动感、,日语,,
Zzz,小缘、,二次元-同人作品、流行、,可爱、快乐、放松、,日语,,
爱你,小缘、,,,国语,100,
如诉,小缘、,流行、,放松、治愈、,国语,99,
群青,Hanser、小缘、,二次元、,可爱、快乐、,日语,67,
骑士,小缘、,流行-器乐流行、,可爱、快乐、放松、,国语,119,
倦客,小缘、,流行-华语流行、,抒情、放松、,国语,58,
褪色,小缘、,流行、,可爱、快乐、放松、KTV、,国语,152,
落花,小缘、,二次元-同人作品、流行、,抒情、悲伤、放松、治愈、KTV、,国语,,
破茧,小缘、,二次元-同人作品、流行、,抒情、悲伤、,国语,85,
无心,小缘、,流行、,热血、动感、可爱、快乐、KTV、,日语,84,
洋葱,小緣、,,抒情、悲伤、KTV、,国语,,
矮油,小缘、,二次元-同人作品、流行、,,国语,,
赌局,小缘、,流行、,放松、,日语,76,
时针,小缘、,二次元-同人作品、流行、,清新、放松、,国语,94,
骗赖,小缘、,二次元-同人作品、流行、,可爱、快乐、放松、,国语,130,
情歌,小缘、,二次元-同人作品、流行、,轻快、快乐、洒脱、,国语,,
扫墓,小缘、,二次元-同人作品、流行、,正能量、,日语,,
砂上,小缘、,二次元-同人作品、流行、,热血、动感、,日语,,
素颜,小缘、学长、,二次元-同人作品、流行、,慵懒、放松、KTV、,国语,,
天樂,小缘、,二次元-同人作品、流行、,热血、动感、,日语,,
洋葱,小缘、,二次元-同人作品、流行-华语流行、,抒情、悲伤、KTV、,国语,128,
夜车,小缘、,二次元-同人作品、流行-华语流行、,抒情、悲伤、放松、,国语,,
月華,小缘、,流行、,热血、动感、可爱、快乐、,日语,,
登神（GODS）,小缘、,流行、,动感、活力、,英语,73,
乐园（翻自 정가이）,小缘、,二次元、,抒情、,国语,,
10年,小缘、,二次元-同人作品、流行、,抒情、悲伤、放松、治愈、,日语,82,
ルル,小缘、,二次元-同人作品、流行、,KTV、快乐、可爱、放松、,日语,,
I AM,小缘、,二次元、电子、流行、,快乐、可爱、活力、动感、,韩语,123,
土鸡蛋,小缘、,,可爱、快乐、放松、活力、动感、正能量、洒脱、,国语,121,
