歌名,歌手,曲风,推荐标签,语种,BPM,乐评
宝贝 (In a Day),张悬、,民谣-华语民谣、,甜蜜、可爱、快乐、爱情、放松、轻快、正能量、,国语,118,
宝贝快快睡,儿歌宝贝、,,放松、,国语,99,
最亮的星星,叶泳沺、,,快乐、可爱、KTV、放松、,国语,73,
乖乖睡觉歌,婷婷、,,可爱、快乐、放松、,国语,121,
恐龙摇篮曲,朱妮托尼、,,冥想、可爱、快乐、动感、,国语,79,
梦里的怪兽,李昕竹、冯李恩颖、,,可爱、快乐、放松、,国语,76,
Are You Sleeping?,Kids Choir、,,放松、KTV、冥想、,英语,121,
摇篮曲,贝乐虎、,,KTV、抒情、治愈、放松、,国语,84,
宝宝晚安,宝宝巴士、,,可爱、快乐、轻快、,国语,83,
早早睡，宝贝,宝宝巴士、,,可爱、快乐、放松、,国语,109,
睡吧，宝贝睡吧：Sleep Baby Sleep,宝宝巴士、,,抒情、清新、放松、,英语,142,
美丽的夜晚,小河狸贝瓦、,,舞蹈、放松、冥想、,国语,68,
摇啊摇宝贝,Little Baby Bum 与朋友们 - 幼儿儿歌、,,放松、治愈、,国语,68,
稀奇，稀奇，真稀奇,Little Baby Bum 与朋友们 - 幼儿儿歌、,,抒情、放松、治愈、,国语,84,
星星闪，星星亮,Little Baby Bum 与朋友们 - 幼儿儿歌、,,快乐、可爱、治愈、放松、,国语,99,
睡觉了,胡依依、,,可爱、快乐、放松、,国语,89,
一起睡,小河狸贝瓦、,,可爱、快乐、放松、,国语,,
Kiss baby,高维那、,,抒情、爱情、快乐、可爱、放松、,国语,80,
毛绒小熊,Y星人、拜尔娜、,,快乐、可爱、治愈、放松、,国语,120,
妈妈的城堡,Y星人、拜尔娜、,,放松、清新、,国语,80,
泡泡糖小房,Y星人、拜尔娜、,,可爱、快乐、放松、,国语,71,
甜甜的梦乡,Y星人、拜尔娜、,,放松、治愈、,国语,98,
我们一起数星星,Y星人、Cheryl Chen、,,快乐、放松、治愈、,国语,117,
黑黑的奇迹,屋顶动物园、,,KTV、抒情、悲伤、放松、,国语,162,
被子小精灵,东东龙儿歌、,,可爱、快乐、放松、,国语,131,
雪绒花,田沛东、,,抒情、悲伤、放松、治愈、KTV、,华语,107,
春雨沙沙沙,婷婷、,,可爱、快乐、放松、KTV、,国语,143,
一闪一闪亮晶晶,朱妮托尼、,,可爱、快乐、,国语,119,
布拉姆斯摇篮曲,朱妮托尼、,,酒吧、抒情、悲伤、放松、,国语,146,
萤火微光,火火兔、,,可爱、快乐、放松、,国语,99,
摇篮曲,火火兔、,,可爱、快乐、放松、,国语,162,
萤火虫2,火火兔、,,,国语,,
晚安宝贝,陈思霓、,,,华语,146,
小鹿问问之摇篮曲,和小鹿问问一起玩、,,可爱、快乐、放松、,国语,55,
杰克和吉尔,Lynne Music Project、,,快乐、可爱、放松、,英语,132,
Good night-三三哄睡觉,三三儿歌、,民谣、,悲伤、放松、,英语,159,
晚安，农场,宝宝巴士、,,可爱、快乐、放松、,国语,98,
晚安喵,艾索、,,清新、可爱、快乐、放松、KTV、正能量、舞蹈、,国语,95,
小宝贝 快快睡,火火兔、,,可爱、快乐、放松、,国语,60,
摇篮曲,火火兔、,,冥想、抒情、,国语,90,
茉莉花,贝乐虎、,,抒情、放松、冥想、,国语,95,
花之摇篮曲,屋顶动物园、,,快乐、可爱、放松、,国语,116,
黑夜的萤火虫,火火兔、,,快乐、可爱、动感、,国语,111,
滴答滴答,周巽初、,,快乐、可爱、放松、,国语,64,
月亮去哪里,周巽初、,,快乐、可爱、放松、,国语,130,
一闪一闪亮晶晶,童星合唱、,,放松、冥想、,国语,95,
摇篮曲,李昕竹、,,可爱、快乐、放松、,国语,64,
小雨滴,李昕竹、,,快乐、可爱、放松、,国语,60,
寶貝媽咪,躲猫猫儿童文创、,,可爱、快乐、放松、,华语,117,
夜晚，晚安,贝乐虎、,,平静、放松、,国语,80,
暖暖冬夜 (好童星丛语凡版),好童星原创童歌、,,,国语,,
夜莺,Wandy、,,KTV、抒情、悲伤、孤独、,国语,96,
我能一个人睡觉,Wandy、,,可爱、快乐、放松、,国语,100,
莫扎特摇篮曲,朱妮托尼、,,放松、冥想、,国语,107,
萤火虫1,火火兔、,,,国语,,
摇篮曲,宝宝巴士、,,抒情、校园、,国语,83,
睡吧宝贝,小河狸贝瓦、,,可爱、快乐、放松、治愈、酒吧、,国语,148,
