歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Sonata for Violin and Piano:II. Largo sostenuto,Alessio Bidoli、Bruno Canino、,古典、,学习、悲伤、放松、平静、,,127,
"Albumblatt, WWV 94",Guillaume Bellom、Renaud Capuçon、,古典、,悲伤、平静、放松、学习、,纯音乐,,
"Violin Concerto No. 1 in A Minor, Op. 28: II. Andante",Nathan Milstein、The Philharmonia、Harry Blech、,古典、,平静、放松、学习、冥想、,,,
"Violin Concerto No.5 In A, K.219:2. Adagio",Hilary Hahn、,古典-古典主义音乐、,平静、放松、学习、,纯音乐,133,
"Serenade for String Orchestra, Op. 20:II. Larghetto",Daniel Hope、Zürcher Kammerorchester、,古典、,神秘、紧张、,,122,
"Vocalise, Op. 34, No. 14",Vladimir Ashkenazy、Zsolt-Tihamér Visontay、,古典-浪漫主义音乐、,悲伤、平静、放松、,纯音乐,129,
"Ave Maria, D. 839 (Arr. Garrett / van der Heijden for Violin and Orchestra)",David Garrett、Franck van der Heijden、Orchestra the Prezent、Franz Schubert、,古典、,放松、学习、冥想、,纯音乐,133,
"Violin Sonata No. 1 in G Minor, BWV 1001:I. Adagio",Itzhak Perlman、,古典、,,纯音乐,125,
"Sonata For Violin And Piano No.1 In F Minor, Op.80 : 3. Andante",Gidon Kremer、Martha Argerich、,古典、,,,,
Sonata for Violin and Piano in A D.574:1. Allegro moderato,Gidon Kremer、Valery Afanassiev、,,抒情、平静、快乐、放松、学习、,,,
"Sonata For Piano And Violin Sonata No.5 In F Major Op.24 ""Spring"" : II.Adagio molto espressivo",Zino Francescatti、,古典、,平静、放松、,纯音乐,,
"Sonata For Piano And Violin In F, K.376:2. Andante",Anne-Sophie Mutter、Lambert Orkis、,古典-古典主义音乐、,放松、,纯音乐,142,
"Kinderszenen (Scenes of childhood), Op. 15: VII. Traumerei (Dreaming) (arr. for violin and piano)",吕思清、,古典-浪漫主义音乐、,悲伤、,纯音乐,127,
"Violin Sonata No. 4 in C Minor, BWV 1017:III. Adagio (Live)",Martha Argerich、Tedi Papavrami、,古典-巴洛克音乐、,,,,
"Violin Concerto No.4 In D Minor, MS. 60:2. Adagio flebile con sentimento",Charles Dutoit、London Philharmonic Orchestra、Salvatore Accardo、,古典-浪漫主义音乐、,爱情、浪漫、,纯音乐,133,
Romance From The Gadfly,Dmitri Shostakovich、,古典、,悲伤、放松、学习、,纯音乐,109,
"Violin Concerto No. 2 in E Major, BWV 1042:II. Adagio",Anne-Sophie Mutter、English Chamber Orchestra、John Mordler、Leslie Pearson、Salvatore Accardo、,古典、,放松、学习、冥想、,,130,
"String Trio in B-Flat Major, D. 581:III. Menuetto: Allegretto",Sergey Ostrovsky、,古典-浪漫主义音乐、,动感、快乐、轻快、,纯音乐,,
"Violin Concerto No. 1, Op. 26 in G Minor:II.Adagio",Jascha Heifetz、Sir Malcolm Sargent、The New Symphony Orchestra Of London、,古典、,梦幻、放松、冥想、,纯音乐,127,
"Sonate pour Arpeggione [violoncelle] et Piano en la Mineur, D. 821: II. Adagio",Jean-Guihen Queyras、Alexandre Tharaud、,,学习、平静、放松、冥想、,纯音乐,,
"Violin Concerto in G Minor, RV 329:II. Grave",Roberto Baraldi、Accademia I Filarmonici、Alberto Martini、,古典-巴洛克音乐、,,英语,,
"Carmen Fantasy, Op. 25:III. Lento assai (Arr. For violin and piano)",L. Edvin Csury、,古典-古典跨界、,,纯音乐,,
Ave Maria:Ave Maria,Various Artists、,古典、,,纯音乐,,
Chaconne in G minor (1993 Digital Remaster):Chaconne in G minor (1993 Digital Remaster),Various Artists、,古典-巴洛克音乐、,平静、放松、学习、冥想、,纯音乐,,
"Adagio in E Major, K. 261",Nathan Milstein、Arthur Balsam、Wolfgang Amadeus Mozart、,古典、,放松、平静、,英语,,
"Suite bergamasque, L. 75:III. Claire de lune",Salvatore Accardo、Laura Manzini、,古典、,放松、,纯音乐,,
"Sonata for Violin and Piano No. 1 in G Major, Op. 78:II. Adagio",Arthur Rubinstein、Henryk Szeryng、,古典-浪漫主义音乐、,平静、梦幻、放松、,纯音乐,120,
"Violin Concerto in D, Op. 35:2. Canzonetta (Andante)",Jascha Heifetz、Chicago Symphony Orchestra、Fritz Reiner、,古典-浪漫主义音乐、,平静、梦幻、放松、冥想、,纯音乐,,
Sonata for Violin and Piano no 3 in c minor op 45: allegretto,Percy Grainger、,轻音乐、古典、,平静、放松、学习、,,,
Nocturne,Janine Jansen、Itamar Golan、,古典-浪漫主义音乐、古典-二十世纪音乐、,热血、动感、,纯音乐,117,
Suite in the Old Style: III. Minuet,Alfred Schnittke、Yuri Korchinsky、Nina Kogan、,古典、,放松、,英语,,
"Concerto For Violin And Strings In E, Op.8, No.1, R.269 ""La Primavera"":2. Largo",Isaac Stern、Israel Philharmonic Orchestra、Zubin Mehta、,古典、,梦幻、放松、冥想、,纯音乐,127,
"Concerto for Violin and Strings in F minor, Op.8, No.4, R.297 ""L'inverno"":2. Largo",Neville Marriner、Academy of St. Martin in the Fields、Alan Loveday、,古典-巴洛克音乐、,梦幻、放松、冥想、,,,
L'Estro Armonico No. 6 in A Minor:II. Largo,Academy of St. Martin in the Fields、Neville Marriner、,古典-巴洛克音乐、,梦幻、放松、学习、冥想、,纯音乐,130,
Arioso (Adagio in G) from Cantata BWV 156 (Arr. Lloyd Webber),Julian Lloyd Webber、John Lenehan、,古典-巴洛克音乐、,平静、放松、学习、助眠、,纯音乐,61,
"6 Songs, Op. 34:No. 2, Auf Flügeln des Gesanges, MWV K86 (Transcr. Capuçon for Violin and Piano)",Renaud Capuçon、Etienne Collard、Jerome Ducros、Ulrich Ruscher、,古典-浪漫主义音乐、,平静、放松、学习、冥想、,纯音乐,61,
String Quartet No. 5 in A Major Op. 18/5: Menuetto,Hagen Quartett、,古典-古典主义音乐、,快乐、爱情、浪漫、放松、轻快、,,,
"2 Sentimental Romances, Op. 28: No. 1 in A Major",Henning Kraggerud、,古典、,快乐、轻快、,,,
"Après un Rêve Op. 7, No. 1 (Arr. for Violin and Piano)",Janine Jansen、Itamar Golan、,古典、,抒情、平静、放松、,纯音乐,135,
Barber: Adagio for Strings,Various Artists、,古典、,大气、,,,
"14 Songs, Op. 34: No. 14. Vocalise in E Minor:Vocalise, Op. 34, No. 14",Maria Kliegel、,古典-浪漫主义音乐、,悲伤、平静、放松、,纯音乐,88,
"Andante cantabile (from String Quartet No. 1, Op.11: arr. Kreisler)",Itzhak Perlman、Samuel Sanders、Suvi Raj Grubb、,古典、,放松、平静、,纯音乐,138,
"Thaïs, Act II: Méditation (version for violin and piano)",吕思清、,古典-浪漫主义音乐、,悲伤、平静、放松、学习、,纯音乐,142,
Sonata for violin and piano Op.134:Andante,Ronald Brautigam、Isabelle van Keulen、,古典、,,纯音乐,,
"Sonata for Violin and Piano No.5 in F major, op.24 'Spring':2. Adagio Molto Espress",Vladimir Ashkenazy、Itzhak Perlman、,古典、,平静、放松、学习、,纯音乐,146,
"Sonata for Violin and Piano No. 3 in D Minor, Op. 108:II. Adagio",Arthur Rubinstein、Henryk Szeryng、,古典、,放松、大气、,,125,
"Violin Concerto In E Minor, Op.64, MWV O14:2. Andante",Daniel Hope、,古典-浪漫主义音乐、,放松、学习、冥想、,纯音乐,135,
"Gabriel Fauré: Sonata for Violin and Piano No.1 in A, Op.13 - 2. Andante",Pierre Amoyal、Pascal Rogé、,轻音乐、,平静、放松、学习、,,,
"Concerto No. 4 in F minor, Op. 8, RV 297, ""L'inverno"" (Winter):II. Largo",Anne Akiko Meyers、David Lockington、English Chamber Orchestra、,古典-巴洛克音乐、,抒情、放松、学习、冥想、,纯音乐,64,
"Concerto for Two Violins in D Minor, BWV 1043:II. Largo ma non tanto",Bath Festival Orchestra、Christian Ferras、Neville Boyling、Peter Andry、Yehudi Menuhin、,古典-巴洛克音乐、,平静、放松、学习、,纯音乐,123,
"Violin Sonata No. 3 in D Minor, Op. 108:II. Adagio",Nathan Milstein、Vladimir Horowitz、,古典-浪漫主义音乐、,平静、放松、,英语,,
"Schwanengesang, D.957:Ständchen",Arthur Grumiaux、,古典-浪漫主义音乐、,平静、放松、学习、咖啡厅、舞会、,纯音乐,125,
"Souvenir d'un lieu cher, Op. 42:no 3, Mélodie",诹访内晶子、,古典-浪漫主义音乐、,悲伤、平静、放松、学习、,纯音乐,142,
"“Air"" from Orchestral Suite No. 3 in D major, BWV 1068",Anne Akiko Meyers、English Chamber Orchestra & Steven Mercurio、,古典、,平静、放松、学习、冥想、婚礼、,纯音乐,59,
"The Four Seasons, Concerto No. 4 in F Minor, RV 297 'L'inverno/Winter' (Op.8 No. 4):II. Largo",Yehudi Menuhin、Camerata Lysy Gstaad、Alberto Lysy、,古典、,平静、放松、冥想、,纯音乐,,
"4 Romantic Pieces, Op. 75, B. 150:No. 1, Allegro moderato",Itzhak Perlman、Michael Sheady、Samuel Sanders、Suvi Raj Grubb、,古典-浪漫主义音乐、,悲伤、平静、抑郁、放松、学习、助眠、,纯音乐,117,
Sonata No.3 in D major: Sarabande (Largo),Henryk Szeryng、Charles Reiner、,,紧张、神秘、,,,
"Violin Concerto in D Major, Op. 61: II. Larghetto",Pinchas Zukerman、Zubin Mehta、,古典-古典主义音乐、,放松、冥想、,,,
Salut D'amour,David Garrett、,古典、,平静、放松、学习、,纯音乐,75,
"Romance for Violin and Orchestra No. 2 in F Major, Op. 50",Chamber Orchestra of Europe、Gidon Kremer、Nikolaus Harnoncourt、,古典-古典主义音乐、,平静、放松、学习、,纯音乐,123,
"Cello Sonata in G Minor, Op. 19:III. Andante",Gautier Capuçon、王羽佳、Sergei Rachmaninoff、,古典、,平静、放松、学习、,纯音乐,211,
"Cello Concerto in B flat, G.482:2. Adagio non Troppo",Julian Lloyd Webber、,古典-古典主义音乐、,冥想、放松、,纯音乐,50,
"Bist du bei mir (Formerly Attrib. J.S. Bach as BWV 508, Transcr. for Oboe, Solo Violin, Strings and Basso continuo)",Albrecht Mayer、Gottfried von der Goltz、Berliner Barock Solisten、Gottfried Heinrich Stölzel、,古典、,学习、放松、悲伤、,纯音乐,60,
"Piano Sonata No.16 in C, K.545 ""Sonata facile"":2. Andante",内田光子、,古典-古典主义音乐、,,纯音乐,,
"Après un rêve, Op. 7, No. 1 (Arr. for Cello and Piano)",Sheku Kanneh-Mason、Isata Kanneh-Mason、,古典、,学习、平静、放松、,纯音乐,134,
"Abendlied, Op. 85 No. 12 (Arr. Grosvenor)",Benjamin Grosvenor、Robert Schumann、,古典、,平静、放松、冥想、,,93,
Ave María (Arr. Víkingur Ólafsson),Víkingur Ólafsson、Sigvaldi Kaldalóns、,古典、,平静、放松、冥想、,纯音乐,65,
"Préludes / Book 1, L. 117:II. Voiles",Arturo Benedetti Michelangeli、Claude Debussy、,古典、,甜蜜、热血、动感、快乐、爱情、,纯音乐,209,
"Eine kleine Nachtmusik, K.525: II. Romance: Andante (arr. piano)",Music Lab Collective、Wolfgang Amadeus Mozart、,古典、,抒情、憧憬、,纯音乐,105,
"Préludes / Book 2, L. 123:5. Bruyères",Víkingur Ólafsson、Claude Debussy、,古典、,平静、放松、冥想、,纯音乐,81,
"Pavane pour une infante défunte, M. 19 (Arr. for Violin and Piano by Louis Fleury)",Manon Galy、Jorge Gonzalez Buajasan、,古典、,学习、平静、放松、,,122,
6 Encores for Piano: III. Wasserklavier,Andrea Lucchesini、,轻音乐、,平静、放松、,,,
"Herz und Mund und Tat und Leben, Cantata BWV 147:Jesu, Joy of Man's Desiring (Arr. for Piano by Myra Hess)",Rafał Blechacz、Johann Sebastian Bach、,古典、,平静、放松、学习、冥想、,纯音乐,120,
"Dances for Harp and Strings, L. 103: No. 2, Danse profane",Prazak Quartet、Jana Boušková、Vaclav Hoskovec、,古典、,放松、,欧美,,
"Concerto in D Minor, BWV 974: 2. Adagio",Víkingur Ólafsson、,古典-巴洛克音乐、,,,,
Children's Corner: V. The Little Shepherd,Jean-Bernard Pommier、,古典-印象主义音乐、,平静、放松、,纯音乐,71,
Ave Maria,马友友、Kathryn Stott、,轻音乐、古典-古典跨界、,平静、放松、学习、冥想、,纯音乐,63,
"Ye Tuneful Muses, Z. T681: Ground in C Minor",Jeremy Denk、,古典、,抒情、悲伤、平静、梦幻、快乐、思念、放松、轻快、,,,
"Andante spianato and Grande polonaise brillante in E-Flat Major, Op. 22:Andante spianato",Eldar Nebolsin、,古典-浪漫主义音乐、,平静、放松、冥想、,英语,,
Adagio Cantabile from Sonata Op.13 (Pathetique),Ludwig van Beethoven、,古典-古典主义音乐、,平静、放松、冥想、,纯音乐,84,
"24 Etudes, Op. 35:No. 22 In B Minor",Narciso Yepes、Fernando Sor、,古典、,放松、冥想、平静、,纯音乐,91,
"10 Preludes, Op. 23:No. 10 in G-Flat Major (Largo)",Vladimir Ashkenazy、,古典、,抒情、放松、治愈、,纯音乐,156,
"4 Gesange, Op. 43: No. 2. Die Mainacht (arr. G. Schwabe and N. Rimmer for cello and piano)",Gabriel Schwabe、Nicholas Rimmer、,古典、,平静、放松、冥想、,纯音乐,,
"3 Piano Pieces, Op. 128: No. 2, Young Birches",Chris Hopkins、,古典、,抒情、平静、思念、放松、,纯音乐,185,
"3 Fantaisies, Op. 16: III. Andante",Doomin Kim、,古典-浪漫主义音乐、,平静、放松、冥想、,纯音乐,149,
"2 Arabesques, L. 66: No. 1, Andantino con moto (Transcr. for Guitar Duo)",Davide Giovanni Tomasi、Marco Musso、,古典、,平静、放松、冥想、,纯音乐,142,
"Glinka: Nocturne f-minor: ""La séparation""",Alexei Lubimov、,古典-浪漫主义音乐、,悲伤、孤独、助眠、,纯音乐,,
"25 Preludes dans tous les tons majeurs et mineurs, Op. 31: No. 1 Lentement",Laurent Martin、,古典-浪漫主义音乐、,平静、放松、,纯音乐,67,
"Sonatine, M. 40:I. Modéré",Martha Argerich、Maurice Ravel、,古典、,平静、放松、学习、,,165,
"Ertodt' uns durch dein' Gute, BWV 22",Jonathan Plowright、,古典-巴洛克音乐、,平静、放松、治愈、,纯音乐,83,
Canon (Over a Basso Ostinato),Peerless 2x2、,古典-古典跨界、,平静、放松、治愈、,纯音乐,91,
"Piano Sonata in G major, Hob.XVI:11:2. Andante",John McCabe、,古典、,放松、治愈、,,,
"Trio In E-Flat, Op. 100 (Excerpt)",Franz Schubert、,古典、,平静、爱情、浪漫、放松、治愈、,纯音乐,61,
Nocturne No.2 in E Flat Op.9 No.2,Vladimir Ashkenazy、,古典-浪漫主义音乐、,平静、放松、冥想、,纯音乐,142,
