歌名,歌手,曲风,推荐标签,语种,BPM,乐评
窗外,Cindy吃豆花儿、,流行-华语流行、,快乐、放松、,国语,78,
Fell for U,Noicybino、,轻音乐、,悲伤、快乐、放松、孤独、轻快、,纯音乐,91,
你微微一笑,CashMoon、,流行-华语流行、,可爱、快乐、,纯音乐,95,
罗曼蒂克的爱情,CashMoon、,流行-华语流行、,可爱、快乐、放松、,国语,72,
像鱼,王贰浪、,流行-华语流行、,抒情、动感、悲伤、平静、快乐、爱情、思念、放松、治愈、孤独、KTV、轻快、洒脱、感人、,国语,70,
如果这就是爱情,LZ轮子、,嘻哈说唱-流行说唱、,幸福、快乐、,国语,98,
失语者,刘大拿、,流行-华语流行、,抒情、动感、悲伤、抑郁、快乐、爱情、思念、慵懒、苦情、放松、孤独、遗憾、,国语,74,
夏天的风,火羊瞌睡了、,流行-华语流行、,抒情、清新、动感、幸福、悲伤、平静、快乐、爱情、思念、慵懒、浪漫、放松、憧憬、治愈、孤独、酒吧、,国语,119,
POETIC CHARM(CHINA PHONK),BOY、,电子、,轻快、快乐、夜店、,英语,127,
TIRED OF PROBLEMS,NUEKI、TOLCHONOV、Glichery、,电子-漂移冯克、,动感、活力、放松、正能量、热血、大气、梦幻、慵懒、激烈、轻快、快乐、神秘、紧张、洒脱、,英语,122,
Feeling The Rain,MoreanP、,轻音乐-流行轻音乐、,抒情、快乐、放松、治愈、轻快、,纯音乐,90,
忆夏思乡,MoreanP、,轻音乐、,抒情、悲伤、平静、梦幻、快乐、思念、放松、轻快、,纯音乐,75,
Wonderful U,Dave、,流行-华语流行、,快乐、,英语,109,
能不能再爱我一遍,靓仔烤脑花、,流行-华语流行、,抒情、幸福、悲伤、快乐、爱情、,国语,67,
落日微风,张德伊玲、,流行-华语流行、,甜蜜、抒情、清新、幸福、快乐、爱情、放松、KTV、轻快、,国语,65,
永远,E2XaT_、,,,,,
别搞,Edo、,流行、,抒情、快乐、放松、,国语,88,
说爱你,xxxmiracle、LKF34、Dave、,流行-华语流行、,甜蜜、快乐、爱情、轻快、,国语,115,
毒药,SN、,流行-华语流行、,抒情、悲伤、抑郁、快乐、爱情、思念、苦情、放松、KTV、遗憾、,国语,156,
离别开出花,就是南方凯（项学凯）、,流行、,快乐、热血、动感、,国语,130,
都市霓虹,SFNT、TizzyT、CHOCKEY有三、HEAT J、Crazy C、,流行-华语流行、,抒情、动感、幸福、快乐、放松、轻快、,国语,84,
Nutag,H.Q、ZebraZebra、,流行、,动感、快乐、放松、夜店、,蒙古语,85,
恋与爱是不同的概念,QIMBAI、,嘻哈说唱-流行说唱、,动感、快乐、活力、轻快、,国语、蒙古语,95,
最后一次,李甜、,流行-华语流行、,抒情、动感、爱情、活力、,国语,88,
关于你,郑润泽、,节奏布鲁斯、流行-华语流行、,抒情、幸福、悲伤、快乐、爱情、思念、浪漫、苦情、孤独、亲情、友情、遗憾、感人、,国语,65,
直觉,李学仕、,流行-华语流行、,抒情、可爱、快乐、思念、助眠、KTV、轻快、,国语,137,
原谅的雨天,WiFi歪歪、Lil Puff、,嘻哈说唱-流行说唱、,抒情、悲伤、快乐、爱情、浪漫、放松、轻快、,国语,76,
靠近,赖仔Morris、,流行-华语流行、,甜蜜、抒情、悲伤、快乐、爱情、浪漫、KTV、酒吧、,国语,80,
妈妈的二十岁,海洋Bo、,嘻哈说唱-流行说唱、,抒情、动感、幸福、悲伤、快乐、爱情、思念、浪漫、放松、治愈、轻快、正能量、亲情、感人、,国语,72,
若把你 越南电音,云音乐AI、网易天音、,慢摇DJ、,动感、可爱、快乐、,国语,127,
Look At Me Now,Charlie Puth、,流行-欧美流行、,热血、抒情、清新、动感、幸福、快乐、爱情、思念、慵懒、浪漫、活力、放松、治愈、KTV、酒吧、旅游、轻快、洒脱、正能量、激烈、,英语,96,
Sucker for You,Matt Terry、,流行-欧美流行、,,英语,94,
Day Dreaming,Jack & Jack、,节奏布鲁斯-当代节奏布鲁斯、流行、,动感、快乐、爱情、浪漫、活力、婚礼、酒吧、,英语,101,
Drama Free,Maria Lynn、Steve Reece、,流行-欧美流行、,舞会、舞蹈、极限运动、,英语,100,
Freak Freak!,Dawin、,嘻哈说唱-旋律说唱、,动感、快乐、爱情、活力、夜店、酒吧、极限运动、,英语,97,
Everybody,Ingrid Michaelson、,流行-欧美流行、,甜蜜、抒情、清新、快乐、爱情、思念、放松、KTV、咖啡厅、婚礼、轻快、正能量、极限运动、,英语,94,
Girl In the Mirror,Sophia Grace、Silento、,流行-欧美流行、,甜蜜、抒情、动感、可爱、快乐、爱情、活力、放松、治愈、轻快、正能量、极限运动、感人、,英语,134,
Never Go Wrong,Nicky Youre、david hugo、,流行、,快乐、动感、活力、,英语,82,
Like 1999,Valley、,流行-欧美流行、,快乐、,英语,97,
Mistletoe,Justin Bieber、,流行-欧美流行、,抒情、动感、快乐、活力、放松、婚礼、,英语,81,
Moscato,Kurosuke、,流行-欧美流行、,动感、梦幻、快乐、爱情、慵懒、浪漫、活力、放松、,英语,124,
Winona,Miloe、,电子-合成器流行、,动感、梦幻、爱情、慵懒、浪漫、活力、放松、旅游、,英语,52,
If We Ever Broke Up,Mae Stephens、,流行-欧美流行、,快乐、轻快、,英语,115,
Catch My Breath,Kelly Clarkson、,流行-欧美流行、,热血、抒情、动感、快乐、活力、放松、夜店、轻快、正能量、极限运动、有氧、家务、,英语,125,
Away With Me,Tomggg、Raychel Jay、,流行-欧美流行、,动感、幸福、可爱、快乐、放松、治愈、愤怒、正能量、,英语,99,
Across the Room,Public Library Commute、Forrest.、,流行-欧美流行、,动感、快乐、慵懒、放松、,英语,116,
Got A Little Crush On You,Wildflowers、Emmi、,流行-欧美流行、,抒情、动感、活力、放松、,英语,89,
Every Second,Mina Okabe、,流行-欧美流行、,慵懒、放松、,英语,129,
Memories,Maroon 5、,流行-欧美流行、,动感、快乐、活力、轻快、正能量、,英语,90,
camellia,slchld、,流行、嘻哈说唱、,幸福、快乐、爱情、放松、,英语,55,
I'm the One,Justin Bieber、Lil Wayne、Chance the Rapper、Quavo、DJ Khaled、,嘻哈说唱-流行说唱、,动感、快乐、爱情、活力、KTV、夜店、酒吧、,英语,162,
Shut Up,Mia Rodriguez、,流行、,动感、快乐、活力、,英语,55,
Smile,Dami Im、,流行-欧美流行、,动感、快乐、爱情、活力、夜店、轻快、正能量、,英语,144,
dating myself,Sad Alex、,节奏布鲁斯-当代节奏布鲁斯、流行、,清新、快乐、爱情、浪漫、放松、治愈、酒吧、正能量、,英语,77,
California,Ethan Dufault、,流行-欧美流行、,,英语,75,
sun and moon,Anees、,节奏布鲁斯、,快乐、清新、放松、活力、动感、浪漫、爱情、慵懒、轻快、甜蜜、抒情、幸福、治愈、洒脱、憧憬、正直、,英语,89,
Peach Jam,88rising、Joji、BlocBoy JB、,嘻哈说唱-流行说唱、,甜蜜、动感、快乐、爱情、活力、放松、夜店、激烈、,英语,90,
Forevermore,Katie Herzig、,民谣、,甜蜜、清新、动感、可爱、快乐、爱情、慵懒、活力、放松、婚礼、酒吧、轻快、极限运动、,英语,125,
Picture,dee holt、Chris James、,流行、,动感、放松、活力、,英语,64,
Green Green Grass,George Ezra、,,动感、活力、散步、,英语,113,
It Only Gets Better,WILD、,流行-欧美流行、,动感、活力、旅游、,英语,99,
Summer Vibe,Walk off the Earth、,乡村-乡村流行、,甜蜜、抒情、清新、动感、快乐、爱情、思念、慵懒、浪漫、活力、放松、酒吧、轻快、,英语,78,
Fuzzy,Poppy、,电子-电子流行、流行-欧美流行、,动感、可爱、快乐、,英语,121,
Made You Look,Meghan Trainor、,流行-欧美流行、,动感、快乐、活力、放松、夜店、婚礼、旅游、正能量、家务、,英语,146,
The Show,Lenka、,流行-欧美流行、,动感、可爱、快乐、活力、放松、轻快、极限运动、,英语,122,
abcdefu,GAYLE、,流行-欧美流行、,夜店、极限运动、举铁、,英语,122,
Pregnant,Phlake、,流行、,动感、活力、,英语,,
East of Eden,Zella Day、,电子、流行-欧美流行、,热血、抒情、动感、紧张、悲伤、快乐、爱情、思念、慵懒、活力、放松、孤独、洒脱、极限运动、,英语,61,
Bomb Digga Woo,Jhameel、,流行-欧美流行、,甜蜜、热血、动感、可爱、快乐、爱情、浪漫、活力、放松、愤怒、轻快、,英语,93,
Ordinary Day,Melanie Penn、,流行-欧美流行、,清新、快乐、爱情、放松、婚礼、酒吧、轻快、正能量、,英语,117,
Maybe Don't (feat. JP Saxe),Maisie Peters、Jp Saxe、,流行、,极限运动、,英语,84,
Caffeine,Lolo Zouaï、,另类/独立、嘻哈说唱-旋律说唱、,抒情、动感、快乐、活力、酒吧、轻快、,英语,77,
Burning Bridges,Ella Vos、,另类/独立、流行-欧美流行、,抒情、清新、动感、爱情、慵懒、浪漫、放松、,英语,99,
Páme Páme,Evangelia、,流行、,动感、活力、,英语,100,
I'm Yours,Jason Mraz、,流行-欧美流行、,放松、,英语,150,
Ain't Nobody Like You,Wildflowers、Emmi、,乡村、,放松、治愈、,英语,95,
Wicked Wonderland (Radio Edit),Tungevaag、,电子-热带浩室舞曲、电子-Electronica、,,英语,128,
Pink Champagne,Nick Lopez、,节奏布鲁斯-灵魂乐、流行-欧美流行、,甜蜜、动感、快乐、爱情、浪漫、活力、放松、咖啡厅、酒吧、极限运动、,英语,109,
How to Be Alone,Rachel Grae、,流行、,慵懒、放松、动感、,英语,83,
Didn't Stand A Chance,Travis Garland、,节奏布鲁斯-当代节奏布鲁斯、,甜蜜、抒情、清新、爱情、慵懒、浪漫、放松、,英语,99,
Oops,Little Mix、Charlie Puth、,流行-欧美流行、,甜蜜、热血、抒情、清新、动感、可爱、快乐、爱情、思念、慵懒、浪漫、活力、放松、KTV、轻快、正能量、极限运动、,英语,104,
Happy!,Mocca、,另类/独立、,快乐、可爱、放松、,英语,78,
Reality,Lost Frequencies、Janieck、,电子-热带浩室舞曲、,,英语,121,
Good Life,G-Eazy、Kehlani、,流行-欧美流行、嘻哈说唱-陷阱说唱、,热血、动感、快乐、爱情、活力、KTV、正能量、,英语,84,
dna,LANY、,流行-欧美流行、,动感、快乐、活力、酒吧、轻快、,英语,100,
