歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Morning Sun,The Grace Smith Gang、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,纯音乐,139,
Compromises,Arne Torvik、Bjørnar Kaldefoss Tveite、Øystein Aarnes Vik、,爵士-当代爵士、,放松、,英语,,
Dardanella,Emmet Cohen、,爵士、,放松、可爱、快乐、,英语,,
Los Bandidos Bogarolles,Judith O'higgins、Dave O'Higgins、His'n'Hers、,爵士-比波普、,动感、爱情、浪漫、放松、咖啡厅、,英语,,
Sconsolato,Nathan Davis、,爵士、,动感、放松、,纯音乐,,
Boo's Blues,Julian Lage、,爵士、,梦幻、爱情、浪漫、放松、,纯音乐,152,
Deep in a Dream,Dmitry Baevsky、Clovis Nicolas、Jason Brown、Stephane Belmondo、,爵士-冷爵士、,孤独、悲伤、放松、,,128,
Strange Flower,Ellen Andrea Wang、Rob Luft、Jon Fält、,爵士、,动感、放松、,英语,116,
The Dreamer,Immanuel Wilkins、,爵士、,孤独、悲伤、放松、,纯音乐,133,
Alfie,Richard Baratta、,爵士-比波普、,爱情、慵懒、浪漫、放松、咖啡厅、,,,
Spring of Life,Daniel García Trio、,爵士、,放松、,纯音乐,,
In The End,Marcus Bartelt、Martin Sasse、Martin Gjakonovski、Joost van Schaik、,爵士、,悲伤、放松、孤独、,,162,
Abiyoyo,Johnathan Blake、,爵士、,爱情、浪漫、放松、冥想、,,128,
I Can't Believe That You're In Love With Me,Stan Getz、,爵士、,咖啡厅、浪漫、爱情、放松、动感、,英语,,
Awakening,Benjamin Sanz、,爵士-当代爵士、,动感、爱情、浪漫、放松、,,,
Trouble Maker,Lucas Figueiredo Santana、,爵士-当代爵士、,抒情、动感、,纯音乐,,
Indian Summer,Anders Mogensen、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,纯音乐,,
The Rumor,Ron Miles、,爵士、,放松、浪漫、爱情、慵懒、,,,
To Mr K.K.,Carl Bagge、,爵士-当代爵士、,抒情、动感、活力、放松、,,,
Flotten,Tingvall Trio、,爵士、,放松、,纯音乐,,
In This Moment,Emil Brandqvist Trio、,爵士、,孤独、悲伤、放松、,纯音乐,110,
Den Grønbenede Rørhøne,Tobias Stavngaard、Jakob Sørensen、Aske Drasbæk、Carl-Emil Dons Christensen、William Mannerland、Nikolaj Bangsgaard、,爵士、,放松、,,,
Little Bird of Passage,Niclas Knudsen Trio、Niclas Knudsen、,爵士-柔顺爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,纯音乐,97,
First Day,James Kitchman、Bruno Heinen、Tom McCredie、Shane Forbes、,爵士、轻音乐、,悲伤、放松、孤独、,英语,,
When I Fell for You,David Hazeltine、,爵士、,悲伤、放松、孤独、,纯音乐,,
Blue Hour,Emil Brandqvist Trio、,爵士、,放松、咖啡厅、,纯音乐,119,
Waltz for Hal Willner,Bill Frisell、,爵士、,放松、,纯音乐,115,
Bess Is My Woman Now,Massimo Faraò、,爵士、,咖啡厅、放松、慵懒、,纯音乐,,
Let Love Be Genuine,Nuvole、,爵士、,咖啡厅、放松、慵懒、浪漫、爱情、,,151,
I'll Know,Bill Charlap、,爵士、,平静、放松、咖啡厅、,纯音乐,127,
Follow the Light,Armel Dupas Trio、,爵士、,放松、平静、,纯音乐,,
Glade,Fergus McCreadie、,爵士-融合爵士、,悲伤、放松、孤独、,英语,,
Velvet Gloves & Spit,Michael Wollny、,爵士、,孤独、悲伤、放松、,纯音乐,,
Expansions,Tenderlonious、,爵士-当代爵士、,动感、梦幻、放松、,纯音乐,,
Darn That Dream,Joe Farnsworth、,爵士、,咖啡厅、放松、浪漫、爱情、慵懒、,英语,,
Elisian/Inutil Paisagem,Michel Benita、Matthieu Michel、Jozef Dumoulin、Philippe Garcia、,爵士、,放松、,,126,
Sun Khosi,Ruby Rushton、,爵士-当代爵士、,动感、活力、放松、,纯音乐,,
Yesterday's Dreams,Freddie Hubbard、,爵士、,放松、可爱、快乐、,英语,110,
Son binocle,Cyrus Chestnut、,爵士-比波普、,放松、浪漫、爱情、慵懒、,,,
Mack the Knife,Chad Lefkowitz-Brown、,爵士、古典-当代古典音乐、,可爱、快乐、放松、咖啡厅、,英语,,
Symphonie Pacifique,Greg Foat、,爵士、,动感、放松、,纯音乐,,
The Great Belonging,Thomas Agergaard、Lars Jansson、Lennart Ginman、Anders Kjellberg、,爵士、,咖啡厅、浪漫、爱情、慵懒、放松、,,,
Will You Still Be Mine?,Massimo Faraò、Jimmy Cobb、John Webber、,爵士、,动感、放松、,纯音乐,,
Mosaïque,Oilly Wallace、Johannes Wamberg、,爵士、轻音乐、,爱情、慵懒、浪漫、放松、咖啡厅、,英语,,
Saving All My Love for You,Atlantic Five Jazz Band、,爵士、,放松、,英语,,
Right Back Round Again,Joshua Redman、Brad Mehldau、Christian McBride、Brian Blade、,爵士、,动感、放松、咖啡厅、,,124,
Softly As In A Morning Sunrise,Wynton Kelly、,爵士、,快乐、轻快、,,,
Night Creatures,The Jazz Seekers、,爵士、,咖啡厅、放松、慵懒、浪漫、爱情、,纯音乐,,
Peaceful Paranoia,Niclas Knudsen Trio、Niclas Knudsen、Kresten Osgood、Anders Christensen、,爵士-柔顺爵士、,爱情、浪漫、放松、咖啡厅、,纯音乐,,
Pure Imagination,Rob Barron、,爵士-当代爵士、,清新、慵懒、放松、咖啡厅、,英语,,
Loose Caboose,Hans Ulrik、,爵士、,动感、放松、咖啡厅、,纯音乐,,
My Song,Alex Riel、Bo Stief、Carsten Dahl、,爵士、,平静、爱情、慵懒、浪漫、放松、,英语,,
Ballad for K,Ruhi Erdogan、,爵士、,放松、,英语,,
As If We Were Just Friends,Lucas Figueiredo Santana、,爵士-当代爵士、,放松、,纯音乐,,
Sweet Smile,Carl Winther Trio、Håkan Broström、,爵士-柔顺爵士、,动感、慵懒、放松、咖啡厅、,纯音乐,,
Yesteryear,Snorre Kirk、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,英语,,
Where or When,Armel Dupas Trio、,爵士、,,纯音乐,118,
Anthem,Espen Eriksen Trio、Andy Sheppard、,爵士-融合爵士、,放松、,英语,,
