歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Title 허밍,V.A.、,原声带-电视剧原声、流行-韩国流行、,快乐、抒情、可爱、放松、,英语,98,
너는 나의 봄이다,成始璄、,原声带、流行-韩国流行、,抒情、悲伤、孤独、KTV、,韩语,66,
LIFE,HEDY、,原声带-电视剧原声、流行-韩国流行、,动感、放松、,韩语,98,
멍하니,Llwyd、,原声带、流行-韩国流行、,动感、慵懒、放松、,韩语,96,
Still,A.N.JELL、,流行-韩国流行、,热血、抒情、动感、悲伤、KTV、,韩语,119,
녹아내린다,April 2nd、,原声带-电影原声、,热血、动感、放松、,韩语,119,
Remember (Eng Ver.),Moonbit、,原声带、二次元、流行、,清新、放松、,韩语,125,
Be The One,Jeff Bernat、,原声带-电影原声、,抒情、放松、,英语,162,
서로의 눈물이 되어 (선우 Ver.),朴叙俊、,原声带、流行-韩国流行、,抒情、悲伤、KTV、,韩语,63,
WAY,Chancellor、,原声带-电视剧原声、,动感、放松、,韩语,102,
정말로 사랑했다면,하엘、,原声带、,抒情、悲伤、孤独、,韩语,,
그 사람,具子明、,原声带、,抒情、动感、,韩语,68,
Destino (운명),이지용、,原声带-电视剧原声、,热血、动感、,韩语,117,
Touch,鲁敏宇、朴基雄、,原声带、流行、,,韩语,125,
두사람,Suran、,原声带、流行-韩国流行、,抒情、悲伤、孤独、KTV、,韩语,67,
사랑에 빠지다 (Acoustic ver.),金泰宇、,原声带、,抒情、悲伤、孤独、,韩语,,
HYENA,余恩、,原声带-电影原声、流行-韩国流行、,热血、抒情、动感、,韩语,155,
침묵 (In This Silence),河铉雨、,原声带-电视剧原声、流行-韩国流行、,抒情、悲伤、,韩语,83,
너와 나,洪大光、,原声带、,KTV、放松、抒情、,韩语,113,
Crown,하진 (HAJIN)、,原声带-电视剧原声、流行-韩国流行、,动感、幸福、快乐、放松、旅游、,韩语,124,
Dreaming,金秀贤、,原声带、,抒情、悲伤、思念、,韩语,125,
너란 사람 (你这样的人),丁一宇、,原声带、流行、,抒情、悲伤、,韩语,65,
괜찮아,昭政、,原声带-电视剧原声、流行-韩国流行、,抒情、悲伤、爱情、放松、治愈、KTV、,韩语,68,
Stay with me,宋荷艺、,原声带-电视剧原声、,抒情、放松、治愈、KTV、,韩语,65,
Falling,朴宝蓝、,原声带、,抒情、放松、,韩语,,
주홍 Scarlet,김예지나、,原声带-电视剧原声、流行、,抒情、放松、治愈、,韩语,137,
Don't Bring Me Down,Elaine、,流行、,抒情、悲伤、KTV、,英语,,
너에게 가는 이 길 위에서 (너.이.길),BAEKHYUN、,原声带-电影原声、流行-韩国流行、,抒情、悲伤、,韩语,68,
입술을 깨물고,晟敏、厉旭、圭贤、,原声带、流行-韩国流行、,抒情、悲伤、思念、,韩语,134,
Paris,murmur、,流行-韩国流行、,抒情、悲伤、放松、治愈、,韩语,164,
Google Map,SOLE、THAMA、Don Mils、,节奏布鲁斯、,动感、活力、酒吧、,韩语,146,
넘어와,DEAN、白艺潾、,节奏布鲁斯-当代节奏布鲁斯、,动感、,韩语,84,
사진첩,다섯、,流行-韩国流行、,动感、放松、,韩语,143,
Falling,DAY6、,流行-韩国流行、,热血、动感、放松、,日语,117,
귀로,Naul、,流行-韩国流行、,抒情、悲伤、KTV、,韩语,,
RED,THE ROSE、,摇滚-流行摇滚、,动感、活力、放松、,韩语,127,
Hollywood,黑裙子、,另类/独立-独立流行、,动感、梦幻、爱情、浪漫、活力、放松、,英语,74,
행복해지고 싶어 (Prod. 아르마딜로),Babylon、秀智、,流行-韩国流行、,抒情、动感、悲伤、,韩语,86,
Reason,N.Flying、,摇滚、,热血、动感、KTV、,英语,89,
Wander,Blish、eAeon、,节奏布鲁斯-灵魂乐、流行-韩国流行、,动感、活力、热血、,韩语,109,
Airbag,SURL、,嘻哈说唱-流行说唱、,热血、动感、,韩语,169,
Lustre,jiwoo、,爵士-融合爵士、,动感、放松、慵懒、,英语,123,
비둘기,다섯、,摇滚-韩国摇滚、摇滚-独立摇滚、,动感、爱情、浪漫、放松、,韩语,111,
미미 (MIMI),youra、,节奏布鲁斯-灵魂乐、另类/独立、电子、,梦幻、放松、动感、,韩语,,
오 사랑아,허회경、,民谣-世界民谣、,抒情、悲伤、孤独、,韩语,,
Crusader,CIFIKA、,电子、,抒情、悲伤、放松、,英语,68,
EGO (Feat. June One),Swimrabbit、June One、,世界音乐、电子、,动感、活力、,英语,100,
tokki,CIKI、,节奏布鲁斯-灵魂乐、流行-韩国流行、,动感、可爱、快乐、,韩语,130,
夢 Mong,다섯、,摇滚、,热血、动感、放松、,韩语,122,
